Season,Lg,Tm,Voting,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,award
1970-71,NBA,1st,(V),Kareem Abdul-Jabbar C,Billy Cunningham F,John Havlicek F,Dave Bing G,Jerry West G,all_league_teams
1970-71,NBA,2nd,(V),Willis Reed C,Gus Johnson F,Bob Love F,Walt Frazier G,Oscar Robertson G,all_league_teams
1970-71,ABA,1st,,Mel Daniels C,Rick Barry F,Roger Brown F,Mack Calvin G,Charlie Scott G,all_league_teams
1970-71,ABA,2nd,,John Brisker F,Joe Caldwell F,Larry Cannon G,Donnie Freeman G,Zelmo Beaty C Dan Issel C (T),all_league_teams
1969-70,NBA,1st,(V),Willis Reed C,Billy Cunningham F,Connie Hawkins F,Walt Frazier G,Jerry West G,all_league_teams
1969-70,NBA,2nd,(V),Kareem Abdul-Jabbar C,John Havlicek F,Gus Johnson F,Lou Hudson G,Oscar Robertson G,all_league_teams
1969-70,ABA,1st,,Mel Daniels C,Rick Barry F,Spencer Haywood F,Larry Jones G,Bob Verga G,all_league_teams
1969-70,ABA,2nd,,Red Robbins C,Roger Brown F,Bob Netolicky F,Louie Dampier G,Donnie Freeman G,all_league_teams
1968-69,NBA,1st,(V),Wes Unseld C,Elgin Baylor F,Billy Cunningham F,Earl Monroe G,Oscar Robertson G,all_league_teams
1968-69,NBA,2nd,(V),Willis Reed C,Dave DeBusschere F,John Havlicek F,Hal Greer G,Jerry West G,all_league_teams
1968-69,ABA,1st,,Mel Daniels C,Rick Barry F,Connie Hawkins F,Jimmy Jones G,Larry Jones G,all_league_teams
1968-69,ABA,2nd,,Red Robbins C,John Beasley F,Doug Moe F,Louie Dampier G,Donnie Freeman G,all_league_teams
1967-68,NBA,1st,(V),Wilt Chamberlain C,Elgin Baylor F,Jerry Lucas F,Dave Bing G,Oscar Robertson G,all_league_teams
1967-68,NBA,2nd,(V),Bill Russell C,John Havlicek F,Willis Reed F,Hal Greer G,Jerry West G,all_league_teams
1967-68,ABA,1st,,Mel Daniels C,Connie Hawkins F,Doug Moe F,Larry Jones G,Charles Williams G,all_league_teams
1967-68,ABA,2nd,,John Beasley C,Roger Brown F,Cincy Powell F,Larry Brown G,Louie Dampier G,all_league_teams
1966-67,NBA,1st,(V),Wilt Chamberlain C,Rick Barry F,Elgin Baylor F,Oscar Robertson G,Jerry West G,all_league_teams
1966-67,NBA,2nd,(V),Bill Russell C,Jerry Lucas F,Willis Reed F,Hal Greer G,Sam Jones G,all_league_teams
1965-66,NBA,1st,,Wilt Chamberlain C,Rick Barry F,Jerry Lucas F,Oscar Robertson G,Jerry West G,all_league_teams
1965-66,NBA,2nd,,Bill Russell C,John Havlicek F,Gus Johnson F,Hal Greer G,Sam Jones G,all_league_teams
1964-65,NBA,1st,,Bill Russell C,Elgin Baylor F,Jerry Lucas F,Oscar Robertson G,Jerry West G,all_league_teams
1964-65,NBA,2nd,,Wilt Chamberlain C,Gus Johnson F,Bob Pettit F,Hal Greer G,Sam Jones G,all_league_teams
1963-64,NBA,1st,,Wilt Chamberlain C,Elgin Baylor F,Bob Pettit F,Oscar Robertson G,Jerry West G,all_league_teams
1963-64,NBA,2nd,,Bill Russell C,Tom Heinsohn F,Jerry Lucas F,Hal Greer G,John Havlicek G,all_league_teams
1962-63,NBA,1st,,Bill Russell C,Elgin Baylor F,Bob Pettit F,Oscar Robertson G,Jerry West G,all_league_teams
1962-63,NBA,2nd,,Wilt Chamberlain C,Tom Heinsohn F,Bailey Howell F,Bob Cousy G,Hal Greer G,all_league_teams
1961-62,NBA,1st,,Wilt Chamberlain C,Elgin Baylor F,Bob Pettit F,Oscar Robertson G,Jerry West G,all_league_teams
1961-62,NBA,2nd,,Bill Russell C,Tom Heinsohn F,Jack Twyman F,Bob Cousy G,Richie Guerin G,all_league_teams
1960-61,NBA,1st,,Wilt Chamberlain C,Elgin Baylor F,Bob Pettit F,Bob Cousy G,Oscar Robertson G,all_league_teams
1960-61,NBA,2nd,,Bill Russell C,Tom Heinsohn F,Dolph Schayes F,Larry Costello G,Gene Shue G,all_league_teams
1959-60,NBA,1st,,Wilt Chamberlain C,Elgin Baylor F,Bob Pettit F,Bob Cousy G,Gene Shue G,all_league_teams
1959-60,NBA,2nd,,Bill Russell C,Dolph Schayes F,Jack Twyman F,Richie Guerin G,Bill Sharman G,all_league_teams
1958-59,NBA,1st,,Bill Russell C,Elgin Baylor F,Bob Pettit F,Bob Cousy G,Bill Sharman G,all_league_teams
1958-59,NBA,2nd,,Dolph Schayes C,Paul Arizin F,Cliff Hagan F,Richie Guerin G,Slater Martin G,all_league_teams
1957-58,NBA,1st,,Bob Pettit C,Dolph Schayes F,George Yardley F,Bob Cousy G,Bill Sharman G,all_league_teams
1957-58,NBA,2nd,,Bill Russell C,Cliff Hagan F,Maurice Stokes F,Tom Gola G,Slater Martin G,all_league_teams
1956-57,NBA,1st,,Bob Pettit C,Paul Arizin F,Dolph Schayes F,Bob Cousy G,Bill Sharman G,all_league_teams
1956-57,NBA,2nd,,Neil Johnston C,Maurice Stokes F,George Yardley F,Dick Garmaker G,Slater Martin G,all_league_teams
1955-56,NBA,1st,,Neil Johnston C,Paul Arizin F,Bob Pettit F,Bob Cousy G,Bill Sharman G,all_league_teams
1955-56,NBA,2nd,,Clyde Lovellette C,Dolph Schayes F,Maurice Stokes F,Jack George G,Slater Martin G,all_league_teams
1954-55,NBA,1st,,Bob Cousy,Larry Foust,Neil Johnston,Bob Pettit,Dolph Schayes,all_league_teams
1954-55,NBA,2nd,,Harry Gallatin,Slater Martin,Vern Mikkelsen,Paul Seymour,Bill Sharman,all_league_teams
1953-54,NBA,1st,,Bob Cousy,Harry Gallatin,Neil Johnston,George Mikan,Dolph Schayes,all_league_teams
1953-54,NBA,2nd,,Carl Braun,Ed Macauley,Jim Pollard,Paul Seymour,Bobby Wanzer,all_league_teams
1952-53,NBA,1st,,Bob Cousy,Neil Johnston,Ed Macauley,George Mikan,Dolph Schayes,all_league_teams
