PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,TRAVEL,DOUBLE_DRIBBLE,DISCONTINUED_DRIBBLE,OFF_THREE_SEC,INBOUND,BACKCOURT,OFF_GOALTENDING,PALMING,OFF_FOUL,DEF_THREE_SEC,CHARGE,DEF_GOALTENDING,LANE,JUMP_BALL,KICKED_BALL,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,TRAVEL_RANK,DOUBLE_DRIBBLE_RANK,DISCONTINUED_DRIBBLE_RANK,OFF_THREE_SEC_RANK,INBOUND_RANK,BACKCOURT_RANK,OFF_GOALTENDING_RANK,PALMING_RANK,OFF_FOUL_RANK,DEF_THREE_SEC_RANK,CHARGE_RANK,DEF_GOALTENDING_RANK,LANE_RANK,JUMP_BALL_RANK,KICKED_BALL_RANK
101112,Channing Frye,Channing,1610612739,CLE,33.0,70,35,35,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,177,157,322,224,274,5,3,51,1,3,11,2,2,78,144,63,1,1,13
101111,Charlie Villanueva,Charlie,1610612742,DAL,31.0,62,29,33,0.468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235,215,291,273,274,5,3,51,1,3,11,2,2,78,144,63,1,1,128
201978,Chase Budinger,Chase,1610612756,PHX,28.0,66,29,37,0.439,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207,215,343,292,52,5,3,51,1,3,11,2,2,78,144,63,1,1,128
2365,Chris Andersen,Chris,1610612763,MEM,37.0,27,11,16,0.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,393,377,126,329,274,5,3,51,1,3,11,2,2,78,144,63,1,1,13
2547,Chris Bosh,Chris,1610612748,MIA,32.0,53,29,24,0.547,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,291,215,185,171,52,5,3,51,1,3,11,2,2,10,144,13,1,1,128
203142,Chris Copeland,Chris,1610612749,MIL,32.0,24,10,14,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,402,384,104,315,274,5,3,51,1,3,11,2,2,10,144,63,1,1,128
203187,Chris Johnson,Chris,1610612762,UTA,26.0,70,38,32,0.543,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177,130,282,179,52,5,3,51,1,3,11,2,2,78,144,63,1,1,128
2549,Chris Kaman,Chris,1610612757,POR,34.0,16,11,5,0.688,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424,377,31,63,274,5,3,51,1,1,11,2,2,78,144,63,1,1,128
1626191,Chris McCullough,Chris,1610612751,BKN,21.0,24,7,17,0.292,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,402,410,130,403,52,5,3,51,1,3,11,2,2,10,17,63,1,1,128
101108,Chris Paul,Chris,1610612746,LAC,31.0,74,50,24,0.676,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,135,42,185,74,52,5,3,51,1,3,11,2,2,78,17,63,1,1,128
1626174,Christian Wood,Christian,1610612755,PHI,20.0,17,0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,419,469,130,469,274,5,3,51,1,3,11,2,2,78,17,63,1,1,128
101236,Chuck Hayes,Chuck,1610612746,LAC,33.0,2,1,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469,459,7,224,274,5,3,51,1,3,11,2,2,78,144,63,1,1,128
203921,Cleanthony Early,Cleanthony,1610612752,NYK,25.0,17,6,11,0.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,419,416,81,381,274,5,3,51,1,3,11,2,2,10,144,63,1,1,13
1626146,Cliff Alexander,Cliff,1610612757,POR,20.0,8,3,5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443,441,31,362,274,5,3,51,1,3,11,2,2,78,144,63,1,1,128
203991,Clint Capela,Clint,1610612745,HOU,22.0,77,39,38,0.506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,98,123,353,222,274,5,3,51,1,3,11,2,2,10,17,13,1,1,13
203469,Cody Zeller,Cody,1610612766,CHA,23.0,73,42,31,0.575,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144,90,265,150,52,5,3,7,1,3,11,2,2,78,144,63,1,1,128
202332,Cole Aldrich,Cole,1610612746,LAC,27.0,60,41,19,0.683,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,253,96,149,69,52,5,3,51,1,3,11,2,2,10,144,13,1,1,13
201147,Corey Brewer,Corey,1610612745,HOU,30.0,82,41,41,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,96,391,224,274,5,3,51,1,3,11,2,2,78,144,63,1,1,128
203928,Cory Jefferson,Cory,1610612756,PHX,25.0,8,2,6,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443,449,39,413,274,5,3,51,1,3,11,2,2,78,144,63,1,1,128
