season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end,is_home,home,away,MON
2021-22,1610612746,LAC,LA Clippers,22100659,2022-01-17,LAC vs. IND,W,48.0,23.0,7.0,15.0,42.0,21.0,26.0,15.0,64.0,0,0,0,0,117,308,2082,715,1613,1861,2402,1614,2300,1,2021,2022,True,LAC,IND,JAN
2021-22,1610612746,LAC,LA Clippers,22100648,2022-01-15,LAC @ SAS,L,48.0,14.0,20.0,17.0,40.0,17.0,21.0,7.0,36.0,0,0,0,0,117,1426,282,503,1790,1307,2180,422,256,1,2021,2022,False,SAS,LAC,JAN
2021-22,1610612746,LAC,LA Clippers,22100629,2022-01-13,LAC @ NOP,L,48.0,4.0,5.0,10.0,28.0,23.0,5.0,16.0,50.0,0,0,0,0,117,2427,2291,1473,2384,2082,113,1747,1431,1,2021,2022,False,NOP,LAC,JAN
2021-22,1610612746,LAC,LA Clippers,22100616,2022-01-11,LAC vs. DEN,W,48.0,22.0,3.0,13.0,36.0,12.0,12.0,13.0,48.0,0,0,0,0,117,380,2409,996,2085,574,975,1330,1246,1,2021,2022,True,LAC,DEN,JAN
2021-22,1610612746,LAC,LA Clippers,22100597,2022-01-09,LAC vs. ATL,W,48.0,12.0,6.0,10.0,50.0,9.0,9.0,16.0,40.0,0,0,0,0,117,1741,2192,1473,832,226,517,1747,507,1,2021,2022,True,LAC,ATL,JAN
2021-22,1610612746,LAC,LA Clippers,22100591,2022-01-08,LAC vs. MEM,L,48.0,9.0,12.0,17.0,46.0,23.0,21.0,15.0,58.0,0,0,0,0,117,2125,1311,503,1216,2082,2180,1614,2073,1,2021,2022,True,LAC,MEM,JAN
2021-22,1610612746,LAC,LA Clippers,22100581,2022-01-06,LAC @ PHX,L,48.0,4.0,8.0,12.0,28.0,18.0,28.0,7.0,52.0,0,0,0,0,117,2427,1945,1132,2384,1461,2429,422,1630,1,2021,2022,False,PHX,LAC,JAN
2021-22,1610612746,LAC,LA Clippers,22100561,2022-01-03,LAC vs. MIN,L,48.0,24.0,9.0,4.0,42.0,31.0,13.0,14.0,64.0,0,0,0,0,117,232,1795,2260,1613,2415,1151,1466,2300,1,2021,2022,True,LAC,MIN,JAN
2021-22,1610612746,LAC,LA Clippers,22100542,2022-01-01,LAC @ BKN,W,48.0,17.0,9.0,21.0,44.0,9.0,15.0,5.0,44.0,0,0,0,0,117,1001,1795,219,1446,226,1500,202,849,1,2021,2022,False,BKN,LAC,JAN
2021-22,1610612746,LAC,LA Clippers,22100534,2021-12-31,LAC @ TOR,L,48.0,6.0,3.0,14.0,36.0,12.0,21.0,7.0,46.0,0,0,0,0,117,2357,2409,848,2085,574,2180,422,1016,1,2021,2022,False,TOR,LAC,DEC
2021-22,1610612746,LAC,LA Clippers,22100518,2021-12-29,LAC @ BOS,W,48.0,14.0,8.0,10.0,26.0,20.0,28.0,13.0,54.0,0,0,0,0,117,1426,1945,1473,2425,1753,2429,1330,1788,1,2021,2022,False,BOS,LAC,DEC
2021-22,1610612746,LAC,LA Clippers,22100507,2021-12-27,LAC vs. BKN,L,48.0,11.0,16.0,10.0,38.0,12.0,7.0,23.0,74.0,0,0,0,0,117,1888,662,1473,1955,574,270,2286,2447,1,2021,2022,True,LAC,BKN,DEC
2021-22,1610612746,LAC,LA Clippers,22100500,2021-12-26,LAC vs. DEN,L,48.0,16.0,12.0,11.0,50.0,7.0,18.0,11.0,40.0,0,0,0,0,117,1155,1311,1283,832,105,1927,989,507,1,2021,2022,True,LAC,DEN,DEC
2021-22,1610612746,LAC,LA Clippers,22100475,2021-12-22,LAC @ SAC,W,48.0,18.0,5.0,29.0,56.0,11.0,12.0,6.0,36.0,0,0,0,0,117,845,2291,17,389,452,975,292,256,1,2021,2022,False,SAC,LAC,DEC
2021-22,1610612746,LAC,LA Clippers,22100463,2021-12-20,LAC vs. SAS,L,48.0,3.0,5.0,10.0,44.0,14.0,27.0,18.0,68.0,0,0,0,0,117,2444,2291,1473,1446,867,2417,1959,2381,1,2021,2022,True,LAC,SAS,DEC
2021-22,1610612746,LAC,LA Clippers,22100444,2021-12-18,LAC @ OKC,L,48.0,16.0,5.0,6.0,38.0,18.0,17.0,14.0,52.0,0,0,0,0,117,1155,2291,2040,1955,1461,1800,1466,1630,1,2021,2022,False,OKC,LAC,DEC
2021-22,1610612746,LAC,LA Clippers,22100425,2021-12-15,LAC @ UTA,L,48.0,2.0,12.0,4.0,50.0,18.0,12.0,11.0,62.0,0,0,0,0,117,2451,1311,2260,832,1461,975,989,2239,1,2021,2022,False,UTA,LAC,DEC
2021-22,1610612746,LAC,LA Clippers,22100412,2021-12-13,LAC vs. PHX,W,48.0,9.0,8.0,8.0,58.0,22.0,10.0,12.0,46.0,0,0,0,0,117,2125,1945,1767,301,1980,667,1179,1016,1,2021,2022,True,LAC,PHX,DEC
2021-22,1610612746,LAC,LA Clippers,22100391,2021-12-11,LAC vs. ORL,W,48.0,11.0,13.0,6.0,32.0,9.0,11.0,8.0,42.0,0,0,0,0,117,1888,1121,2040,2294,226,838,540,672,1,2021,2022,True,LAC,ORL,DEC
