SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,AVAILABLE_FLAG
2015-16,1610612748,MIA,Miami Heat,0021501213,2016-04-12T00:00:00,MIA @ DET,W,48.0,0.532,0.282,0.161,0.273,0.435,0.357,0.172,0.436,0,0,0,0,155,802,1115,1563,1255,332,1966,633,2418,1.0
2015-16,1610612752,NYK,New York Knicks,0021501212,2016-04-12T00:00:00,NYK @ IND,L,48.0,0.513,0.113,0.174,0.2,0.55,0.25,0.154,0.286,0,0,0,0,155,1059,2405,1847,2084,1878,1019,1039,1350,1.0
2015-16,1610612754,IND,Indiana Pacers,0021501212,2016-04-12T00:00:00,IND vs. NYK,W,48.0,0.55,0.25,0.154,0.286,0.513,0.113,0.174,0.2,0,0,0,0,155,578,1428,1403,1071,1397,56,606,346,1.0
2015-16,1610612759,SAS,San Antonio Spurs,0021501215,2016-04-12T00:00:00,SAS vs. OKC,W,53.0,0.448,0.368,0.11,0.315,0.437,0.287,0.214,0.415,0,0,0,0,21,1988,432,411,731,358,1396,120,2384,1.0
2015-16,1610612763,MEM,Memphis Grizzlies,0021501216,2016-04-12T00:00:00,MEM @ LAC,L,48.0,0.436,0.163,0.18,0.358,0.627,0.28,0.122,0.25,0,0,0,0,155,2108,2207,1948,327,2373,1331,1791,877,1.0
2015-16,1610612760,OKC,Oklahoma City Thunder,0021501215,2016-04-12T00:00:00,OKC @ SAS,L,53.0,0.437,0.287,0.214,0.415,0.448,0.368,0.11,0.315,0,0,0,0,21,2099,1062,2336,76,471,2028,2037,1720,1.0
2015-16,1610612761,TOR,Toronto Raptors,0021501214,2016-04-12T00:00:00,TOR vs. PHI,W,48.0,0.558,0.2,0.147,0.49,0.552,0.325,0.146,0.208,0,0,0,0,155,501,1917,1263,7,1900,1736,1222,435,1.0
2015-16,1610612746,LAC,LA Clippers,0021501216,2016-04-12T00:00:00,LAC vs. MEM,W,48.0,0.627,0.28,0.122,0.25,0.436,0.163,0.18,0.358,0,0,0,0,155,88,1127,663,1535,351,252,510,2128,1.0
2015-16,1610612738,BOS,Boston Celtics,0021501205,2016-04-11T00:00:00,BOS vs. CHA,L,48.0,0.427,0.326,0.122,0.288,0.593,0.272,0.143,0.19,0,0,0,0,155,2185,695,671,1062,2242,1244,1283,278,1.0
2015-16,1610612740,NOP,New Orleans Pelicans,0021501208,2016-04-11T00:00:00,NOP vs. CHI,L,48.0,0.588,0.35,0.11,0.286,0.636,0.338,0.098,0.273,0,0,0,0,155,240,538,406,1071,2396,1847,2215,1173,1.0
2015-16,1610612742,DAL,Dallas Mavericks,0021501210,2016-04-11T00:00:00,DAL @ UTA,W,48.0,0.512,0.272,0.1,0.271,0.513,0.234,0.112,0.156,0,0,0,0,155,1065,1211,270,1294,1420,859,1982,108,1.0
2015-16,1610612762,UTA,Utah Jazz,0021501210,2016-04-11T00:00:00,UTA vs. DAL,L,48.0,0.513,0.234,0.112,0.156,0.512,0.272,0.1,0.271,0,0,0,0,155,1038,1597,469,2348,1390,1244,2181,1154,1.0
2015-16,1610612764,WAS,Washington Wizards,0021501206,2016-04-11T00:00:00,WAS @ BKN,W,48.0,0.567,0.27,0.136,0.267,0.5,0.214,0.097,0.276,0,0,0,0,155,399,1231,975,1353,1171,664,2225,1234,1.0
2015-16,1610612751,BKN,Brooklyn Nets,0021501206,2016-04-11T00:00:00,BKN vs. WAS,L,48.0,0.5,0.214,0.097,0.276,0.567,0.27,0.136,0.267,0,0,0,0,155,1217,1787,233,1221,2060,1218,1478,1098,1.0
2015-16,1610612741,CHI,Chicago Bulls,0021501208,2016-04-11T00:00:00,CHI @ NOP,W,48.0,0.636,0.338,0.098,0.273,0.588,0.35,0.11,0.286,0,0,0,0,155,64,612,237,1255,2218,1916,2051,1350,1.0
2015-16,1610612747,LAL,Los Angeles Lakers,0021501209,2016-04-11T00:00:00,LAL @ OKC,L,48.0,0.327,0.37,0.149,0.2,0.5,0.281,0.12,0.3,0,0,0,0,155,2458,417,1292,2084,1171,1344,1824,1532,1.0
2015-16,1610612766,CHA,Charlotte Hornets,0021501205,2016-04-11T00:00:00,CHA @ BOS,W,48.0,0.593,0.272,0.143,0.19,0.427,0.326,0.122,0.288,0,0,0,0,155,216,1211,1136,2173,275,1763,1779,1392,1.0
2015-16,1610612750,MIN,Minnesota Timberwolves,0021501207,2016-04-11T00:00:00,MIN vs. HOU,L,48.0,0.488,0.398,0.133,0.224,0.645,0.302,0.173,0.256,0,0,0,0,155,1430,284,923,1836,2421,1542,626,978,1.0
2015-16,1610612760,OKC,Oklahoma City Thunder,0021501209,2016-04-11T00:00:00,OKC vs. LAL,W,48.0,0.5,0.281,0.12,0.3,0.327,0.37,0.149,0.2,0,0,0,0,155,1217,1116,622,907,3,2041,1160,346,1.0
2015-16,1610612737,ATL,Atlanta Hawks,0021501203,2016-04-11T00:00:00,ATL @ CLE,L,48.0,0.494,0.172,0.156,0.208,0.548,0.241,0.153,0.244,0,0,0,0,155,1326,2142,1450,2027,1858,945,1060,824,1.0
2015-16,1610612739,CLE,Cleveland Cavaliers,0021501203,2016-04-11T00:00:00,CLE vs. ATL,W,48.0,0.548,0.241,0.153,0.244,0.494,0.172,0.156,0.208,0,0,0,0,155,597,1506,1387,1616,1132,315,990,426,1.0
2015-16,1610612756,PHX,Phoenix Suns,0021501211,2016-04-11T00:00:00,PHX vs. SAC,L,48.0,0.435,0.17,0.178,0.361,0.53,0.337,0.178,0.213,0,0,0,0,155,2122,2163,1912,312,1630,1835,545,486,1.0
2015-16,1610612758,SAC,Sacramento Kings,0021501211,2016-04-11T00:00:00,SAC @ PHX,W,48.0,0.53,0.337,0.178,0.213,0.435,0.17,0.178,0.361,0,0,0,0,155,827,620,1912,1960,339,297,545,2147,1.0
2015-16,1610612749,MIL,Milwaukee Bucks,0021501204,2016-04-11T00:00:00,MIL @ ORL,L,48.0,0.545,0.244,0.242,0.366,0.53,0.333,0.103,0.313,0,0,0,0,155,641,1491,2437,267,1621,1799,2145,1683,1.0
2015-16,1610612745,HOU,Houston Rockets,0021501207,2016-04-11T00:00:00,HOU @ MIN,W,48.0,0.645,0.302,0.173,0.256,0.488,0.398,0.133,0.224,0,0,0,0,155,39,915,1831,1471,1023,2175,1529,611,1.0
2015-16,1610612753,ORL,Orlando Magic,0021501204,2016-04-11T00:00:00,ORL vs. MIL,W,48.0,0.53,0.333,0.103,0.313,0.545,0.244,0.242,0.366,0,0,0,0,155,833,635,306,761,1818,967,24,2191,1.0
2015-16,1610612766,CHA,Charlotte Hornets,0021501194,2016-04-10T00:00:00,CHA @ WAS,L,48.0,0.42,0.432,0.147,0.196,0.581,0.35,0.118,0.119,0,0,0,0,155,2243,185,1244,2116,2186,1916,1874,25,1.0
2015-16,1610612759,SAS,San Antonio Spurs,0021501201,2016-04-10T00:00:00,SAS vs. GSW,L,48.0,0.394,0.211,0.133,0.317,0.506,0.234,0.143,0.213,0,0,0,0,155,2367,1817,923,710,1325,859,1283,486,1.0
2015-16,1610612749,MIL,Milwaukee Bucks,0021501197,2016-04-10T00:00:00,MIL @ PHI,W,53.0,0.5,0.276,0.185,0.271,0.474,0.26,0.142,0.274,0,0,0,0,21,1217,1163,2032,1294,832,1117,1327,1207,1.0
2015-16,1610612755,PHI,Philadelphia 76ers,0021501197,2016-04-10T00:00:00,PHI vs. MIL,L,53.0,0.474,0.26,0.142,0.274,0.5,0.276,0.185,0.271,0,0,0,0,21,1625,1343,1131,1250,1171,1286,427,1154,1.0
2015-16,1610612761,TOR,Toronto Raptors,0021501202,2016-04-10T00:00:00,TOR @ NYK,W,48.0,0.519,0.244,0.084,0.227,0.399,0.236,0.106,0.441,0,0,0,0,155,950,1491,123,1804,115,884,2112,2422,1.0
2015-16,1610612753,ORL,Orlando Magic,0021501200,2016-04-10T00:00:00,ORL @ MIA,L,48.0,0.488,0.229,0.162,0.204,0.597,0.39,0.122,0.167,0,0,0,0,155,1430,1647,1572,2057,2268,2141,1779,150,1.0
