player,team,number,position,height,weight,last_attended,country,height_in,weight_lbs,player_id
"Cody
Martin",PHX,17.0,F,,,Nevada,USA,78,205.0,martico01
"Jaylen
Martin",WAS,4.0,G,,,Overtime Elite,USA,78,216.0,martija01
"KJ
Martin",UTA,99.0,F,,,IMG Academy (FL),USA,78,215.0,martikj01
"Tyrese
Martin",BKN,13.0,F,,,Connecticut,USA,78,215.0,martity01
"Garrison
Mathews",ATL,24.0,G,,,Lipscomb,USA,78,215.0,mathega01
"Bennedict
Mathurin",IND,0.0,G,,,Arizona,Canada,77,210.0,mathube01
"Karlo
Matković",NOP,17.0,F,,,Mega Basket,Bosnia and Herzegovina,82,231.0,matkoka01
"Tyrese
Maxey",PHI,0.0,G,,,Kentucky,USA,74,200.0,maxeyty01
"Miles
McBride",NYK,2.0,G,,,West Virginia,USA,73,195.0,mcbrimi01
"Jared
McCain",PHI,20.0,G,,,Duke,USA,75,195.0,mccaija01
"Mac
McClung",ORL,8.0,G,,,Texas Tech,USA,74,185.0,mccluma01
"CJ
McCollum",NOP,3.0,G,,,Lehigh,USA,75,190.0,mccolcj01
"T.J.
McConnell",IND,9.0,G,,,Arizona,USA,73,190.0,mccont.01
"Kevin
McCullar Jr.",NYK,9.0,G,,,Kansas,USA,78,210.0,jr.ke0100
"Jaden
McDaniels",MIN,3.0,F,,,Washington,USA,81,185.0,mcdanja01
"Jalen
McDaniels",FA,FA,F,,,San Diego State,USA,81,190.0,mcdanja01
"Doug
McDermott",SAC,7.0,F,,,Creighton,USA,78,225.0,mcderdo01
"Bryce
McGowens",POR,11.0,G,,,Nebraska,USA,78,190.0,mcgowbr01
"Jordan
McLaughlin",SAS,11.0,G,,,Southern California,USA,72,185.0,mclaujo01
"Jack
McVeigh",HOU,58.0,G,,,Nebraska-Lincoln,Australia,80,215.0,mcveija01
"De'Anthony
Melton",BKN,14.0,G,,,Southern California,USA,75,200.0,meltode01
"Sam
Merrill",CLE,5.0,G,,,Utah State,USA,76,205.0,merrisa01
"Vasilije
Micić",PHX,18.0,G,,,Serbia,Serbia,75,188.0,micićva01
"Khris
Middleton",WAS,32.0,F,,,Texas A&M,USA,79,222.0,middlkh01
"Brandon
Miller",CHA,24.0,F,,,Alabama,USA,79,200.0,millebr01
"Emanuel
Miller",CHI,20.0,F,,,TCU,Canada,79,215.0,milleem01
"Jordan
Miller",LAC,11.0,G,,,Miami,USA,77,194.0,millejo01
"Leonard
Miller",MIN,33.0,F,,,NBA G League Ignite,Canada,82,220.0,millele01
"Patty
Mills",LAC,88.0,G,,,St. Mary's,Australia,74,180.0,millspa01
"Shake
Milton",LAL,20.0,G,,,Southern Methodist,USA,77,205.0,miltosh01
"Justin
Minaya",POR,10.0,F,,,Providence,USA,77,205.0,minayju01
"Riley
Minix",SAS,27.0,F,,,Morehead State,USA,79,230.0,minixri01
"Josh
Minott",MIN,8.0,F,,,Memphis,USA,80,205.0,minotjo01
"Yves
Missi",NOP,21.0,C,,,Baylor,Cameroon,83,235.0,missiyv01
"Ajay
Mitchell",OKC,25.0,G,,,California-Santa Barbara,Belgium,77,190.0,mitchaj01
"Davion
Mitchell",MIA,45.0,G,,,Baylor,USA,72,202.0,mitchda01
"Donovan
Mitchell",CLE,45.0,G,,,Louisville,USA,75,215.0,mitchdo01
"Evan
Mobley",CLE,4.0,C,,,Southern California,USA,83,215.0,mobleev01
"Isaiah
Mobley",FA,FA,F,,,USC,USA,80,238.0,mobleis01
"Jonathan
Mogbo",TOR,2.0,F,,,San Francisco,USA,81,225.0,mogbojo01
"Malik
Monk",SAC,0.0,G,,,Kentucky,USA,75,200.0,monkma010
"Moses
Moody",GSW,4.0,G,,,Arkansas,USA,77,211.0,moodymo01
"Tazé
Moore",FA,FA,G,,,Houston,USA,77,195.0,mooreta01
"Wendell
Moore Jr.",CHA,9.0,G,,,Duke,USA,77,215.0,jr.we0100
"Ja
Morant",MEM,12.0,G,,,Murray State,USA,74,174.0,moranja01
"Markieff
Morris",LAL,88.0,F,,,Kansas,USA,81,245.0,morrima01
"Monté
Morris",PHX,23.0,G,,,Iowa State,USA,74,183.0,morrimo01
"Trey
Murphy III",NOP,25.0,F,,,Virginia,USA,80,206.0,iiitr0100
"Dejounte
Murray",NOP,5.0,G,,,Washington,USA,76,180.0,murrade01
"Jamal
Murray",DEN,27.0,G,,,Kentucky,Canada,76,215.0,murraja01
"Keegan
Murray",SAC,13.0,F,,,Iowa,USA,80,225.0,murrake01
"Kris
Murray",POR,24.0,F,,,Iowa,USA,80,216.0,murrakr01
"Svi
Mykhailiuk",UTA,19.0,G,,,Kansas,Ukraine,79,205.0,mykhasv01
"Pete
Nance",MIL,35.0,F,,,North Carolina,USA,82,225.0,nancepe01
"Larry
Nance Jr.",ATL,22.0,F,,,Wyoming,USA,80,245.0,jr.la0100
"Andrew
Nembhard",IND,2.0,G,,,Gonzaga,Canada,76,191.0,nembhan01
"Aaron
Nesmith",IND,23.0,G,,,Vanderbilt,USA,78,215.0,nesmiaa01
"Tristen
Newton",MIN,13.0,G,,,Connecticut,USA,77,190.0,newtotr01
"Georges
Niang",ATL,20.0,F,,,Iowa State,USA,79,230.0,niangge01
"Daishen
Nix",FA,FA,G,,,NBA G League Ignite,USA,76,238.0,nixda0100
"Zeke
Nnaji",DEN,22.0,F,,,Arizona,USA,81,240.0,nnajize01
"Miles
Norris",BOS,0.0,F,,,California-Santa Barbara,USA,79,220.0,norrimi01
"Jaylen
Nowell",FA,FA,G,,,Washington,USA,76,201.0,nowelja01
"Jusuf
Nurkić",CHA,11.0,C,,,Cedevita,Bosnia and Herzegovina,84,290.0,nurkiju01
"Jahlil
Okafor",FA,FA,C,,,Duke,USA,82,270.0,okafoja01
"Chuma
Okeke",CLE,18.0,F,,,Auburn,USA,79,229.0,okekech01
"Josh
Okogie",CHA,12.0,G,,,Georgia Tech,Nigeria,76,213.0,okogijo01
"Onyeka
Okongwu",ATL,17.0,F,,,Southern California,USA,82,240.0,okongon01
"Isaac
Okoro",CLE,35.0,F,,,Auburn,USA,77,225.0,okorois01
"Quincy
Olivari",FA,FA,G,,,Xavier,USA,75,200.0,olivaqu01
"Kelly
Olynyk",NOP,13.0,F,,,Gonzaga,Canada,83,240.0,olynyke01
"Royce
O'Neale",PHX,0.0,F,,,Baylor,USA,78,226.0,o'nearo01
"Kelly
Oubre Jr.",PHI,9.0,F,,,Kansas,USA,80,203.0,jr.ke0100
"Chris
Paul",SAS,3.0,G,,,Wake Forest,USA,72,175.0,paulch010
"Cameron
Payne",NYK,1.0,G,,,Murray State,USA,75,183.0,payneca01
"Elfrid
Payton",NOP,4.0,G,,,Louisana-Lafayette,USA,75,195.0,paytoel01
"Gary
Payton II",GSW,0.0,G,,,Oregon State,USA,74,195.0,iiga01000
"Drew
Peterson",BOS,13.0,F,,,Southern California,USA,81,205.0,peterdr01
"Julian
Phillips",CHI,15.0,F,,,Tennessee,USA,80,198.0,phillju01
"Jalen
Pickett",DEN,24.0,G,,,Penn State,USA,74,202.0,pickeja01
"Scotty
Pippen Jr.",MEM,1.0,G,,,Vanderbilt,USA,73,170.0,jr.sc0100
"Daeqwon
Plowden",ATL,29.0,G,,,Bowling Green,USA,78,216.0,plowdda01
"Mason
Plumlee",PHX,22.0,F,,,Duke,USA,82,254.0,plumlma01
"Brandin
Podziemski",GSW,2.0,G,,,Santa Clara,USA,76,205.0,podzibr01
"Jakob
Poeltl",TOR,19.0,C,,,Utah,Austria,84,260.0,poeltja01
"Jordan
Poole",WAS,13.0,G,,,Michigan,USA,76,194.0,poolejo01
"Craig
Porter Jr.",CLE,9.0,G,,,Wichita State,USA,73,180.0,jr.cr0100
"Kevin
Porter Jr.",MIL,3.0,G,,,Southern California,USA,76,203.0,jr.ke0100
"Michael
Porter Jr.",DEN,1.0,F,,,Missouri,USA,82,218.0,jr.mi0100
"Bobby
Portis",MIL,9.0,F,,,Arkansas,USA,82,250.0,portibo01
"Kristaps
Porziņģis",BOS,8.0,F,,,Cajasol Sevilla,Latvia,86,240.0,porzikr01
"Quinten
Post",GSW,21.0,C,,,Boston College,Netherlands,84,238.0,postqu010
"Micah
Potter",UTA,25.0,C,,,Wisconsin,USA,81,248.0,pottemi01
"Dwight
Powell",DAL,7.0,F,,,Stanford,Canada,82,240.0,poweldw01
"Norman
Powell",LAC,24.0,G,,,UCLA,USA,76,215.0,powelno01
"Taurean
Prince",MIL,12.0,F,,,Baylor,USA,78,218.0,princta01
"Payton
Pritchard",BOS,11.0,G,,,Oregon,USA,73,195.0,pritcpa01
"Olivier-Maxence
Prosper",DAL,8.0,F,,,Marquette,Canada,79,230.0,prospol01
"Zyon
Pullin",MEM,FA,G,,,Florida,USA,76,206.0,pullizy01
"Trevelin
Queen",ORL,12.0,G,,,New Mexico State,USA,77,190.0,queentr01
"Neemias
Queta",BOS,88.0,C,,,Utah State,Portugal,84,248.0,quetane01
"Immanuel
Quickley",TOR,5.0,G,,,Kentucky,USA,74,190.0,quickim01
"Lester
Quinones",NOP,22.0,G,,,Memphis,USA,76,208.0,quinole01
"Julius
Randle",MIN,30.0,F,,,Kentucky,USA,81,250.0,randlju01
"Duop
Reath",POR,26.0,C,,,Louisiana State,South Sudan,81,245.0,reathdu01
"Austin
Reaves",LAL,15.0,G,,,Oklahoma,USA,77,197.0,reaveau01
"Cam
Reddish",FA,FA,F,,,Duke,USA,79,217.0,reddica01
"Paul
Reed",DET,7.0,F,,,DePaul,USA,81,210.0,reedpa010
"Alex
Reese",PHI,65.0,F,,,Alabama,USA,81,245.0,reeseal01
"Antonio
Reeves",NOP,12.0,G,,,Kentucky,USA,77,205.0,reevean01
"Naz
Reid",MIN,11.0,C,,,Louisiana State,USA,81,264.0,reidna010
"Jared
Rhoden",TOR,8.0,G,,,Seton Hall,USA,77,210.0,rhodeja01
"Nick
Richards",PHX,2.0,C,,,Kentucky,Jamaica,84,245.0,richani01
"Josh
Richardson",FA,FA,G,,,Tennessee,USA,77,200.0,richajo01
"Zaccharie
Risacher",ATL,10.0,F,,,JL Bourg-en-Bresse,France,80,200.0,risacza01
"Liam
Robbins",FA,FA,C,,,Vanderbilt,USA,84,250.0,robbili01
"Duncan
Robinson",MIA,55.0,F,,,Michigan,USA,79,215.0,robindu01
"Mitchell
Robinson",NYK,23.0,C,,,Western Kentucky,USA,84,240.0,robinmi01
"Orlando
Robinson",FA,FA,C,,,Fresno State,USA,82,235.0,robinor01
"Jeremiah
Robinson-Earl",NOP,50.0,F,,,Villanova,USA,80,240.0,robinje01
"David
Roddy",HOU,45.0,F,,,Colorado State,USA,76,255.0,roddyda01
"Ryan
Rollins",MIL,13.0,G,,,Toledo,USA,75,180.0,rolliry01
"Jackson
Rowe",GSW,44.0,F,,,California State-Fullerton,Canada,79,210.0,roweja010
"Terry
Rozier",MIA,2.0,G,,,Louisville,USA,73,190.0,roziete01
"Rayan
Rupert",POR,21.0,G,,,New Zealand Breakers,France,78,195.0,ruperra01
"D'Angelo
Russell",BKN,1.0,G,,,Ohio State,USA,75,193.0,russed'01
"Matt
Ryan",FA,FA,F,,,Tennessee-Chattanooga,USA,78,215.0,ryanma010
"Domantas
Sabonis",SAC,11.0,F,,,Gonzaga,Lithuania,82,240.0,sabondo01
"Tidjane
Salaün",CHA,31.0,F,,,Cholet,France,80,207.0,salaüti01
"Adama
Sanogo",FA,FA,F,,,Connecticut,Mali,81,245.0,sanogad01
"Gui
Santos",GSW,15.0,F,,,Minas,Brazil,78,185.0,santogu01
"Dario
Šarić",DEN,9.0,F,,,Anadolu Efes,Croatia,82,225.0,šarićda01
"Alex
Sarr",WAS,20.0,C,,,Perth,France,84,205.0,sarral010
"Marcus
Sasser",DET,25.0,G,,,Houston,USA,74,195.0,sassema01
"Baylor
Scheierman",BOS,55.0,G,,,Creighton,USA,78,205.0,scheiba01
"Dennis
Schröder",DET,17.0,G,,,Braunschweig,Germany,73,175.0,schröde01
"Alperen
Sengun",HOU,28.0,C,,,Besiktas,Turkey,83,243.0,sengual01
"Brice
Sensabaugh",UTA,28.0,F,,,Ohio State,USA,77,235.0,sensabr01
"Collin
Sexton",UTA,2.0,G,,,Alabama,USA,75,190.0,sextoco01
"Landry
Shamet",NYK,44.0,G,,,Wichita State,USA,76,190.0,shamela01
"Terrence
Shannon Jr.",MIN,0.0,G,,,Illinois,USA,78,215.0,jr.te0100
"Day'Ron
Sharpe",BKN,20.0,C,,,North Carolina,USA,81,265.0,sharpda01
"Shaedon
Sharpe",POR,17.0,G,,,Kentucky,Canada,77,208.0,sharpsh01
"Jamal
Shead",TOR,23.0,G,,,Houston,USA,73,200.0,sheadja01
"Ben
Sheppard",IND,26.0,G,,,Belmont,USA,78,190.0,sheppbe01
"Reed
Sheppard",HOU,15.0,G,,,Kentucky,USA,74,185.0,sheppre01
"Pascal
Siakam",IND,43.0,F,,,New Mexico State,Cameroon,80,245.0,siakapa01
"Ben
Simmons",LAC,25.0,G,,,Louisiana State,Australia,82,240.0,simmobe01
"Anfernee
Simons",POR,1.0,G,,,Edgewater HS (FL),USA,75,200.0,simonan01
"KJ
Simpson",CHA,25.0,G,,,Colorado,USA,72,189.0,simpskj01
"Jaylen
Sims",FA,FA,G,,,UNC-Wilmington,USA,78,210.0,simsja010
"Jericho
Sims",MIL,0.0,C,,,Texas,USA,82,250.0,simsje010
"Marcus
Smart",WAS,36.0,G,,,Oklahoma State,USA,75,220.0,smartma01
"Dru
Smith",MIA,12.0,G,,,Missouri,USA,74,203.0,smithdr01
"Jalen
Smith",CHI,7.0,F,,,Maryland,USA,81,215.0,smithja01
"Tolu
Smith",DET,35.0,F,,,Mississippi State,USA,83,,smithto01
"Tyler
Smith",MIL,21.0,F,,,NBA G League Ignite,USA,81,224.0,smithty01
"Jabari
Smith Jr.",HOU,10.0,F,,,Auburn,USA,82,220.0,jr.ja0100
"Nick
Smith Jr.",CHA,8.0,G,,,Arkansas,USA,74,185.0,jr.ni0100
"Jeremy
Sochan",SAS,10.0,F,,,Baylor,Poland,80,230.0,sochaje01
"Cam
Spencer",MEM,24.0,G,,,Connecticut,USA,76,205.0,spencca01
"Pat
Spencer",GSW,61.0,G,,,Northwestern,USA,75,205.0,spencpa01
"Jaden
Springer",UTA,11.0,G,,,Tennessee,USA,76,202.0,sprinja01
"Isaiah
Stevens",MIA,FA,G,,,Colorado State,USA,72,185.0,steveis01
"Lamar
Stevens",MEM,8.0,F,,,Penn State,USA,79,230.0,stevela01
"Isaiah
Stewart",DET,28.0,F,,,Washington,USA,80,250.0,stewais01
"Julian
Strawther",DEN,3.0,G,,,Gonzaga,USA,78,205.0,strawju01
"Max
Strus",CLE,1.0,G,,,DePaul,USA,77,215.0,strusma01
"Jalen
Suggs",ORL,4.0,G,,,Gonzaga,USA,77,205.0,suggsja01
"Cole
Swider",FA,FA,F,,,Syracuse,USA,80,220.0,swideco01
"Jae'Sean
Tate",HOU,8.0,F,,,Ohio State,USA,76,230.0,tateja010
"Jayson
Tatum",BOS,0.0,F,,,Duke,USA,80,210.0,tatumja01
"Terry
Taylor",FA,FA,F,,,Austin Peay,USA,76,230.0,taylote01
"Garrett
Temple",TOR,17.0,G,,,Louisiana State,USA,77,195.0,templga01
"Dalen
Terry",CHI,25.0,F,,,Arizona,USA,79,195.0,terryda01
"Daniel
Theis",FA,FA,F,,,Brose Bamberg,Germany,80,245.0,theisda01
"Cam
Thomas",BKN,24.0,G,,,Louisiana State,Japan,75,210.0,thomaca01
"Amen
Thompson",HOU,1.0,G,,,Overtime Elite,USA,79,200.0,thompam01
"Ausar
Thompson",DET,9.0,G,,,Overtime Elite,USA,78,205.0,thompau01
"Ethan
Thompson",ORL,55.0,G,,,Oregon State,Puerto Rico,77,195.0,thompet01
"Klay
Thompson",DAL,31.0,G,,,Washington State,USA,77,220.0,thompkl01
"Tristan
Thompson",CLE,13.0,C,,,Texas-Austin,Canada,81,254.0,thomptr01
"JT
Thor",WAS,21.0,F,,,Auburn,USA,81,203.0,thorjt010
"Matisse
Thybulle",POR,4.0,G,,,Washington,USA,77,201.0,thybuma01
"Xavier
Tillman",BOS,26.0,F,,,Michigan State,USA,79,245.0,tillmxa01
"Drew
Timme",BKN,26.0,F,,,Gonzaga,USA,82,235.0,timmedr01
"Nae'Qwan
Tomlin",CLE,30.0,F,,,Memphis,USA,82,210.0,tomlina01
"Nikola
Topić",OKC,44.0,G,,,Crvena zvezda,Serbia,78,200.0,topićni01
"Jacob
Toppin",ATL,0.0,F,,,Kentucky,USA,80,200.0,toppija01
"Obi
Toppin",IND,1.0,F,,,Dayton,USA,81,220.0,toppiob01
"Karl-Anthony
Towns",NYK,32.0,C,,,Kentucky,USA,84,248.0,townska01
"Armel
Traoré",FA,FA,F,,,ADA Blois,France,81,245.0,traorar01
"Luke
Travers",CLE,33.0,F,,,Rockingham Flames (Aus.),Australia,79,207.0,travelu01
"Gary
Trent Jr.",MIL,5.0,G,,,Duke,USA,77,204.0,jr.ga0100
"Oscar
Tshiebwe",UTA,34.0,F,,,Kentucky,DRC,80,255.0,tshieos01
"P.J.
Tucker",NYK,FA,F,,,Texas,USA,77,245.0,tuckep.01
"Myles
Turner",IND,33.0,C,,,Texas,USA,83,250.0,turnemy01
"Hunter
Tyson",DEN,5.0,F,,,Clemson,USA,80,215.0,tysonhu01
"Jaylon
Tyson",CLE,24.0,G,,,California,USA,78,215.0,tysonja01
"Stanley
Umude",MIL,17.0,G,,,Arkansas,USA,78,210.0,umudest01
"Jonas
Valančiūnas",SAC,17.0,C,,,Lietuvos rytas Vilnius,Lithuania,83,265.0,valanjo01
"Jarred
Vanderbilt",LAL,2.0,F,,,Kentucky,USA,80,214.0,vandeja01
"Fred
VanVleet",HOU,5.0,G,,,Wichita State,USA,72,197.0,vanvlfr01
"Devin
Vassell",SAS,24.0,G,,,Florida State,USA,77,200.0,vassede01
"Gabe
Vincent",LAL,7.0,G,,,California-Santa Barbara,USA,74,200.0,vincega01
"Nikola
Vučević",CHI,9.0,C,,,Southern California,Montenegro,82,260.0,vučevni01
"Tristan
Vukcevic",WAS,0.0,F,,,Real Madrid,Italy,84,220.0,vukcetr01
"Dean
Wade",CLE,32.0,F,,,Kansas State,USA,81,228.0,wadede010
"Franz
Wagner",ORL,22.0,F,,,Michigan,Germany,82,220.0,wagnefr01
"Moritz
Wagner",ORL,21.0,F,,,Michigan,Germany,83,245.0,wagnemo01
"Jabari
Walker",POR,34.0,F,,,Colorado,USA,79,237.0,walkeja01
"Jarace
Walker",IND,5.0,F,,,Houston,USA,79,235.0,walkeja01
"Lonnie
Walker IV",PHI,16.0,G,,,Miami,USA,76,204.0,ivlo01000
"Cason
Wallace",OKC,22.0,G,,,Kentucky,USA,75,195.0,wallaca01
"Keaton
Wallace",ATL,2.0,G,,,Texas-San Antonio,USA,75,185.0,wallake01
"Jordan
Walsh",BOS,27.0,G,,,Arkansas,USA,78,205.0,walshjo01
"Ja'Kobe
Walter",TOR,14.0,G,,,Baylor,USA,77,180.0,walteja01
"Kel'el
Ware",MIA,7.0,C,,,Indiana,USA,84,230.0,wareke010
"P.J.
Washington",DAL,25.0,F,,,Kentucky,USA,78,230.0,waship.01
"TyTy
Washington Jr.",PHX,14.0,G,,,Kentucky,USA,75,195.0,jr.ty0100
"Lindy
Waters III",DET,43.0,F,,,Oklahoma State,USA,78,210.0,iiili0100
"Trendon
Watford",BKN,9.0,G,,,Louisiana State,USA,80,237.0,watfotr01
"Anton
Watson",NYK,28.0,F,,,Gonzaga,USA,80,225.0,watsoan01
"Peyton
Watson",DEN,8.0,G,,,UCLA,USA,79,200.0,watsope01
"Jaylen
Wells",MEM,0.0,F,,,Washington State,USA,80,,wellsja01
"Victor
Wembanyama",SAS,1.0,F,,,Metropolitans 92,France,87,235.0,wembavi01
"Blake
Wesley",SAS,14.0,G,,,Notre Dame,USA,75,185.0,weslebl01
"Russell
Westbrook",DEN,4.0,G,,,UCLA,USA,76,200.0,westbru01
"Phillip
Wheeler",FA,FA,F,,,,USA,80,185.0,wheelph01
"Coby
White",CHI,0.0,G,,,North Carolina,USA,77,195.0,whiteco01
"Derrick
White",BOS,9.0,G,,,Colorado,USA,76,190.0,whitede01
"Dariq
Whitehead",BKN,0.0,G,,,Duke,USA,78,220.0,whiteda01
"Cam
Whitmore",HOU,7.0,F,,,Villanova,USA,79,230.0,whitmca01
"Aaron
Wiggins",OKC,21.0,G,,,Maryland,USA,77,190.0,wiggiaa01
"Andrew
Wiggins",MIA,22.0,F,,,Kansas,Canada,79,197.0,wiggian01
"Alondes
Williams",FA,FA,G,,,Wake Forest,USA,76,210.0,willial01
"Brandon
Williams",DAL,10.0,G,,,Arizona,USA,73,190.0,willibr01
"Cody
Williams",UTA,5.0,F,,,Colorado,USA,79,190.0,willico01
"Grant
Williams",CHA,2.0,F,,,Tennessee,USA,78,236.0,willigr01
"Jalen
Williams",OKC,8.0,G,,,Santa Clara,USA,77,211.0,willija01
"Jaylin
Williams",OKC,6.0,F,,,Arkansas,USA,81,240.0,willija01
"Kenrich
Williams",OKC,34.0,G,,,TCU,USA,78,210.0,willike01
"Mark
Williams",CHA,5.0,C,,,Duke,USA,84,240.0,willima01
"Nate
Williams",HOU,19.0,G,,,Buffalo,USA,77,205.0,willina01
"Patrick
Williams",CHI,44.0,F,,,Florida State,USA,79,215.0,willipa01
"Ziaire
Williams",BKN,8.0,F,,,Stanford,USA,81,185.0,willizi01
"Robert
Williams III",POR,35.0,C,,,Texas A&M,USA,81,249.0,iiiro0100
"Vince
Williams Jr.",MEM,5.0,G,,,Virginia Commonwealth,USA,76,205.0,jr.vi0100
"Zion
Williamson",NOP,1.0,F,,,Duke,USA,78,284.0,willizi01
"Jalen
Wilson",BKN,22.0,F,,,Kansas,USA,78,220.0,wilsoja01
"James
Wiseman",FA,FA,C,,,Memphis,USA,83,240.0,wisemja01
"Isaiah
Wong",FA,FA,G,,,Miami,USA,75,185.0,wongis010
"Delon
Wright",NYK,0.0,G,,,Utah,USA,77,185.0,wrighde01
"Guerschon
Yabusele",PHI,28.0,F,,,"Rouen, France",France,80,265.0,yabusgu01
"Cui
Yongxi",FA,FA,F,,,Guangzhou Loong Lions,China,77,190.0,yongxcu01
"Jahmir
Young",CHI,11.0,G,,,Maryland,USA,73,185.0,youngja01
"Trae
Young",ATL,11.0,G,,,Oklahoma,USA,73,164.0,youngtr01
"Ivica
Zubac",LAC,40.0,C,,,Mega Basket,Croatia,84,240.0,zubaciv01
