player,headshot_url,experience,birthdate,experience_years
"Alex
Reese",utils/images/john_doe_headshot.png,,,
"Antonio
Reeves",utils/images/john_doe_headshot.png,,,
"Naz
Reid",utils/images/john_doe_headshot.png,,,
"Jared
Rhoden",utils/images/john_doe_headshot.png,,,
"Nick
Richards",utils/images/john_doe_headshot.png,,,
"Josh
Richardson",utils/images/john_doe_headshot.png,,,
"Zaccharie
Risacher",utils/images/john_doe_headshot.png,,,
"Liam
Robbins",utils/images/john_doe_headshot.png,,,
"Duncan
Robinson",utils/images/john_doe_headshot.png,,,
"Mitchell
Robinson",utils/images/john_doe_headshot.png,,,
"Orlando
Robinson",utils/images/john_doe_headshot.png,,,
"Jeremiah
Robinson-Earl",utils/images/john_doe_headshot.png,,,
"David
Roddy",utils/images/john_doe_headshot.png,,,
"Ryan
Rollins",utils/images/john_doe_headshot.png,,,
"Jackson
Rowe",utils/images/john_doe_headshot.png,,,
"Terry
Rozier",utils/images/john_doe_headshot.png,,,
"Rayan
Rupert",utils/images/john_doe_headshot.png,,,
"D'Angelo
Russell",utils/images/john_doe_headshot.png,,,
"Matt
Ryan",utils/images/john_doe_headshot.png,,,
"Domantas
Sabonis",utils/images/john_doe_headshot.png,,,
"Tidjane
Salaün",utils/images/john_doe_headshot.png,,,
"Adama
Sanogo",utils/images/john_doe_headshot.png,,,
"Gui
Santos",utils/images/john_doe_headshot.png,,,
"Dario
Šarić",utils/images/john_doe_headshot.png,,,
"Alex
Sarr",utils/images/john_doe_headshot.png,,,
"Marcus
Sasser",utils/images/john_doe_headshot.png,,,
"Baylor
Scheierman",utils/images/john_doe_headshot.png,,,
"Dennis
Schröder",utils/images/john_doe_headshot.png,,,
"Alperen
Sengun",utils/images/john_doe_headshot.png,,,
"Brice
Sensabaugh",utils/images/john_doe_headshot.png,,,
"Collin
Sexton",utils/images/john_doe_headshot.png,,,
"Landry
Shamet",utils/images/john_doe_headshot.png,,,
"Terrence
Shannon Jr.",utils/images/john_doe_headshot.png,,,
"Day'Ron
Sharpe",utils/images/john_doe_headshot.png,,,
"Shaedon
Sharpe",utils/images/john_doe_headshot.png,,,
"Jamal
Shead",utils/images/john_doe_headshot.png,,,
"Ben
Sheppard",utils/images/john_doe_headshot.png,,,
"Reed
Sheppard",utils/images/john_doe_headshot.png,,,
"Pascal
Siakam",utils/images/john_doe_headshot.png,,,
"Ben
Simmons",utils/images/john_doe_headshot.png,,,
"Anfernee
Simons",utils/images/john_doe_headshot.png,,,
"KJ
Simpson",utils/images/john_doe_headshot.png,,,
"Jaylen
Sims",utils/images/john_doe_headshot.png,,,
"Jericho
Sims",utils/images/john_doe_headshot.png,,,
"Marcus
Smart",utils/images/john_doe_headshot.png,,,
"Dru
Smith",utils/images/john_doe_headshot.png,,,
"Jalen
Smith",utils/images/john_doe_headshot.png,,,
"Tolu
Smith",utils/images/john_doe_headshot.png,,,
"Tyler
Smith",utils/images/john_doe_headshot.png,,,
"Jabari
Smith Jr.",utils/images/john_doe_headshot.png,,,
"Nick
Smith Jr.",utils/images/john_doe_headshot.png,,,
"Jeremy
Sochan",utils/images/john_doe_headshot.png,,,
"Cam
Spencer",utils/images/john_doe_headshot.png,,,
"Pat
Spencer",utils/images/john_doe_headshot.png,,,
"Jaden
Springer",utils/images/john_doe_headshot.png,,,
"Isaiah
Stevens",utils/images/john_doe_headshot.png,,,
"Lamar
Stevens",utils/images/john_doe_headshot.png,,,
"Isaiah
Stewart",utils/images/john_doe_headshot.png,,,
"Julian
Strawther",utils/images/john_doe_headshot.png,,,
"Max
Strus",utils/images/john_doe_headshot.png,,,
"Jalen
Suggs",utils/images/john_doe_headshot.png,,,
"Cole
Swider",utils/images/john_doe_headshot.png,,,
"Jae'Sean
Tate",utils/images/john_doe_headshot.png,,,
"Jayson
Tatum",utils/images/john_doe_headshot.png,,,
"Terry
Taylor",utils/images/john_doe_headshot.png,,,
"Garrett
Temple",utils/images/john_doe_headshot.png,,,
"Dalen
Terry",utils/images/john_doe_headshot.png,,,
"Daniel
Theis",utils/images/john_doe_headshot.png,,,
"Cam
Thomas",utils/images/john_doe_headshot.png,,,
"Amen
Thompson",utils/images/john_doe_headshot.png,,,
"Ausar
Thompson",utils/images/john_doe_headshot.png,,,
"Ethan
Thompson",utils/images/john_doe_headshot.png,,,
"Klay
Thompson",utils/images/john_doe_headshot.png,,,
"Tristan
Thompson",utils/images/john_doe_headshot.png,,,
"JT
Thor",utils/images/john_doe_headshot.png,,,
"Matisse
Thybulle",utils/images/john_doe_headshot.png,,,
"Xavier
Tillman",utils/images/john_doe_headshot.png,,,
"Drew
Timme",utils/images/john_doe_headshot.png,,,
"Nae'Qwan
Tomlin",utils/images/john_doe_headshot.png,,,
"Nikola
Topić",utils/images/john_doe_headshot.png,,,
"Jacob
Toppin",utils/images/john_doe_headshot.png,,,
"Obi
Toppin",utils/images/john_doe_headshot.png,,,
"Karl-Anthony
Towns",utils/images/john_doe_headshot.png,,,
"Armel
Traoré",utils/images/john_doe_headshot.png,,,
"Luke
Travers",utils/images/john_doe_headshot.png,,,
"Gary
Trent Jr.",utils/images/john_doe_headshot.png,,,
"Oscar
Tshiebwe",utils/images/john_doe_headshot.png,,,
"P.J.
Tucker",utils/images/john_doe_headshot.png,,,
"Myles
Turner",utils/images/john_doe_headshot.png,,,
"Hunter
Tyson",utils/images/john_doe_headshot.png,,,
"Jaylon
Tyson",utils/images/john_doe_headshot.png,,,
"Stanley
Umude",utils/images/john_doe_headshot.png,,,
"Jonas
Valančiūnas",utils/images/john_doe_headshot.png,,,
"Jarred
Vanderbilt",utils/images/john_doe_headshot.png,,,
"Fred
VanVleet",utils/images/john_doe_headshot.png,,,
"Devin
Vassell",utils/images/john_doe_headshot.png,,,
"Gabe
Vincent",utils/images/john_doe_headshot.png,,,
"Nikola
Vučević",utils/images/john_doe_headshot.png,,,
"Tristan
Vukcevic",utils/images/john_doe_headshot.png,,,
"Dean
Wade",utils/images/john_doe_headshot.png,,,
"Franz
Wagner",utils/images/john_doe_headshot.png,,,
"Moritz
Wagner",utils/images/john_doe_headshot.png,,,
"Jabari
Walker",utils/images/john_doe_headshot.png,,,
"Jarace
Walker",utils/images/john_doe_headshot.png,,,
"Lonnie
Walker IV",utils/images/john_doe_headshot.png,,,
"Cason
Wallace",utils/images/john_doe_headshot.png,,,
"Keaton
Wallace",utils/images/john_doe_headshot.png,,,
"Jordan
Walsh",utils/images/john_doe_headshot.png,,,
"Ja'Kobe
Walter",utils/images/john_doe_headshot.png,,,
"Kel'el
Ware",utils/images/john_doe_headshot.png,,,
"P.J.
Washington",utils/images/john_doe_headshot.png,,,
"TyTy
Washington Jr.",utils/images/john_doe_headshot.png,,,
"Lindy
Waters III",utils/images/john_doe_headshot.png,,,
"Trendon
Watford",utils/images/john_doe_headshot.png,,,
"Anton
Watson",utils/images/john_doe_headshot.png,,,
"Peyton
Watson",utils/images/john_doe_headshot.png,,,
"Jaylen
Wells",utils/images/john_doe_headshot.png,,,
"Victor
Wembanyama",utils/images/john_doe_headshot.png,,,
"Blake
Wesley",utils/images/john_doe_headshot.png,,,
"Russell
Westbrook",utils/images/john_doe_headshot.png,,,
"Phillip
Wheeler",utils/images/john_doe_headshot.png,,,
"Coby
White",utils/images/john_doe_headshot.png,,,
"Derrick
White",utils/images/john_doe_headshot.png,,,
"Dariq
Whitehead",utils/images/john_doe_headshot.png,,,
"Cam
Whitmore",utils/images/john_doe_headshot.png,,,
"Aaron
Wiggins",utils/images/john_doe_headshot.png,,,
"Andrew
Wiggins",utils/images/john_doe_headshot.png,,,
"Alondes
Williams",utils/images/john_doe_headshot.png,,,
"Brandon
Williams",utils/images/john_doe_headshot.png,,,
"Cody
Williams",utils/images/john_doe_headshot.png,,,
"Grant
Williams",utils/images/john_doe_headshot.png,,,
"Jalen
Williams",utils/images/john_doe_headshot.png,,,
"Jaylin
Williams",utils/images/john_doe_headshot.png,,,
"Kenrich
Williams",utils/images/john_doe_headshot.png,,,
"Mark
Williams",utils/images/john_doe_headshot.png,,,
"Nate
Williams",utils/images/john_doe_headshot.png,,,
"Patrick
Williams",utils/images/john_doe_headshot.png,,,
"Ziaire
Williams",utils/images/john_doe_headshot.png,,,
"Robert
Williams III",utils/images/john_doe_headshot.png,,,
"Vince
Williams Jr.",utils/images/john_doe_headshot.png,,,
"Zion
Williamson",utils/images/john_doe_headshot.png,,,
"Jalen
Wilson",utils/images/john_doe_headshot.png,,,
"James
Wiseman",utils/images/john_doe_headshot.png,,,
"Isaiah
Wong",utils/images/john_doe_headshot.png,,,
"Delon
Wright",utils/images/john_doe_headshot.png,,,
"Guerschon
Yabusele",utils/images/john_doe_headshot.png,,,
"Cui
Yongxi",utils/images/john_doe_headshot.png,,,
"Jahmir
Young",utils/images/john_doe_headshot.png,,,
"Trae
Young",utils/images/john_doe_headshot.png,,,
"Ivica
Zubac",utils/images/john_doe_headshot.png,,,
