CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS
203468,CJ McCollum,1610612740,NOP,G,33.0,56,56,0.545,3.91,6.98,0.56,0.541,0.019
1631165,Keon Ellis,1610612758,SAC,G,25.0,79,78,0.62,3.97,6.96,0.571,0.537,0.034
1628374,Lauri Markkanen,1610612762,UTA,F-C,28.0,47,47,0.625,3.66,6.94,0.528,0.547,-0.02
202687,Bismack Biyombo,1610612759,SAS,C,32.0,27,27,0.779,3.52,6.93,0.508,0.569,-0.061
1641731,Bilal Coulibaly,1610612764,WAS,G,20.0,59,58,0.616,3.63,6.92,0.525,0.54,-0.016
1629622,Max Strus,1610612739,CLE,G-F,29.0,50,50,0.613,3.9,6.92,0.564,0.543,0.021
1641774,Tristan Vukcevic,1610612764,WAS,F,22.0,31,30,0.706,3.87,6.9,0.561,0.541,0.019
1630591,Jalen Suggs,1610612753,ORL,G,24.0,35,35,0.648,3.54,6.89,0.515,0.542,-0.028
1631255,Karlo Matković,1610612740,NOP,F-C,24.0,42,42,0.688,3.93,6.88,0.571,0.552,0.019
203507,Giannis Antetokounmpo,1610612749,MIL,F,30.0,67,66,0.585,3.57,6.88,0.518,0.56,-0.041
203991,Clint Capela,1610612737,ATL,C,31.0,55,55,0.716,3.47,6.87,0.505,0.558,-0.053
1629312,Haywood Highsmith,1610612748,MIA,F,28.0,74,73,0.593,3.65,6.86,0.531,0.532,-0.001
1628467,Maxi Kleber,1610612747,LAL,F,33.0,34,34,0.662,3.74,6.85,0.545,0.54,0.005
1642348,Justin Edwards,1610612755,PHI,F,21.0,44,43,0.612,3.8,6.84,0.555,0.539,0.016
202681,Kyrie Irving,1610612742,DAL,G,33.0,50,50,0.617,3.72,6.8,0.547,0.536,0.011
1642366,Quinten Post,1610612744,GSW,C,25.0,40,39,0.714,3.48,6.8,0.511,0.554,-0.043
1641737,Adem Bona,1610612755,PHI,F,22.0,51,51,0.701,3.31,6.75,0.491,0.557,-0.066
1641730,Noah Clowney,1610612751,BKN,F-C,20.0,46,46,0.618,3.54,6.74,0.526,0.554,-0.028
1631107,Nikola Jović,1610612748,MIA,F,21.0,46,46,0.584,3.52,6.74,0.523,0.542,-0.019
1642258,Zaccharie Risacher,1610612737,ATL,F,20.0,75,75,0.61,3.69,6.72,0.55,0.54,0.009
1631114,Jalen Williams,1610612760,OKC,G-F,24.0,69,69,0.684,3.12,6.71,0.464,0.544,-0.079
1630173,Precious Achiuwa,1610612752,NYK,F,25.0,56,55,0.689,3.5,6.7,0.523,0.554,-0.031
1628381,John Collins,1610612762,UTA,F-C,27.0,40,40,0.574,3.9,6.68,0.584,0.562,0.022
1631115,Orlando Robinson,1610612761,TOR,C,24.0,43,40,0.643,3.67,6.67,0.551,0.549,0.002
1630162,Anthony Edwards,1610612750,MIN,G,23.0,79,78,0.581,3.56,6.67,0.533,0.544,-0.011
1641708,Amen Thompson,1610612745,HOU,G-F,22.0,69,69,0.628,3.1,6.64,0.467,0.539,-0.072
1630170,Devin Vassell,1610612759,SAS,G-F,24.0,64,63,0.653,3.58,6.64,0.539,0.546,-0.007
203897,Zach LaVine,1610612758,SAC,G,30.0,74,74,0.508,3.77,6.64,0.568,0.542,0.026
1642264,Stephon Castle,1610612759,SAS,G,20.0,81,80,0.595,3.84,6.63,0.579,0.541,0.038
1629661,Cameron Johnson,1610612751,BKN,F,29.0,57,57,0.592,3.63,6.61,0.549,0.552,-0.003
1630543,Isaiah Jackson,1610612754,IND,F,23.0,5,5,0.717,2.8,6.6,0.424,0.566,-0.142
1629637,Jaxson Hayes,1610612747,LAL,C-F,25.0,55,54,0.686,3.05,6.6,0.463,0.551,-0.089
203924,Jerami Grant,1610612757,POR,F,31.0,47,47,0.633,3.21,6.6,0.487,0.54,-0.053
1629630,Ja Morant,1610612763,MEM,G,25.0,49,49,0.64,3.51,6.59,0.533,0.535,-0.002
203471,Dennis Schröder,1610612765,DET,G,31.0,75,74,0.638,3.59,6.59,0.545,0.535,0.01
1629638,Nickeil Alexander-Walker,1610612750,MIN,G,26.0,82,81,0.653,3.62,6.57,0.551,0.529,0.022
1628989,Kevin Huerter,1610612741,CHI,G-F,26.0,69,68,0.633,3.26,6.54,0.499,0.539,-0.04
1630245,Ayo Dosunmu,1610612741,CHI,G,25.0,46,45,0.621,3.76,6.52,0.577,0.53,0.047
1630551,Justin Champagnie,1610612764,WAS,G-F,23.0,58,54,0.611,3.17,6.5,0.488,0.542,-0.053
1629027,Trae Young,1610612737,ATL,G,26.0,76,76,0.547,3.8,6.5,0.585,0.53,0.055
1629643,Chuma Okeke,1610612739,CLE,F,26.0,8,8,0.605,4.13,6.5,0.635,0.539,0.096
1630529,Herbert Jones,1610612740,NOP,F,26.0,20,20,0.551,3.65,6.5,0.562,0.528,0.034
1629060,Rui Hachimura,1610612747,LAL,F,27.0,59,59,0.563,3.54,6.49,0.546,0.549,-0.004
1627759,Jaylen Brown,1610612738,BOS,G-F,28.0,63,63,0.552,3.79,6.48,0.586,0.549,0.036
1628398,Kyle Kuzma,1610612749,MIL,F,29.0,65,64,0.601,3.51,6.48,0.542,0.546,-0.004
1641764,Brandin Podziemski,1610612744,GSW,G,22.0,63,63,0.662,3.65,6.48,0.564,0.533,0.031
203081,Damian Lillard,1610612749,MIL,G,34.0,58,58,0.53,3.59,6.47,0.555,0.537,0.017
1629636,Darius Garland,1610612739,CLE,G,25.0,75,75,0.6,3.44,6.47,0.532,0.533,-0.001
1630577,Julian Champagnie,1610612759,SAS,F,23.0,82,82,0.605,3.57,6.46,0.553,0.538,0.015
203482,Kelly Olynyk,1610612740,NOP,F-C,34.0,44,43,0.619,3.57,6.45,0.553,0.549,0.003
1628380,Zach Collins,1610612741,CHI,F-C,27.0,63,61,0.687,3.17,6.44,0.493,0.553,-0.061
1631260,AJ Green,1610612749,MIL,G,25.0,72,70,0.614,3.35,6.4,0.523,0.533,-0.01
1630542,Marcus Bagley,1610612755,PHI,F,23.0,10,10,0.627,3.0,6.4,0.469,0.555,-0.087
203083,Andre Drummond,1610612755,PHI,C,31.0,39,38,0.64,3.77,6.38,0.59,0.558,0.033
201142,Kevin Durant,1610612756,PHX,F,36.0,62,62,0.513,2.95,6.35,0.464,0.544,-0.08
1641717,Cason Wallace,1610612760,OKC,G,21.0,68,68,0.535,3.34,6.35,0.525,0.535,-0.009
1631093,Jaden Ivey,1610612765,DET,G,23.0,30,30,0.594,3.47,6.33,0.547,0.537,0.011
1628370,Malik Monk,1610612758,SAC,G,27.0,65,65,0.579,3.26,6.32,0.516,0.536,-0.02
1631101,Shaedon Sharpe,1610612757,POR,G,22.0,72,72,0.631,3.51,6.28,0.56,0.543,0.017
1642377,Jaylen Wells,1610612763,MEM,F,21.0,78,76,0.636,3.19,6.28,0.508,0.534,-0.026
1630703,Scoot Henderson,1610612757,POR,G,21.0,66,66,0.618,3.68,6.27,0.587,0.541,0.046
1626158,Richaun Holmes,1610612764,WAS,F,31.0,30,30,0.723,3.0,6.27,0.479,0.553,-0.075
201942,DeMar DeRozan,1610612758,SAC,G-F,35.0,77,77,0.568,3.65,6.27,0.582,0.552,0.03
1642367,Jonathan Mogbo,1610612761,TOR,F,23.0,62,60,0.653,3.47,6.26,0.554,0.54,0.014
1627741,Buddy Hield,1610612744,GSW,G,32.0,82,81,0.651,3.43,6.26,0.548,0.538,0.01
1630556,Kessler Edwards,1610612742,DAL,F,24.0,34,31,0.705,3.35,6.26,0.535,0.547,-0.012
1641711,Gradey Dick,1610612761,TOR,G-F,21.0,54,54,0.592,3.59,6.24,0.576,0.547,0.028
1630540,Miles McBride,1610612752,NYK,G,24.0,63,63,0.628,3.06,6.24,0.491,0.528,-0.037
1630598,Aaron Wiggins,1610612760,OKC,G,26.0,76,75,0.597,3.53,6.24,0.565,0.537,0.029
1631119,Jaylin Williams,1610612760,OKC,F,22.0,47,47,0.648,3.09,6.23,0.495,0.549,-0.054
1630217,Desmond Bane,1610612763,MEM,G,26.0,68,68,0.597,3.01,6.22,0.485,0.538,-0.053
203084,Harrison Barnes,1610612759,SAS,F,33.0,82,80,0.592,3.65,6.15,0.593,0.55,0.043
1630230,Naji Marshall,1610612742,DAL,F,27.0,69,69,0.602,3.42,6.14,0.557,0.541,0.016
1629656,Quentin Grimes,1610612755,PHI,G,25.0,75,75,0.634,3.29,6.12,0.538,0.539,-0.001
1630174,Aaron Nesmith,1610612754,IND,G-F,25.0,45,45,0.624,3.0,6.09,0.493,0.532,-0.039
1641722,Jordan Hawkins,1610612740,NOP,G,23.0,55,53,0.587,3.45,6.09,0.567,0.541,0.027
1630534,Ochai Agbaji,1610612761,TOR,G,25.0,64,64,0.575,3.3,6.08,0.542,0.538,0.004
1626220,Royce O'Neale,1610612756,PHX,F,32.0,75,75,0.628,3.25,6.08,0.535,0.543,-0.008
1631131,Oscar Tshiebwe,1610612762,UTA,F-C,25.0,14,14,0.574,3.64,6.07,0.6,0.566,0.034
1642354,KJ Simpson,1610612766,CHA,G,22.0,36,35,0.651,3.58,6.06,0.592,0.536,0.056
1630553,Keon Johnson,1610612751,BKN,G,23.0,78,77,0.627,3.56,6.06,0.588,0.537,0.05
1631217,Moussa Diabaté,1610612766,CHA,F,23.0,67,65,0.634,3.36,6.06,0.554,0.554,0.0
202710,Jimmy Butler III,1610612744,GSW,F,35.0,55,55,0.555,3.4,6.04,0.563,0.539,0.025
1641824,Matas Buzelis,1610612741,CHI,F,20.0,77,73,0.644,3.09,6.03,0.513,0.543,-0.03
1629731,Dean Wade,1610612739,CLE,F-C,28.0,59,57,0.711,3.02,6.02,0.501,0.544,-0.043
203915,Spencer Dinwiddie,1610612742,DAL,G,32.0,78,78,0.614,3.1,6.0,0.517,0.537,-0.02
1627747,Caris LeVert,1610612737,ATL,G,30.0,64,64,0.591,3.03,6.0,0.505,0.536,-0.031
1641878,Damion Baugh,1610612766,CHA,G,24.0,15,15,0.526,3.87,6.0,0.644,0.553,0.092
1630165,Killian Hayes,1610612751,BKN,G,23.0,6,6,0.667,3.67,6.0,0.611,0.555,0.056
1630172,Patrick Williams,1610612741,CHI,F,23.0,63,63,0.607,3.6,5.97,0.604,0.55,0.054
1642358,AJ Johnson,1610612764,WAS,G,20.0,26,26,0.594,3.27,5.96,0.548,0.531,0.017
