season,player_id,player_name,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2023-24,1630285,Zavier Simpson,Zavier,1610612763,MEM,Memphis Grizzlies,22301129,2024-04-06T00:00:00,MEM vs. PHI,L,30.116666666666667,4,12,0.333,3,4,0.75,3,4,0.75,2,2,4,4,2,2,2,2,2,2,14,-15,34.8,0,0,33.0,1,13252,13252,13252,7876,9679,6130,17629,2226,7844,1673,4235,3806,8216,3105,13100,9569,4938,4132,1349,879,23757,13042,6969,7525,23787,5135,2248,138,5132,1,30:07,2023,2024
2023-24,1641998,Trey Jemison III,Trey,1610612763,MEM,Memphis Grizzlies,22301129,2024-04-06T00:00:00,MEM vs. PHI,L,33.46666666666667,2,6,0.333,0,0,0.0,1,1,1.0,4,3,7,2,3,0,0,1,2,2,5,-17,13.4,0,0,14.0,1,13252,13252,13252,5031,15517,14269,17629,14651,20560,14651,10099,12641,1,766,9402,3886,9909,1850,12108,8529,17336,13042,6969,17241,24448,17150,2248,138,16037,1,33:28,2023,2024
2023-24,1641970,Maozinha Pereira,Maozinha,1610612763,MEM,Memphis Grizzlies,22301129,2024-04-06T00:00:00,MEM vs. PHI,L,36.266666666666666,5,9,0.556,2,4,0.5,1,2,0.5,0,11,11,1,3,1,0,1,3,1,13,-11,27.7,1,0,29.0,1,13252,13252,13252,2755,7292,9591,7603,4439,7844,4049,10099,7481,10591,13449,309,1073,14131,1850,4430,8529,17336,18879,11166,8427,21910,8377,1,138,6880,1,36:16,2023,2024
2023-24,1630590,Scotty Pippen Jr.,Scotty,1610612763,MEM,Memphis Grizzlies,22301129,2024-04-06T00:00:00,MEM vs. PHI,L,30.4,9,16,0.563,2,4,0.5,4,4,1.0,2,0,2,5,4,2,0,0,5,7,24,-12,35.9,0,0,37.0,1,13252,13252,13252,7630,1924,3032,7486,4439,7844,4049,2744,3806,1,3105,22149,15973,3413,804,1349,8529,1,25189,505,2264,22460,4744,2248,138,3693,1,30:24,2023,2024
2023-24,1641851,Timmy Allen,Timmy,1610612763,MEM,Memphis Grizzlies,22301129,2024-04-06T00:00:00,MEM vs. PHI,L,26.066666666666663,1,6,0.167,0,3,0.0,0,0,0.0,0,2,2,0,1,0,0,0,2,2,2,-18,3.4,0,0,4.0,1,13252,13252,13252,11189,18910,14269,21962,14651,10539,14651,13417,14233,13417,13449,13100,15973,19657,8468,12108,8529,1,13042,6969,21036,24741,23409,2248,138,22721,1,26:04,2023,2024
2023-24,1641713,GG Jackson,GG,1610612763,MEM,Memphis Grizzlies,22301121,2024-04-05T00:00:00,MEM vs. DET,W,26.58333333333333,6,12,0.5,3,6,0.5,0,1,0.0,0,3,3,4,2,0,0,0,1,1,15,11,22.6,0,0,25.0,1,1,1,1,10766,5451,6130,8954,2226,3921,4049,13417,12641,13417,13449,9402,12548,4938,4132,12108,8529,1,6163,11166,6762,4032,11204,2248,138,9026,1,26:35,2023,2024
2023-24,1641970,Maozinha Pereira,Maozinha,1610612763,MEM,Memphis Grizzlies,22301121,2024-04-05T00:00:00,MEM vs. DET,W,30.45,6,10,0.6,2,4,0.5,3,3,1.0,3,6,9,0,0,1,1,0,1,3,17,25,33.8,0,0,32.0,1,1,1,1,7593,5451,8327,5678,4439,7844,4049,4235,6016,1,1506,2880,2119,19657,16035,4430,2720,1,6163,4296,5445,542,5494,2248,138,5538,1,30:27,2023,2024
2023-24,1641998,Trey Jemison III,Trey,1610612763,MEM,Memphis Grizzlies,22301121,2024-04-05T00:00:00,MEM vs. DET,W,31.3,7,9,0.778,0,0,0.0,3,3,1.0,8,5,13,1,4,1,3,0,4,3,17,-2,42.1,1,0,39.0,1,1,1,1,6846,3981,9591,2093,14651,20560,14651,4235,6016,1,36,4442,500,14131,804,4430,312,1,22902,4296,5445,14544,2755,1,138,3091,1,31:18,2023,2024
2023-24,1630285,Zavier Simpson,Zavier,1610612763,MEM,Memphis Grizzlies,22301121,2024-04-05T00:00:00,MEM vs. DET,W,32.733333333333334,1,9,0.111,0,4,0.0,0,0,0.0,0,2,2,3,3,2,1,1,1,0,2,15,14.9,0,0,13.0,1,1,1,1,5674,18910,9591,22469,14651,7844,14651,13417,14233,13417,13449,13100,15973,7003,1850,1349,2720,17336,6163,17532,21036,2411,16125,2248,138,16694,1,32:44,2023,2024
2023-24,1631222,Jake LaRavia,Jake,1610612763,MEM,Memphis Grizzlies,22301121,2024-04-05T00:00:00,MEM vs. DET,W,33.71666666666667,4,15,0.267,1,8,0.125,3,3,1.0,1,4,5,2,4,1,1,1,0,2,12,17,23.0,0,0,24.0,1,1,1,1,4841,9679,3661,20314,8460,1806,14525,4235,6016,1,6495,6490,7148,9909,804,4430,2720,17336,1,6969,9297,1815,10941,2248,138,9599,1,33:43,2023,2024
