season,team_id,team,team_name,game_id,game_date,matchup,wl,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,available_flag,season_start,season_end,is_home,home,away,MON
2018-19,1610612742,DAL,Dallas Mavericks,21800412,2018-12-12,DAL vs. ATL,W,48.0,0.547,0.573,0.137,0.238,0.522,0.151,0.206,0.358,0,0,0,0,135,872,11,1243,1619,1190,256,109,2204,1,2018,2019,True,DAL,ATL,DEC
2018-19,1610612742,DAL,Dallas Mavericks,21800397,2018-12-10,DAL vs. ORL,W,48.0,0.488,0.305,0.143,0.245,0.404,0.056,0.165,0.207,0,0,0,0,135,1778,713,1365,1529,65,5,574,453,1,2018,2019,True,DAL,ORL,DEC
2018-19,1610612742,DAL,Dallas Mavericks,21800378,2018-12-08,DAL vs. HOU,W,48.0,0.566,0.193,0.189,0.386,0.541,0.151,0.13,0.313,0,0,0,0,135,618,1904,2224,124,1491,263,1403,1807,1,2018,2019,True,DAL,HOU,DEC
2018-19,1610612742,DAL,Dallas Mavericks,21800363,2018-12-05,DAL @ NOP,L,48.0,0.505,0.231,0.17,0.236,0.647,0.217,0.112,0.182,0,0,0,0,135,1504,1488,1971,1639,2382,797,1883,240,1,2018,2019,False,NOP,DAL,DEC
2018-19,1610612742,DAL,Dallas Mavericks,21800352,2018-12-04,DAL vs. POR,W,48.0,0.494,0.398,0.126,0.321,0.494,0.274,0.188,0.245,0,0,0,0,135,1659,174,922,538,773,1439,244,914,1,2018,2019,True,DAL,POR,DEC
2018-19,1610612742,DAL,Dallas Mavericks,21800341,2018-12-02,DAL vs. LAC,W,48.0,0.484,0.274,0.15,0.327,0.489,0.232,0.104,0.175,0,0,0,0,135,1814,1023,1543,464,736,974,2035,197,1,2018,2019,True,DAL,LAC,DEC
2018-19,1610612742,DAL,Dallas Mavericks,21800328,2018-11-30,DAL @ LAL,L,48.0,0.453,0.395,0.148,0.218,0.541,0.372,0.168,0.229,0,0,0,0,135,2159,183,1524,1854,1491,2172,518,724,1,2018,2019,False,LAL,DAL,NOV
2018-19,1610612742,DAL,Dallas Mavericks,21800309,2018-11-28,DAL @ HOU,W,48.0,0.641,0.282,0.156,0.425,0.534,0.264,0.191,0.412,0,0,0,0,135,93,932,1692,45,1392,1325,218,2403,1,2018,2019,False,HOU,DAL,NOV
2018-19,1610612742,DAL,Dallas Mavericks,21800283,2018-11-24,DAL vs. BOS,W,48.0,0.575,0.241,0.163,0.32,0.535,0.151,0.184,0.304,0,0,0,0,135,519,1372,1846,568,1403,263,285,1711,1,2018,2019,True,DAL,BOS,NOV
2018-19,1610612742,DAL,Dallas Mavericks,21800261,2018-11-21,DAL vs. BKN,W,48.0,0.558,0.526,0.129,0.326,0.521,0.223,0.141,0.309,0,0,0,0,135,728,23,989,508,1184,869,1107,1766,1,2018,2019,True,DAL,BKN,NOV
2018-19,1610612742,DAL,Dallas Mavericks,21800244,2018-11-19,DAL @ MEM,L,48.0,0.398,0.239,0.115,0.267,0.544,0.177,0.17,0.143,0,0,0,0,135,2414,1410,627,1246,1550,439,464,62,1,2018,2019,False,MEM,DAL,NOV
2018-19,1610612742,DAL,Dallas Mavericks,21800232,2018-11-17,DAL vs. GSW,W,48.0,0.523,0.395,0.099,0.24,0.495,0.181,0.12,0.283,0,0,0,0,135,1225,183,332,1588,819,463,1680,1438,1,2018,2019,True,DAL,GSW,NOV
2018-19,1610612742,DAL,Dallas Mavericks,21800210,2018-11-14,DAL vs. UTA,W,48.0,0.662,0.312,0.2,0.222,0.346,0.235,0.218,0.217,0,0,0,0,135,46,656,2314,1805,2,1010,58,578,1,2018,2019,True,DAL,UTA,NOV
2018-19,1610612742,DAL,Dallas Mavericks,21800193,2018-11-12,DAL @ CHI,W,48.0,0.532,0.367,0.194,0.204,0.438,0.247,0.162,0.204,0,0,0,0,135,1112,305,2267,2025,185,1156,625,417,1,2018,2019,False,CHI,DAL,NOV
2018-19,1610612742,DAL,Dallas Mavericks,21800181,2018-11-10,DAL vs. OKC,W,48.0,0.649,0.221,0.168,0.25,0.438,0.186,0.17,0.438,0,0,0,0,135,71,1619,1963,1446,182,501,464,2435,1,2018,2019,True,DAL,OKC,NOV
2018-19,1610612742,DAL,Dallas Mavericks,21800160,2018-11-07,DAL @ UTA,L,48.0,0.452,0.548,0.243,0.326,0.556,0.292,0.117,0.22,0,0,0,0,135,2169,16,2450,497,1715,1617,1774,615,1,2018,2019,False,UTA,DAL,NOV
2018-19,1610612742,DAL,Dallas Mavericks,21800150,2018-11-06,DAL vs. WAS,W,48.0,0.567,0.329,0.18,0.302,0.489,0.23,0.1,0.176,0,0,0,0,135,609,541,2127,760,696,954,2092,202,1,2018,2019,True,DAL,WAS,NOV
2018-19,1610612742,DAL,Dallas Mavericks,21800121,2018-11-02,DAL vs. NYK,L,48.0,0.562,0.296,0.198,0.34,0.589,0.31,0.126,0.302,0,0,0,0,135,681,799,2297,372,2071,1774,1505,1693,1,2018,2019,True,DAL,NYK,NOV
2018-19,1610612742,DAL,Dallas Mavericks,21800109,2018-10-31,DAL @ LAL,L,48.0,0.576,0.221,0.217,0.295,0.571,0.286,0.189,0.256,0,0,0,0,135,507,1612,2399,869,1903,1550,238,1075,1,2018,2019,False,LAL,DAL,OCT
2018-19,1610612742,DAL,Dallas Mavericks,21800094,2018-10-29,DAL @ SAS,L,53.0,0.527,0.187,0.205,0.255,0.511,0.231,0.153,0.163,0,0,0,0,21,1173,1945,2345,1402,1041,964,816,136,1,2018,2019,False,SAS,DAL,OCT
2018-19,1610612742,DAL,Dallas Mavericks,21800084,2018-10-28,DAL vs. UTA,L,48.0,0.467,0.275,0.129,0.255,0.588,0.275,0.176,0.2,0,0,0,0,135,2036,1010,989,1420,2055,1452,373,371,1,2018,2019,True,DAL,UTA,OCT
2018-19,1610612742,DAL,Dallas Mavericks,21800069,2018-10-26,DAL @ TOR,L,48.0,0.478,0.261,0.147,0.298,0.544,0.22,0.126,0.271,0,0,0,0,135,1889,1165,1496,820,1546,833,1524,1258,1,2018,2019,False,TOR,DAL,OCT
2018-19,1610612742,DAL,Dallas Mavericks,21800052,2018-10-24,DAL @ ATL,L,48.0,0.484,0.286,0.152,0.203,0.489,0.341,0.136,0.196,0,0,0,0,135,1825,894,1597,2045,713,1997,1238,365,1,2018,2019,False,ATL,DAL,OCT
2018-19,1610612742,DAL,Dallas Mavericks,21800044,2018-10-22,DAL vs. CHI,W,48.0,0.511,0.226,0.162,0.377,0.594,0.263,0.192,0.233,0,0,0,0,135,1426,1551,1809,155,2114,1308,210,771,1,2018,2019,True,DAL,CHI,OCT
2018-19,1610612742,DAL,Dallas Mavericks,21800032,2018-10-20,DAL vs. MIN,W,48.0,0.587,0.347,0.147,0.377,0.607,0.476,0.155,0.262,0,0,0,0,135,413,417,1489,155,2206,2409,800,1152,1,2018,2019,True,DAL,MIN,OCT
2018-19,1610612742,DAL,Dallas Mavericks,21800013,2018-10-17,DAL @ PHX,L,48.0,0.489,0.227,0.095,0.245,0.66,0.198,0.126,0.162,0,0,0,0,135,1756,1531,276,1516,2412,598,1505,128,1,2018,2019,False,PHX,DAL,OCT
