season,team_id,team,team_name,game_id,game_date,matchup,wl,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,available_flag,season_start,season_end
2016-17,1610612743,DEN,Denver Nuggets,21601184,2017-04-07T00:00:00,DEN vs. NOP,W,48.0,0.635,0.41,0.202,0.325,0.49,0.131,0.108,0.218,0,0,0,0,141,86,210,2295,616,907,114,2013,556,1,2016,2017
2016-17,1610612761,TOR,Toronto Raptors,21601180,2017-04-07T00:00:00,TOR vs. MIA,W,48.0,0.465,0.282,0.178,0.321,0.446,0.349,0.192,0.291,0,0,0,0,141,1908,1069,2003,641,334,1974,259,1457,1,2016,2017
2016-17,1610612745,HOU,Houston Rockets,21601182,2017-04-07T00:00:00,HOU vs. DET,L,48.0,0.506,0.322,0.14,0.259,0.468,0.148,0.059,0.349,0,0,0,0,141,1359,695,1196,1402,587,174,2442,2075,1,2016,2017
2016-17,1610612737,ATL,Atlanta Hawks,21601179,2017-04-07T00:00:00,ATL @ CLE,W,48.0,0.596,0.09,0.111,0.182,0.537,0.21,0.143,0.136,0,0,0,0,141,277,2437,507,2178,1588,637,1181,71,1,2016,2017
2016-17,1610612740,NOP,New Orleans Pelicans,21601184,2017-04-07T00:00:00,NOP @ DEN,L,48.0,0.49,0.131,0.108,0.218,0.635,0.41,0.202,0.325,0,0,0,0,141,1551,2346,442,1897,2371,2250,165,1839,1,2016,2017
2016-17,1610612747,LAL,Los Angeles Lakers,21601187,2017-04-07T00:00:00,LAL vs. SAC,W,48.0,0.465,0.291,0.149,0.365,0.56,0.173,0.245,0.316,0,0,0,0,141,1903,985,1424,270,1858,347,14,1766,1,2016,2017
2016-17,1610612739,CLE,Cleveland Cavaliers,21601179,2017-04-07T00:00:00,CLE vs. ATL,L,48.0,0.537,0.21,0.143,0.136,0.596,0.09,0.111,0.182,0,0,0,0,141,870,1818,1247,2388,2181,23,1931,271,1,2016,2017
2016-17,1610612760,OKC,Oklahoma City Thunder,21601186,2017-04-07T00:00:00,OKC @ PHX,L,48.0,0.408,0.359,0.109,0.429,0.566,0.373,0.089,0.326,0,0,0,0,141,2355,435,453,39,1929,2100,2276,1846,1,2016,2017
2016-17,1610612759,SAS,San Antonio Spurs,21601183,2017-04-07T00:00:00,SAS @ DAL,W,48.0,0.464,0.229,0.073,0.311,0.477,0.091,0.094,0.137,0,0,0,0,141,1918,1612,65,747,724,25,2238,74,1,2016,2017
2016-17,1610612765,DET,Detroit Pistons,21601182,2017-04-07T00:00:00,DET @ HOU,W,48.0,0.468,0.148,0.059,0.349,0.506,0.322,0.14,0.259,0,0,0,0,141,1874,2287,19,386,1099,1761,1251,1049,1,2016,2017
2016-17,1610612762,UTA,Utah Jazz,21601185,2017-04-07T00:00:00,UTA vs. MIN,W,48.0,0.693,0.293,0.151,0.212,0.538,0.354,0.129,0.3,0,0,0,0,141,11,969,1456,1955,1595,1999,1519,1562,1,2016,2017
2016-17,1610612758,SAC,Sacramento Kings,21601187,2017-04-07T00:00:00,SAC @ LAL,L,48.0,0.56,0.173,0.245,0.316,0.465,0.291,0.149,0.365,0,0,0,0,141,600,2113,2446,685,556,1463,1022,2186,1,2016,2017
2016-17,1610612750,MIN,Minnesota Timberwolves,21601185,2017-04-07T00:00:00,MIN @ UTA,L,48.0,0.538,0.354,0.129,0.3,0.693,0.293,0.151,0.212,0,0,0,0,141,866,458,923,878,2450,1487,984,504,1,2016,2017
