player,team,number,position,height,weight,last_attended,country,birthdate,experience,draft,profile_url,is_active,is_free_agent,is_retired,headshot_url,legacy
Emanual Davis,,15,Guard,6-5,195,Delaware State,USA,"August 27, 1968",7 Years,Undrafted,https://www.nba.com/player/1023/emanual-davis,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1023.png,False
Glen Davis,,0,Forward-Center,6-9,289,Louisiana State,USA,"January 1, 1986",8 Years,2007 R2 Pick 35,https://www.nba.com/player/201175/glen-davis,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Harry Davis,,23,Forward,6-7,220,Florida State,USA,1956-01-27T00:00:00,2 Years,1978 #33,https://www.nba.com/player/76523/HISTADD-harry-davis,False,False,True,,True
Hubert Davis,,44,Guard,6-5,183,North Carolina,USA,"May 17, 1970",13 Years,1992 R1 Pick 20,https://www.nba.com/player/93/hubert-davis,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/93.png,False
James Davis,,6,Center,6-7,220,St. John's (NY),USA,1932-04-22T00:00:00,1 Years,1954 #52,https://www.nba.com/player/76524/HISTADD-red-davis,False,False,True,,True
Jim Davis,,20,Center,6-9,225,Colorado,USA,1941-12-18T00:00:00,8 Years,1964 #27,https://www.nba.com/player/76525/HISTADD-jim-davis,False,False,True,,True
Johnny Davis,,16,Guard,6-2,170,Dayton,USA,1955-10-21T00:00:00,10 Years,1976 #22,https://www.nba.com/player/76526/HISTADD-johnny-davis,False,False,True,,True
Johnny Davis,,,Guard,6-4,195,Wisconsin,USA,"February 27, 2002",2 Years,2022 R1 Pick 10,https://www.nba.com/player/1631098/johnny-davis,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Josh Davis,,,Forward,6-8,235,Wyoming,USA,"August 10, 1980",4 Years,Undrafted,https://www.nba.com/player/2668/josh-davis,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/2668.png,False
Mark Davis,,7,Guard-Forward,6-7,205,Texas Tech,USA,"April 26, 1973",4 Years,1995 R2 Pick 48,https://www.nba.com/player/707/mark-davis,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/707.png,False
Mark Davis,,,Forward,6-6,195,Old Dominion,USA,1963-06-08T00:00:00,1 Years,1985 #79,https://www.nba.com/player/76528/HISTADD-mark-g-davis,False,False,True,,True
Mel Davis,,31,Forward,6-6,220,St. John's (NY),USA,1950-11-09T00:00:00,4 Years,1973 #14,https://www.nba.com/player/76529/HISTADD-mel-davis,False,False,True,,True
Michael Davis,,,Forward,6-10,230,Maryland,USA,1956-08-02T00:00:00,1 Years,Undrafted #Undrafted,https://www.nba.com/player/76530/HISTADD-michael-davis,False,False,True,,True
Mike Davis,,32,Guard,6-3,185,Virginia Union,USA,1946-07-26T00:00:00,4 Years,1969 #14,https://www.nba.com/player/76531/HISTADD-mike-davis,False,False,True,,True
Monti Davis,,43,Forward,6-7,205,Tennessee State,USA,1958-07-26T00:00:00,1 Years,1980 #21,https://www.nba.com/player/76520/HISTADD-monti-davis,False,False,True,,True
Paul Davis,,,Center,6-11,270,Michigan State,USA,"July 21, 1984",4 Years,2006 R2 Pick 34,https://www.nba.com/player/200781/paul-davis,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/200781.png,False
Ralph Davis,,25,Guard,6-4,180,Cincinnati,USA,1938-09-07T00:00:00,2 Years,1960 #17,https://www.nba.com/player/76532/HISTADD-ralph-davis,False,False,True,,True
Ricky Davis,,,Guard,6-7,195,Iowa,USA,"September 23, 1979",12 Years,1998 R1 Pick 21,https://www.nba.com/player/1729/ricky-davis,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1729.png,False
Ron Davis,,42,Guard,6-6,198,Washington State,USA,1954-05-01T00:00:00,3 Years,1976 #70,https://www.nba.com/player/76534/HISTADD-ron-davis,False,False,True,,True
Terence Davis,SAC,3,Guard,6-4,201,Mississippi,USA,"May 16, 1997",4 Years,Undrafted,https://www.nba.com/player/1629056/terence-davis,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Terry Davis,,54,Center-Forward,6-10,270,Virginia Union,USA,"June 17, 1967",10 Years,Undrafted,https://www.nba.com/player/426/terry-davis,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/426.png,False
Tyler Davis,,,Center,6-10,266,Texas A&M,USA,"May 22, 1997",1 Year,Undrafted,https://www.nba.com/player/1629093/tyler-davis,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629093.png,False
Walt Davis,,12,Center,6-8,205,Texas A&M,USA,1931-01-05,5 Years,1952,https://www.nba.com/player/76536/HISTADD-buddy-davis,False,False,True,,True
Walter Davis,,6,Guard,6-6,193,North Carolina,USA,"September 9, 1954",15 Years,1977 R1 Pick 5,https://www.nba.com/player/1453/walter-davis,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1453.png,False
JD Davison,BOS,20,Guard,6-1,195,Alabama,USA,"October 3, 2002",2 Years,2022 R2 Pick 53,https://www.nba.com/player/1631120/jd-davison,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Andre Dawkins,,,Guard,6-5,219,Duke,USA,"September 19, 1991",1 Year,Undrafted,https://www.nba.com/player/203958/andre-dawkins,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203958.png,False
Darryl Dawkins,,50,Center,6-11,251,Maynard Evans HS (FL),USA,1957-01-11T00:00:00,14 Years,1975 #5,https://www.nba.com/player/76539/HISTADD-darryl-dawkins,False,False,True,,True
Johnny Dawkins,,12,Guard,6-2,165,Duke,USA,"September 28, 1963",9 Years,1986 R1 Pick 10,https://www.nba.com/player/1008/johnny-dawkins,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1008.png,False
Paul Dawkins,,31,Forward,6-5,190,Northern Illinois,USA,1957-06-10T00:00:00,1 Years,1979 #185,https://www.nba.com/player/76541/HISTADD-paul-dawkins,False,False,True,,True
Branden Dawson,,22,Forward,6-6,225,Michigan State,USA,"February 1, 1993",2 Years,2015 R2 Pick 56,https://www.nba.com/player/1626183/branden-dawson,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1626183.png,False
Eric Dawson,,,Forward,6-9,250,Midwestern State,USA,"July 7, 1984",2 Years,Undrafted,https://www.nba.com/player/201286/eric-dawson,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201286.png,False
Tony Dawson,,45,Forward,6-7,215,Florida State,USA,1967-08-25T00:00:00,2 Years,Undrafted #Undrafted,https://www.nba.com/player/76542/HISTADD-tony-dawson,False,False,True,,True
Todd Day,,,,,,Arkansas,USA,"January 7, 1970",8 Years,1992 R1 Pick 8,https://www.nba.com/player/103/todd-day,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/103.png,False
Austin Daye,,3,Forward,6-11,220,Gonzaga,USA,"June 5, 1988",7 Years,2009 R1 Pick 15,https://www.nba.com/player/201948/austin-daye,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201948.png,False
Darren Daye,,20,Forward,6-8,220,UCLA,USA,1960-11-30T00:00:00,5 Years,1983 #57,https://www.nba.com/player/76543/HISTADD-darren-daye,False,False,True,,True
Darius Days,,5,Forward,6-7,245,Winnipeg Sea Bears,USA,"October 20, 1999",2 Years,Undrafted,https://www.nba.com/player/1630620/darius-days,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630620.png,False
Nando De Colo,,3,Guard,6-5,195,Valencia,France,,,,https://www.nba.com/player/201986/nando-de colo,False,False,True,https://cdn.nba.com/headshots/nba/latest/260x190/1630173.png,False
Dave DeBusschere,,22,Forward,6-6,220,Detroit,USA,1940-10-16,12 Years,1962,https://www.nba.com/player/76545/HISTADD-dave-debusschere,False,False,True,,True
Andrew DeClercq,,,Center,6-10,255,Florida,USA,"February 1, 1973",11 Years,1995 R2 Pick 34,https://www.nba.com/player/692/andrew-declercq,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/692.png,False
Javin DeLaurier,,,Center,6-10,234,Duke,USA,"April 7, 1998",1 Year,Undrafted,https://www.nba.com/player/1629602/javin-delaurier,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629602.png,False
Nate DeLong,,21,Center,6-6,220,Wisconsin-River Falls,USA,1926-01-05,1 Years,1950,https://www.nba.com/player/76551/HISTADD-nate-delong,False,False,True,,True
DeMar DeRozan,SAC,10,Guard-Forward,6-6,220,Southern California,USA,"August 7, 1989",15 Years,2009 R1 Pick 9,https://www.nba.com/player/201942/demar-derozan,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Hank DeZonie,,10,Forward,6-5,215,Clark Atlanta,USA,1922-02-12T00:00:00,1 Years,Undrafted #Undrafted,https://www.nba.com/player/76562/HISTADD-hank-dezonie,False,False,True,,True
Greg Deane,,33,Guard,6-4,190,Utah,USA,1957-12-06T00:00:00,1 Years,1979 #67,https://www.nba.com/player/76544/HISTADD-greg-deane,False,False,True,,True
Gabriel Deck,,,Forward,6-6,231,Real Madrid,Argentina,"February 8, 1995",2 Years,Undrafted,https://www.nba.com/player/1630466/gabriel-deck,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630466.png,False
Dewayne Dedmon,,14,Center,6-10,245,USC,USA,"August 12, 1989",11 Years,Undrafted,https://www.nba.com/player/203473/dewayne-dedmon,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203473.png,False
Archie Dees,,44,Forward,6-8,205,Indiana,USA,1936-02-22T00:00:00,4 Years,1958 #2,https://www.nba.com/player/76546/HISTADD-archie-dees,False,False,True,,True
Terry Dehere,,24,Guard,6-4,190,Seton Hall,USA,"September 12, 1971",6 Years,1993 R1 Pick 13,https://www.nba.com/player/143/terry-dehere,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/143.png,False
Red Dehnert,,,,,,Columbia,USA,1905-04-07T00:00:00,1 Years,Undrafted #Undrafted,https://www.nba.com/player/76548/HISTADD-red-dehnert,False,False,True,,True
Bryce Dejean-Jones,,,Guard,6-6,203,Iowa State,USA,"August 21, 1992",1 Year,Undrafted,https://www.nba.com/player/1626214/bryce-dejean-jones,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1626214.png,False
Sam Dekker,,,Forward,6-8,219,Wisconsin,USA,"May 6, 1994",5 Years,2015 R1 Pick 18,https://www.nba.com/player/1626155/sam-dekker,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1626155.png,False
Vinny Del Negro,,,Guard,,,North Carolina State,USA,,,,https://www.nba.com/player/219/vinny-del negro,False,False,True,https://cdn.nba.com/headshots/nba/latest/260x190/1630173.png,False
Malcolm Delaney,,5,Guard,6-3,190,Virginia Tech,USA,"March 11, 1989",2 Years,Undrafted,https://www.nba.com/player/1627098/malcolm-delaney,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1627098.png,False
Bison Dele,,8,Center-Forward,6-11,260,Arizona,USA,"April 6, 1969",8 Years,1991 R1 Pick 10,https://www.nba.com/player/183/bison-dele,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/183.png,False
Carlos Delfino,,10,Guard-Forward,6-6,230,Fortitudo Bologna,Argentina,"August 29, 1982",9 Years,2003 R1 Pick 25,https://www.nba.com/player/2568/carlos-delfino,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/2568.png,False
Angel Delgado,,31,Center,6-10,245,Seton Hall,Dominican Republic,"November 20, 1994",2 Years,2018,https://www.nba.com/player/1629116/angel-delgado,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629116.png,False
Tony Delk,,00,Guard,6-2,189,Kentucky,USA,"January 28, 1974",10 Years,1996 R1 Pick 16,https://www.nba.com/player/960/tony-delk,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/960.png,False
Matthew Dellavedova,,8,Guard,6-3,200,Saint Mary's,Australia,"September 8, 1990",10 Years,Undrafted,https://www.nba.com/player/203521/matthew-dellavedova,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203521.png,False
Fennis Dembo,,34,Forward,6-5,215,Wyoming,USA,1966-01-24T00:00:00,1 Years,1988 #30,https://www.nba.com/player/76552/HISTADD-fennis-dembo,False,False,True,,True
Larry Demic,,42,Forward,6-9,225,Arizona,USA,1957-06-27T00:00:00,3 Years,1979 #9,https://www.nba.com/player/76553/HISTADD-larry-demic,False,False,True,,True
Dell Demps,,,Guard,6-3,205,Pacific,USA,"February 12, 1970",3 Years,Undrafted,https://www.nba.com/player/725/dell-demps,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/725.png,False
George Dempsey,,3,Guard,6-3,190,King's,USA,1929-07-19T00:00:00,5 Years,1951 #68,https://www.nba.com/player/76555/HISTADD-george-dempsey,False,False,True,,True
Luol Deng,,9,Forward,6-9,237,Duke,United Kingdom,"April 16, 1985",16 Years,2004 R1 Pick 7,https://www.nba.com/player/2736/luol-deng,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/2736.png,False
Kenny Dennard,,33,Forward,6-8,220,Duke,USA,1958-10-18T00:00:00,3 Years,1981 #78,https://www.nba.com/player/76556/HISTADD-kenny-dennard,False,False,True,,True
Blaine Denning,,,Guard,6-2,175,Lawrence Tech,USA,1930-09-19,1 Years,1952,https://www.nba.com/player/76557/HISTADD-blaine-denning,False,False,True,,True
Dexter Dennis,,,Guard,6-5,210,Texas A&M,USA,"February 9, 1999",2 Years,Undrafted,https://www.nba.com/player/1641926/dexter-dennis,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641926.png,False
RayJ Dennis,IND,10,Guard,6-2,180,Baylor,USA,"March 30, 2001",Rookie,Undrafted,https://www.nba.com/player/1642484/rayj-dennis,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Justin Dentmon,,,Guard,5-11,185,Washington,USA,"September 5, 1985",2 Years,Undrafted,https://www.nba.com/player/202458/justin-dentmon,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202458.png,False
Randy Denton,,34,Center,6-10,240,Duke,USA,1949-02-18T00:00:00,1 Years,1971 #61,https://www.nba.com/player/76558/HISTADD-randy-denton,False,False,True,,True
Rod Derline,,25,Guard,6-0,175,Seattle,USA,1952-03-11T00:00:00,2 Years,1974 #169,https://www.nba.com/player/76559/HISTADD-rod-derline,False,False,True,,True
Marcus Derrickson,,32,Forward,6-7,249,Georgetown,USA,"February 1, 1996",2 Years,Undrafted,https://www.nba.com/player/1629094/marcus-derrickson,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629094.png,False
Dave Deutsch,,3,Guard,6-1,170,Rochester,USA,1945-05-13T00:00:00,1 Years,1966 #98,https://www.nba.com/player/76560/HISTADD-dave-deutsch,False,False,True,,True
Walter Devlin,,13,Guard,6-5,195,George Washington,USA,1931-12-21T00:00:00,3 Years,1955 #9,https://www.nba.com/player/76561/HISTADD-corky-devlin,False,False,True,,True
Ernie DiGregorio,,7,Guard,6-0,180,Providence,USA,1951-01-15T00:00:00,5 Years,1973 #3,https://www.nba.com/player/76568/HISTADD-ernie-digregorio,False,False,True,,True
Donte DiVincenzo,MIN,0,Guard,6-4,203,Villanova,USA,"January 31, 1997",6 Years,2018 R1 Pick 17,https://www.nba.com/player/1628978/donte-divincenzo,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1628978.png,False
Moussa Diabaté,CHA,14,Forward,6-9,210,Michigan,France,"January 21, 2002",2 Years,2022 R2 Pick 43,https://www.nba.com/player/1631217/moussa-diabate,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Mamadi Diakite,,21,Forward,6-9,228,Virginia,Guinea,"January 21, 1997",5 Years,Undrafted,https://www.nba.com/player/1629603/mamadi-diakite,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Derrick Dial,,13,Guard,6-4,184,Eastern Michigan,USA,"December 20, 1975",5 Years,1998 R2 Pick 52,https://www.nba.com/player/1760/derrick-dial,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Cheick Diallo,,,Forward-Center,6-8,219,Kansas,Mali,"September 13, 1996",6 Years,2016 R2 Pick 33,https://www.nba.com/player/1627767/cheick-diallo,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Hamidou Diallo,,,Guard,6-5,202,Kentucky,USA,"July 31, 1998",6 Years,2018 R2 Pick 45,https://www.nba.com/player/1628977/hamidou-diallo,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Boris Diaw,,33,Center-Forward,6-8,250,Pau Orthez,France,"April 16, 1982",15 Years,2003 R1 Pick 21,https://www.nba.com/player/2564/boris-diaw,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Yakhouba Diawara,,9,Forward-Guard,6-7,225,Pepperdine,USA,"August 29, 1982",5 Years,Undrafted,https://www.nba.com/player/200821/yakhouba-diawara,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Guillermo Diaz,,,,,,Miami,USA,"March 4, 1985",1 Year,2006 R2 Pick 52,https://www.nba.com/player/200799/guillermo-diaz,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Gradey Dick,TOR,1,Guard-Forward,6-6,200,Kansas,USA,"November 20, 2003",1 Year,2023 R1 Pick 13,https://www.nba.com/player/1641711/gradey-dick,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Dan Dickau,,10,Guard,6-0,180,Gonzaga,USA,"September 16, 1978",7 Years,2002 R1 Pick 28,https://www.nba.com/player/2424/dan-dickau,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Kaniel Dickens,,,Forward,6-8,215,Idaho,USA,"July 21, 1978",3 Years,2000 R2 Pick 50,https://www.nba.com/player/2079/kaniel-dickens,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Henry Dickerson,,13,Guard,6-4,190,University of Charleston,USA,1951-11-27T00:00:00,2 Years,Undrafted #Undrafted,https://www.nba.com/player/76563/HISTADD-henry-dickerson,False,False,True,,True
Michael Dickerson,,8,Guard,6-5,190,Arizona,USA,"June 25, 1975",6 Years,1998 R1 Pick 14,https://www.nba.com/player/1722/michael-dickerson,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Derrek Dickey,,40,Forward,6-7,218,Cincinnati,USA,1951-03-20T00:00:00,5 Years,1973 #29,https://www.nba.com/player/76564/HISTADD-derrek-dickey,False,False,True,,True
Dick Dickey,,23,Guard,6-1,175,North Carolina State,USA,1926-10-26,1 Years,1950,https://www.nba.com/player/76565/HISTADD-dick-dickey,False,False,True,,True
Travis Diener,,27,Guard,6-1,175,Marquette,USA,"March 1, 1982",6 Years,2005 R2 Pick 38,https://www.nba.com/player/101143/travis-diener,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Gorgui Dieng,,41,Center,6-10,248,Louisville,Senegal,"January 18, 1990",11 Years,2013 R1 Pick 21,https://www.nba.com/player/203476/gorgui-dieng,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Ousmane Dieng,OKC,13,Forward,6-9,185,New Zealand Breakers,France,"May 21, 2003",2 Years,2022 R1 Pick 11,https://www.nba.com/player/1631172/ousmane-dieng,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Connie Dierking,,18,Center,6-10,222,Cincinnati,USA,1936-10-02T00:00:00,10 Years,1958 #5,https://www.nba.com/player/76566/HISTADD-connie-dierking,False,False,True,,True
Coby Dietrick,,25,Center,6-11,220,San Jose State,USA,1948-07-23T00:00:00,7 Years,1970 #155,https://www.nba.com/player/76567/HISTADD-coby-dietrick,False,False,True,,True
Mickey Dillard,,9,Guard,6-3,170,Florida State,USA,1958-10-15T00:00:00,1 Years,1981 #55,https://www.nba.com/player/76569/HISTADD-mickey-dillard,False,False,True,,True
Bob Dille,,,Forward,6-3,190,Valparaiso,USA,1917-07-02T00:00:00,1 Years,Undrafted #Undrafted,https://www.nba.com/player/76570/HISTADD-oscar-dille,False,False,True,,True
Rob Dillingham,MIN,4,Guard,6-3,175,Kentucky,USA,"January 4, 2005",Rookie,2024 R1 Pick 8,https://www.nba.com/player/1642265/rob-dillingham,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1642265.png,False
John Dillon,,,Forward,6-3,180,North Carolina,USA,1924-01-08,1 Years,1948,https://www.nba.com/player/76571/HISTADD-hooks-dillon,False,False,True,,True
Byron Dinkins,,5,Guard,6-1,170,North Carolina-Charlotte,USA,1967-06-15T00:00:00,2 Years,Undrafted #Undrafted,https://www.nba.com/player/76574/HISTADD-byron-dinkins,False,False,True,,True
Jackie Dinkins,,23,Forward,6-5,210,Voorhees,USA,1950-01-22T00:00:00,1 Years,1971 #150,https://www.nba.com/player/76575/HISTADD-jackie-dinkins,False,False,True,,True
Bill Dinwiddie,,20,Forward,6-7,220,New Mexico Highlands,USA,1943-07-15T00:00:00,4 Years,Undrafted #Undrafted,https://www.nba.com/player/76576/HISTADD-bill-dinwiddie,False,False,True,,True
Spencer Dinwiddie,DAL,26,Guard,6-5,215,Colorado,USA,"April 6, 1993",10 Years,2014 R2 Pick 38,https://www.nba.com/player/203915/spencer-dinwiddie,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Ike Diogu,,,Forward,6-9,250,Arizona State,USA,"September 11, 1983",7 Years,2005 R1 Pick 9,https://www.nba.com/player/101113/ike-diogu,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
DeSagana Diop,,2,Center,7-0,280,Oak Hill Academy (VA),Senegal,"January 30, 1982",13 Years,2001 R1 Pick 8,https://www.nba.com/player/2205/desagana-diop,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Terry Dischinger,,42,Forward,6-7,189,Purdue,USA,1940-11-21T00:00:00,9 Years,1962 #8,https://www.nba.com/player/76577/HISTADD-terry-dischinger,False,False,True,,True
Fred Diute,,4,Guard,6-3,210,St. Bonaventure,USA,1929-01-09T00:00:00,1 Years,1951 #27,https://www.nba.com/player/76578/HISTADD-fred-diute,False,False,True,,True
Vlade Divac,,21,Center,7-1,260,Partizan,Serbia,"February 3, 1968",17 Years,1989 R1 Pick 26,https://www.nba.com/player/124/vlade-divac,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Juan Dixon,,12,Guard,6-3,165,Maryland,USA,"October 9, 1978",8 Years,2002 R1 Pick 17,https://www.nba.com/player/2413/juan-dixon,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Aleksandar Djordjevic,,,Guard,6-2,198,Fortitudo Bologna,Serbia,"August 26, 1967",1 Year,Undrafted,https://www.nba.com/player/1059/aleksandar-djordjevic,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Earl Dodd,,,Forward,6-5,175,Truman State,USA,1924-11-01,1 Years,1949,https://www.nba.com/player/76580/HISTADD-earl-dodd,False,False,True,,True
Michael Doleac,,51,Center,6-11,262,Utah,USA,"June 15, 1977",11 Years,1998 R1 Pick 12,https://www.nba.com/player/1720/michael-doleac,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Joe Dolhon,,,,,,,,1927-07-09T00:00:00,2 Years,Undrafted #Undrafted,https://www.nba.com/player/76581/HISTADD-joe-dolhon,False,False,True,,True
Bob Doll,,19,Forward,6-4,195,Colorado,USA,1919-08-10T00:00:00,4 Years,Undrafted #Undrafted,https://www.nba.com/player/76582/HISTADD-bob-doll,False,False,True,,True
James Donaldson,,54,Center,7-2,275,Washington State,USA,1957-08-16T00:00:00,14 Years,1979 #73,https://www.nba.com/player/76583/HISTADD-james-donaldson,False,False,True,,True
Bob Donham,,12,Guard,6-2,190,Ohio State,USA,1926-10-11,4 Years,1950,https://www.nba.com/player/76584/HISTADD-bob-donham,False,False,True,,True
Billy Donovan,,1,Guard,5-11,171,Providence,USA,1965-05-30T00:00:00,1 Years,1987 #68,https://www.nba.com/player/76586/HISTADD-billy-donovan,False,False,True,,True
Harry Donovan,,16,Guard,6-2,180,Muhlenberg,USA,1926-09-10,1 Years,1949,https://www.nba.com/player/76585/HISTADD-harry-donovan,False,False,True,,True
Luka Dončić,LAL,77,Forward-Guard,6-6,230,Real Madrid,Slovenia,"February 28, 1999",6 Years,2018 R1 Pick 3,https://www.nba.com/player/1629029/luka-don,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1629029.png,False
Keyon Dooling,,55,Guard,6-3,195,Missouri,USA,"May 8, 1980",14 Years,2000 R1 Pick 10,https://www.nba.com/player/2039/keyon-dooling,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/2039.png,False
Jacky Dorsey,,34,Forward,6-7,230,Georgia,USA,1954-12-18T00:00:00,3 Years,1976 #26,https://www.nba.com/player/76587/HISTADD-jacky-dorsey,False,False,True,,True
Joey Dorsey,,,,,,Memphis,USA,"December 16, 1983",4 Years,2008 R2 Pick 33,https://www.nba.com/player/201595/joey-dorsey,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Tyler Dorsey,,,Guard,6-4,180,Oregon,USA,"February 18, 1996",3 Years,2017 R2 Pick 41,https://www.nba.com/player/1628416/tyler-dorsey,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628416.png,False
Luguentz Dort,OKC,5,Guard,6-4,220,Arizona State,Canada,"April 19, 1999",5 Years,Undrafted,https://www.nba.com/player/1629652/luguentz-dort,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Ayo Dosunmu,CHI,11,Guard,6-5,200,Illinois,USA,"January 17, 2000",3 Years,2021 R2 Pick 38,https://www.nba.com/player/1630245/ayo-dosunmu,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Damyean Dotson,,,Guard,6-5,210,Houston,USA,"May 6, 1994",5 Years,2017 R2 Pick 44,https://www.nba.com/player/1628422/damyean-dotson,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Devon Dotson,,,Guard,6-1,185,Kansas,USA,"August 2, 1999",4 Years,Undrafted,https://www.nba.com/player/1629653/devon-dotson,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Quincy Douby,,5,Guard,6-3,175,Rutgers,USA,"May 16, 1984",4 Years,2006 R1 Pick 19,https://www.nba.com/player/200763/quincy-douby,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/200763.png,False
Bruce Douglas,,42,Guard,6-3,195,Illinois,USA,1964-04-09T00:00:00,1 Years,1986 #57,https://www.nba.com/player/76588/HISTADD-bruce-douglas,False,False,True,,True
John Douglas,,13,Guard,6-2,170,Kansas,USA,1956-06-12T00:00:00,2 Years,1978 #118,https://www.nba.com/player/76589/HISTADD-john-douglas,False,False,True,,True
Leon Douglas,,13,Center,6-10,230,Alabama,USA,1954-08-26T00:00:00,7 Years,1976 #4,https://www.nba.com/player/76590/HISTADD-leon-douglas,False,False,True,,True
Sherman Douglas,,,Guard,,,Syracuse,USA,"September 15, 1966",12 Years,1989 R2 Pick 28,https://www.nba.com/player/428/sherman-douglas,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Toney Douglas,,,Guard,6-2,195,Florida State,USA,"March 16, 1986",8 Years,2009 R1 Pick 29,https://www.nba.com/player/201962/toney-douglas,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
