season,player_id,player_name,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2021-22,1630270,Xavier Sneed,Xavier,1610612762,UTA,Utah Jazz,22101194,2022-04-06T00:00:00,UTA vs. OKC,W,5.25,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0,0,0.0,1,1,1,1,23839,22477,19932,22477,14232,13609,14232,13659,14456,13659,13184,22354,23308,18990,16136,12287,8184,1,1,18239,23122,8480,25086,2151,131,25115,1,5:15,2021,2022
2021-22,1629672,Eric Paschall,Eric,1610612762,UTA,Utah Jazz,22101194,2022-04-06T00:00:00,UTA vs. OKC,W,6.633333333333334,1,2,0.5,0,1,0.0,1,1,1.0,0,1,1,0,0,0,0,0,0,1,3,6,4.2,0,0,4.0,1,1,1,1,23349,18993,21680,8341,14232,16850,14232,10221,12877,1,13184,17946,19929,18990,16136,12287,8184,1,1,11915,19908,6940,22929,2151,131,22753,1,6:38,2021,2022
2021-22,202328,Greg Monroe,Greg,1610612762,UTA,Utah Jazz,22101194,2022-04-06T00:00:00,UTA vs. OKC,W,4.583333333333333,2,2,1.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,0,1,0,4,-1,7.6,0,0,7.0,1,1,1,1,24110,15413,21680,1,14232,20469,14232,13659,14456,13659,3074,17946,12968,18990,16136,12287,8184,1,5520,18239,18560,13253,21042,2151,131,20989,1,4:35,2021,2022
2021-22,1628378,Donovan Mitchell,Donovan,1610612762,UTA,Utah Jazz,22101187,2022-04-05T00:00:00,UTA vs. MEM,W,41.45,6,24,0.25,1,9,0.111,7,8,0.875,2,7,9,5,1,1,0,2,3,5,20,-6,40.3,0,0,37.0,1,1,1,1,334,4963,286,19950,8144,1120,14165,730,901,6905,3074,2042,2116,2964,8493,4518,8184,23744,17825,1601,3410,18065,2770,2151,131,3264,1,41:27,2021,2022
2021-22,202355,Hassan Whiteside,Hassan,1610612762,UTA,Utah Jazz,22101187,2022-04-05T00:00:00,UTA vs. MEM,W,18.716666666666665,7,10,0.7,0,0,0.0,0,2,0.0,2,8,10,0,0,0,4,0,3,3,14,6,38.0,1,0,32.0,1,1,1,1,16958,3477,8192,2969,14232,20469,14232,13659,7614,13659,3074,1315,1514,18990,16136,12287,72,1,17825,4544,7184,6940,3487,1,131,5053,1,18:43,2021,2022
2021-22,203497,Rudy Gobert,Rudy,1610612762,UTA,Utah Jazz,22101187,2022-04-05T00:00:00,UTA vs. MEM,W,34.28333333333333,5,8,0.625,0,0,0.0,12,18,0.667,6,15,21,0,3,1,1,2,5,11,22,0,50.2,1,0,47.0,1,1,1,1,4098,6861,11062,4738,14232,20469,14232,72,15,9343,165,37,13,18990,1921,4518,2399,23744,24672,35,2553,12132,997,1,131,1129,1,34:17,2021,2022
2021-22,202711,Bojan Bogdanović,Bojan,1610612762,UTA,Utah Jazz,22101187,2022-04-05T00:00:00,UTA vs. MEM,W,40.25666666666667,4,13,0.308,3,6,0.5,2,4,0.5,0,4,4,2,2,3,0,2,4,2,13,-4,27.8,0,0,28.0,1,1,1,1,566,9264,4902,18855,2174,3994,3792,6073,3790,10631,13184,6842,9918,9105,4151,406,8184,23744,22177,7362,8057,16281,7779,2151,131,6905,1,40:15,2021,2022
2021-22,203903,Jordan Clarkson,Jordan,1610612762,UTA,Utah Jazz,22101187,2022-04-05T00:00:00,UTA vs. MEM,W,30.98333333333333,7,13,0.538,3,8,0.375,5,6,0.833,0,5,5,5,1,1,0,0,0,3,22,17,37.5,0,0,37.0,1,1,1,1,6955,3477,4902,7812,2174,1795,8152,1788,1887,7247,13184,4619,7407,2964,8493,4518,8184,1,1,4544,2553,1837,3641,2151,131,3264,1,30:59,2021,2022
2021-22,1626220,Royce O'Neale,Royce,1610612762,UTA,Utah Jazz,22101187,2022-04-05T00:00:00,UTA vs. MEM,W,24.21,2,5,0.4,1,3,0.333,1,2,0.5,1,1,2,2,3,1,0,0,1,1,6,-13,11.4,0,0,13.0,1,1,1,1,12598,15413,16241,14448,8144,10639,8533,10221,7614,10631,6346,17946,16419,9105,1921,4518,8184,1,5520,11915,15707,22696,18502,2151,131,16789,1,24:13,2021,2022
2021-22,200752,Rudy Gay,Rudy,1610612762,UTA,Utah Jazz,22101187,2022-04-05T00:00:00,UTA vs. MEM,W,12.65,1,4,0.25,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,2,12,6.2,0,0,5.0,1,1,1,1,20982,18993,18068,19950,14232,13609,14232,13659,14456,13659,13184,17946,19929,18990,16136,12287,2399,1,1,18239,21059,3538,21817,2151,131,22194,1,12:39,2021,2022
