season,season_start,season_end,award,team_rank,player,player_id,position,lg,voting,age,tm,g,mp,pts,trb,ast,stl,blk,fgpct,3ppct,ftpct,ws,ws_48,9999,coach,w,l,w_lpct,games
1982-83,1982,2083,all_defense_teams,1st,Maurice Cheeks Dennis Johnson (T),mauricecheeksdennisjohnson(t)_na,,NBA,,,,,,,,,,,,,,,,,,,,,
1982-83,1982,2083,all_defense_teams,2nd,Tree Rollins,rollitr01,,NBA,,,,,,,,,,,,,,,,,,,,,
1981-82,1981,2082,all_defense_teams,1st,Dan Roundfield,roundda01,,NBA,,,,,,,,,,,,,,,,,,,,,
1981-82,1981,2082,all_defense_teams,2nd,Jack Sikma,sikmaja01,,NBA,,,,,,,,,,,,,,,,,,,,,
1980-81,1980,2081,all_defense_teams,1st,Michael Ray Richardson,michaelrayrichardson_na,,NBA,,,,,,,,,,,,,,,,,,,,,
1980-81,1980,2081,all_defense_teams,2nd,Dudley Bradley Michael Cooper (T),dudleybradleymichaelcooper(t)_na,,NBA,,,,,,,,,,,,,,,,,,,,,
1979-80,1979,2080,all_defense_teams,1st,Don Buse Michael Ray Richardson (T),donbusemichaelrayrichardson(t)_na,,NBA,,,,,,,,,,,,,,,,,,,,,
1979-80,1979,2080,all_defense_teams,2nd,Scott Wedman,wedmasc01,,NBA,,,,,,,,,,,,,,,,,,,,,
1978-79,1978,2079,all_defense_teams,1st,Bobby Jones,jonesbo01,,NBA,,,,,,,,,,,,,,,,,,,,,
1978-79,1978,2079,all_defense_teams,2nd,Moses Malone,malonmo01,,NBA,,,,,,,,,,,,,,,,,,,,,
1977-78,1977,2078,all_defense_teams,1st,Bill Walton,waltobi01,,NBA,,,,,,,,,,,,,,,,,,,,,
1977-78,1977,2078,all_defense_teams,2nd,Kareem Abdul-Jabbar Artis Gilmore (T),kareemabdul-jabbarartisgilmore(t)_na,,NBA,,,,,,,,,,,,,,,,,,,,,
1976-77,1976,2077,all_defense_teams,1st,Bill Walton,waltobi01,,NBA,,,,,,,,,,,,,,,,,,,,,
1976-77,1976,2077,all_defense_teams,2nd,Jamaal Wilkes,wilkeja01,,NBA,,,,,,,,,,,,,,,,,,,,,
1975-76,1975,2076,all_defense_teams,1st,Slick Watts,wattssl01,,NBA,,,,,,,,,,,,,,,,,,,,,
1975-76,1975,2076,all_defense_teams,2nd,Jamaal Wilkes,wilkeja01,,NBA,,,,,,,,,,,,,,,,,,,,,
1975-76,1975,2076,all_defense_teams,1st,Brian Taylor,taylobr01,,ABA,,,,,,,,,,,,,,,,,,,,,
1974-75,1974,2075,all_defense_teams,1st,Jerry Sloan,sloanje01,,NBA,,,,,,,,,,,,,,,,,,,,,
1974-75,1974,2075,all_defense_teams,2nd,Norm Van Lier,vanno0100,,NBA,,,,,,,,,,,,,,,,,,,,,
1974-75,1974,2075,all_defense_teams,1st,Brian Taylor,taylobr01,,ABA,,,,,,,,,,,,,,,,,,,,,
1973-74,1973,2074,all_defense_teams,1st,Walt Frazier Jerry Sloan (T),waltfrazierjerrysloan(t)_na,,NBA,,,,,,,,,,,,,,,,,,,,,
1973-74,1973,2074,all_defense_teams,2nd,Jim Price Dick Van Arsdale (T),jimpricedickvanarsdale(t)_na,,NBA,,,,,,,,,,,,,,,,,,,,,
1973-74,1973,2074,all_defense_teams,1st,Mike Gale Fatty Taylor (T),mikegalefattytaylor(t)_na,,ABA,,,,,,,,,,,,,,,,,,,,,
1972-73,1972,2073,all_defense_teams,1st,Jerry West,westje010,,NBA,,,,,,,,,,,,,,,,,,,,,
1972-73,1972,2073,all_defense_teams,2nd,Norm Van Lier,vanno0100,,NBA,,,,,,,,,,,,,,,,,,,,,
1972-73,1972,2073,all_defense_teams,1st,Joe Caldwell Julius Keye (T),joecaldwelljuliuskeye(t)_na,,ABA,,,,,,,,,,,,,,,,,,,,,
1971-72,1971,2072,all_defense_teams,1st,Walt Frazier Jerry Sloan (T),waltfrazierjerrysloan(t)_na,,NBA,,,,,,,,,,,,,,,,,,,,,
1971-72,1971,2072,all_defense_teams,2nd,Norm Van Lier,vanno0100,,NBA,,,,,,,,,,,,,,,,,,,,,
1970-71,1970,2071,all_defense_teams,1st,Jerry West,westje010,,NBA,,,,,,,,,,,,,,,,,,,,,
1970-71,1970,2071,all_defense_teams,2nd,Norm Van Lier,vanno0100,,NBA,,,,,,,,,,,,,,,,,,,,,
1969-70,1969,2070,all_defense_teams,1st,Jerry West,westje010,,NBA,,,,,,,,,,,,,,,,,,,,,
1969-70,1969,2070,all_defense_teams,2nd,Jerry Sloan,sloanje01,,NBA,,,,,,,,,,,,,,,,,,,,,
1968-69,1968,2069,all_defense_teams,1st,Nate Thurmond,thurmna01,,NBA,,,,,,,,,,,,,,,,,,,,,
1968-69,1968,2069,all_defense_teams,2nd,Jerry West,westje010,,NBA,,,,,,,,,,,,,,,,,,,,,
2024-25,2024,2025,all_rookie_teams,1st,Stephon Castle,castlst01,,NBA,,,,,,,,,,,,,,,,,,,,,
2024-25,2024,2025,all_rookie_teams,2nd,Matas Buzelis,buzelma01,,NBA,,,,,,,,,,,,,,,,,,,,,
2023-24,2023,2024,all_rookie_teams,1st,Chet Holmgren,holmgch01,,NBA,,,,,,,,,,,,,,,,,,,,,
2023-24,2023,2024,all_rookie_teams,2nd,Dereck Lively,derecklively_na,,NBA,,,,,,,,,,,,,,,,,,,,,
2022-23,2022,2023,all_rookie_teams,1st,Paolo Banchero,banchpa01,,NBA,,,,,,,,,,,,,,,,,,,,,
2022-23,2022,2023,all_rookie_teams,2nd,Jalen Duren,durenja01,,NBA,,,,,,,,,,,,,,,,,,,,,
2021-22,2021,2022,all_rookie_teams,1st,Scottie Barnes,barnesc01,,NBA,,,,,,,,,,,,,,,,,,,,,
2021-22,2021,2022,all_rookie_teams,2nd,Herbert Jones,joneshe01,,NBA,,,,,,,,,,,,,,,,,,,,,
2020-21,2020,2021,all_rookie_teams,1st,LaMelo Ball,ballla010,,NBA,,,,,,,,,,,,,,,,,,,,,
2020-21,2020,2021,all_rookie_teams,2nd,Desmond Bane,banede010,,NBA,,,,,,,,,,,,,,,,,,,,,
2019-20,2019,2020,all_rookie_teams,1st,Ja Morant,moranja01,,NBA,,,,,,,,,,,,,,,,,,,,,
2019-20,2019,2020,all_rookie_teams,2nd,Tyler Herro,herroty01,,NBA,,,,,,,,,,,,,,,,,,,,,
2018-19,2018,2019,all_rookie_teams,1st,Luka Dončić,donilu010,,NBA,,,,,,,,,,,,,,,,,,,,,
2018-19,2018,2019,all_rookie_teams,2nd,Shai Gilgeous-Alexander,gilgesh01,,NBA,,,,,,,,,,,,,,,,,,,,,
2017-18,2017,2018,all_rookie_teams,1st,Donovan Mitchell,mitchdo01,,NBA,,,,,,,,,,,,,,,,,,,,,
2017-18,2017,2018,all_rookie_teams,2nd,Dennis Smith,dennissmith_na,,NBA,,,,,,,,,,,,,,,,,,,,,
2016-17,2016,2017,all_rookie_teams,1st,Malcolm Brogdon,brogdma01,,NBA,,,,,,,,,,,,,,,,,,,,,
2016-17,2016,2017,all_rookie_teams,2nd,Jamal Murray,murraja01,,NBA,,,,,,,,,,,,,,,,,,,,,
2015-16,2015,2016,all_rookie_teams,1st,Karl-Anthony Towns,townska01,,NBA,,,,,,,,,,,,,,,,,,,,,
2015-16,2015,2016,all_rookie_teams,2nd,Justise Winslow,winslju01,,NBA,,,,,,,,,,,,,,,,,,,,,
2014-15,2014,2015,all_rookie_teams,1st,Andrew Wiggins,wiggian01,,NBA,,,,,,,,,,,,,,,,,,,,,
2014-15,2014,2015,all_rookie_teams,2nd,Marcus Smart,smartma01,,NBA,,,,,,,,,,,,,,,,,,,,,
2013-14,2013,2014,all_rookie_teams,1st,Michael Carter-Williams,cartemi01,,NBA,,,,,,,,,,,,,,,,,,,,,
2013-14,2013,2014,all_rookie_teams,2nd,Kelly Olynyk,olynyke01,,NBA,,,,,,,,,,,,,,,,,,,,,
2012-13,2012,2013,all_rookie_teams,1st,Harrison Barnes,barneha01,,NBA,,,,,,,,,,,,,,,,,,,,,
2012-13,2012,2013,all_rookie_teams,2nd,Andre Drummond,drumman01,,NBA,,,,,,,,,,,,,,,,,,,,,
2011-12,2011,2012,all_rookie_teams,1st,Kenneth Faried,farieke01,,NBA,,,,,,,,,,,,,,,,,,,,,
2011-12,2011,2012,all_rookie_teams,2nd,MarShon Brooks,brookma01,,NBA,,,,,,,,,,,,,,,,,,,,,
2010-11,2010,2011,all_rookie_teams,1st,DeMarcus Cousins,couside01,,NBA,,,,,,,,,,,,,,,,,,,,,
2010-11,2010,2011,all_rookie_teams,2nd,Eric Bledsoe,bledser01,,NBA,,,,,,,,,,,,,,,,,,,,,
2009-10,2009,2010,all_rookie_teams,1st,Darren Collison,collida01,,NBA,,,,,,,,,,,,,,,,,,,,,
2009-10,2009,2010,all_rookie_teams,2nd,DeJuan Blair,blairde01,,NBA,,,,,,,,,,,,,,,,,,,,,
2008-09,2008,2009,all_rookie_teams,1st,Michael Beasley,beaslmi01,,NBA,,,,,,,,,,,,,,,,,,,,,
2008-09,2008,2009,all_rookie_teams,2nd,Mario Chalmers,chalmma01,,NBA,,,,,,,,,,,,,,,,,,,,,
2007-08,2007,2008,all_rookie_teams,1st,Kevin Durant,duranke01,,NBA,,,,,,,,,,,,,,,,,,,,,
2007-08,2007,2008,all_rookie_teams,2nd,Carl Landry,landrca01,,NBA,,,,,,,,,,,,,,,,,,,,,
2006-07,2006,2007,all_rookie_teams,1st,Andrea Bargnani,bargnan01,,NBA,,,,,,,,,,,,,,,,,,,,,
2006-07,2006,2007,all_rookie_teams,2nd,Paul Millsap,millspa02,,NBA,,,,,,,,,,,,,,,,,,,,,
2005-06,2005,2006,all_rookie_teams,1st,Andrew Bogut,bogutan01,,NBA,,,,,,,,,,,,,,,,,,,,,
2005-06,2005,2006,all_rookie_teams,2nd,Raymond Felton,feltora01,,NBA,,,,,,,,,,,,,,,,,,,,,
2004-05,2004,2005,all_rookie_teams,1st,Luol Deng,denglu010,,NBA,,,,,,,,,,,,,,,,,,,,,
2004-05,2004,2005,all_rookie_teams,2nd,Josh Childress,childjo01,,NBA,,,,,,,,,,,,,,,,,,,,,
2003-04,2003,2004,all_rookie_teams,1st,Carmelo Anthony,anthoca01,,NBA,,,,,,,,,,,,,,,,,,,,,
2003-04,2003,2004,all_rookie_teams,2nd,Marquis Daniels,daniema01,,NBA,,,,,,,,,,,,,,,,,,,,,
2002-03,2002,2003,all_rookie_teams,1st,Caron Butler,butleca01,,NBA,,,,,,,,,,,,,,,,,,,,,
2002-03,2002,2003,all_rookie_teams,2nd,Carlos Boozer,boozeca01,,NBA,,,,,,,,,,,,,,,,,,,,,
2001-02,2001,2002,all_rookie_teams,1st,Shane Battier,battish01,,NBA,,,,,,,,,,,,,,,,,,,,,
2001-02,2001,2002,all_rookie_teams,2nd,Eddie Griffin,griffed01,,NBA,,,,,,,,,,,,,,,,,,,,,
2000-01,2000,2001,all_rookie_teams,1st,Marc Jackson,jacksma01,,NBA,,,,,,,,,,,,,,,,,,,,,
2000-01,2000,2001,all_rookie_teams,2nd,Courtney Alexander,alexaco02,,NBA,,,,,,,,,,,,,,,,,,,,,
1999-00,1999,2000,all_rookie_teams,1st,Elton Brand,brandel01,,NBA,,,,,,,,,,,,,,,,,,,,,
1999-00,1999,2000,all_rookie_teams,2nd,Metta World Peace,worldme01,,NBA,,,,,,,,,,,,,,,,,,,,,
1998-99,1998,2099,all_rookie_teams,1st,Mike Bibby,bibbymi01,,NBA,,,,,,,,,,,,,,,,,,,,,
1998-99,1998,2099,all_rookie_teams,2nd,Michael Dickerson,dickemi01,,NBA,,,,,,,,,,,,,,,,,,,,,
1997-98,1997,2098,all_rookie_teams,1st,Tim Duncan,duncati01,,NBA,,,,,,,,,,,,,,,,,,,,,
1997-98,1997,2098,all_rookie_teams,2nd,Derek Anderson,anderde01,,NBA,,,,,,,,,,,,,,,,,,,,,
1996-97,1996,2097,all_rookie_teams,1st,Shareef Abdur-Rahim,abdursh01,,NBA,,,,,,,,,,,,,,,,,,,,,
1996-97,1996,2097,all_rookie_teams,2nd,Ray Allen,allenra02,,NBA,,,,,,,,,,,,,,,,,,,,,
1995-96,1995,2096,all_rookie_teams,1st,Antonio McDyess,mcdyean01,,NBA,,,,,,,,,,,,,,,,,,,,,
1995-96,1995,2096,all_rookie_teams,2nd,Brent Barry,barrybr01,,NBA,,,,,,,,,,,,,,,,,,,,,
1994-95,1994,2095,all_rookie_teams,1st,Brian Grant,grantbr01,,NBA,,,,,,,,,,,,,,,,,,,,,
1994-95,1994,2095,all_rookie_teams,2nd,Juwan Howard,howarju01,,NBA,,,,,,,,,,,,,,,,,,,,,
1993-94,1993,2094,all_rookie_teams,1st,Vin Baker,bakervi01,,NBA,,,,,,,,,,,,,,,,,,,,,
1993-94,1993,2094,all_rookie_teams,2nd,Shawn Bradley,bradlsh01,,NBA,,,,,,,,,,,,,,,,,,,,,
1992-93,1992,2093,all_rookie_teams,1st,LaPhonso Ellis,ellisla01,,NBA,,,,,,,,,,,,,,,,,,,,,
1992-93,1992,2093,all_rookie_teams,2nd,Richard Dumas,dumasri01,,NBA,,,,,,,,,,,,,,,,,,,,,
1991-92,1991,2092,all_rookie_teams,1st,Stacey Augmon,augmost01,,NBA,,,,,,,,,,,,,,,,,,,,,
1991-92,1991,2092,all_rookie_teams,2nd,Terrell Brandon,brandte01,,NBA,,,,,,,,,,,,,,,,,,,,,
1990-91,1990,2091,all_rookie_teams,1st,Dee Brown,brownde01,,NBA,,,,,,,,,,,,,,,,,,,,,
1990-91,1990,2091,all_rookie_teams,2nd,Mahmoud Abdul-Rauf,abdulma01,,NBA,,,,,,,,,,,,,,,,,,,,,
1989-90,1989,2090,all_rookie_teams,1st,Vlade Divac,divacvl01,,NBA,,,,,,,,,,,,,,,,,,,,,
1989-90,1989,2090,all_rookie_teams,2nd,Blue Edwards,edwarbl01,,NBA,,,,,,,,,,,,,,,,,,,,,
1988-89,1988,2089,all_rookie_teams,1st,Willie Anderson,anderwi01,,NBA,,,,,,,,,,,,,,,,,,,,,
1987-88,1987,2088,all_rookie_teams,1st,Greg Anderson,andergr01,,NBA,,,,,,,,,,,,,,,,,,,,,
1986-87,1986,2087,all_rookie_teams,1st,Brad Daugherty,daughbr01,,NBA,,,,,,,,,,,,,,,,,,,,,
1985-86,1985,2086,all_rookie_teams,1st,Joe Dumars,dumarjo01,,NBA,,,,,,,,,,,,,,,,,,,,,
1984-85,1984,2085,all_rookie_teams,1st,Charles Barkley,barklch01,,NBA,,,,,,,,,,,,,,,,,,,,,
1983-84,1983,2084,all_rookie_teams,1st,Jeff Malone,malonje01,,NBA,,,,,,,,,,,,,,,,,,,,,
1982-83,1982,2083,all_rookie_teams,1st,Terry Cummings,cummite01,,NBA,,,,,,,,,,,,,,,,,,,,,
1981-82,1981,2082,all_rookie_teams,1st,Jeff Ruland,rulanje01,,NBA,,,,,,,,,,,,,,,,,,,,,
1980-81,1980,2081,all_rookie_teams,1st,Joe Barry Carroll,barryjo02,,NBA,,,,,,,,,,,,,,,,,,,,,
1979-80,1979,2080,all_rookie_teams,1st,Larry Bird,birdla010,,NBA,,,,,,,,,,,,,,,,,,,,,
1978-79,1978,2079,all_rookie_teams,1st,Ron Brewer,brewero01,,NBA,,,,,,,,,,,,,,,,,,,,,
1977-78,1977,2078,all_rookie_teams,1st,Walter Davis,daviswa02,,NBA,,,,,,,,,,,,,,,,,,,,,
1976-77,1976,2077,all_rookie_teams,1st,Adrian Dantley,dantlad01,,NBA,,,,,,,,,,,,,,,,,,,,,
1975-76,1975,2076,all_rookie_teams,1st,Alvan Adams,adamsal01,,NBA,,,,,,,,,,,,,,,,,,,,,
1975-76,1975,2076,all_rookie_teams,1st,Ticky Burden,tickyburden_na,,ABA,,,,,,,,,,,,,,,,,,,,,
1974-75,1974,2075,all_rookie_teams,1st,Tom Burleson,burleto01,,NBA,,,,,,,,,,,,,,,,,,,,,
1974-75,1974,2075,all_rookie_teams,1st,Marvin Barnes,barnema01,,ABA,,,,,,,,,,,,,,,,,,,,,
1973-74,1973,2074,all_rookie_teams,1st,Mike Bantom,bantomi01,,NBA,,,,,,,,,,,,,,,,,,,,,
1973-74,1973,2074,all_rookie_teams,1st,Mike Green,greenmi01,,ABA,,,,,,,,,,,,,,,,,,,,,
1972-73,1972,2073,all_rookie_teams,1st,Freddie Boyd,freddieboyd_na,,NBA,,,,,,,,,,,,,,,,,,,,,
1972-73,1972,2073,all_rookie_teams,1st,Jim Chones,choneji01,,ABA,,,,,,,,,,,,,,,,,,,,,
1971-72,1971,2072,all_rookie_teams,1st,Austin Carr,carrau010,,NBA,,,,,,,,,,,,,,,,,,,,,
1971-72,1971,2072,all_rookie_teams,1st,Julius Erving,ervinju01,,ABA,,,,,,,,,,,,,,,,,,,,,
1970-71,1970,2071,all_rookie_teams,1st,Dave Cowens,cowenda01,,NBA,,,,,,,,,,,,,,,,,,,,,
1970-71,1970,2071,all_rookie_teams,1st,Joe Hamilton,joehamilton_na,,ABA,,,,,,,,,,,,,,,,,,,,,
1969-70,1969,2070,all_rookie_teams,1st,Kareem Abdul-Jabbar,abdulka01,,NBA,,,,,,,,,,,,,,,,,,,,,
1969-70,1969,2070,all_rookie_teams,1st,Mike Barrett,mikebarrett_na,,ABA,,,,,,,,,,,,,,,,,,,,,
1968-69,1968,2069,all_rookie_teams,1st,Gary Gregor,gregoga01,,NBA,,,,,,,,,,,,,,,,,,,,,
1968-69,1968,2069,all_rookie_teams,1st,Ron Boone,boonero01,,ABA,,,,,,,,,,,,,,,,,,,,,
1967-68,1967,2068,all_rookie_teams,1st,Walt Frazier,fraziwa01,,NBA,,,,,,,,,,,,,,,,,,,,,
1967-68,1967,2068,all_rookie_teams,1st,Louie Dampier,louiedampier_na,,ABA,,,,,,,,,,,,,,,,,,,,,
1966-67,1966,2067,all_rookie_teams,1st,Dave Bing,bingda010,,NBA,,,,,,,,,,,,,,,,,,,,,
1965-66,1965,2066,all_rookie_teams,1st,Rick Barry,barryri01,,NBA,,,,,,,,,,,,,,,,,,,,,
1964-65,1964,2065,all_rookie_teams,1st,Jim Barnes,barneji01,,NBA,,,,,,,,,,,,,,,,,,,,,
1963-64,1963,2064,all_rookie_teams,1st,Art Heyman,heymaar01,,NBA,,,,,,,,,,,,,,,,,,,,,
1962-63,1962,2063,all_rookie_teams,1st,Zelmo Beaty,beatyze01,,NBA,,,,,,,,,,,,,,,,,,,,,
2024-25,2024,2025,all_rookie_teams,1st,Zach Edey,edeyza010,,NBA,,,,,,,,,,,,,,,,,,,,,
2024-25,2024,2025,all_rookie_teams,2nd,Bub Carrington,carribu01,,NBA,,,,,,,,,,,,,,,,,,,,,
2023-24,2023,2024,all_rookie_teams,1st,Jaime Jaquez,jaimejaquez_na,,NBA,,,,,,,,,,,,,,,,,,,,,
2023-24,2023,2024,all_rookie_teams,2nd,Gregory Jackson,gregoryjackson_na,,NBA,,,,,,,,,,,,,,,,,,,,,
2022-23,2022,2023,all_rookie_teams,1st,Walker Kessler,kesslwa01,,NBA,,,,,,,,,,,,,,,,,,,,,
2022-23,2022,2023,all_rookie_teams,2nd,Tari Eason,easonta01,,NBA,,,,,,,,,,,,,,,,,,,,,
2021-22,2021,2022,all_rookie_teams,1st,Cade Cunningham,cunnica01,,NBA,,,,,,,,,,,,,,,,,,,,,
2021-22,2021,2022,all_rookie_teams,2nd,Josh Giddey,giddejo01,,NBA,,,,,,,,,,,,,,,,,,,,,
2020-21,2020,2021,all_rookie_teams,1st,Saddiq Bey,beysa0100,,NBA,,,,,,,,,,,,,,,,,,,,,
2020-21,2020,2021,all_rookie_teams,2nd,Isaac Okoro,okorois01,,NBA,,,,,,,,,,,,,,,,,,,,,
2019-20,2019,2020,all_rookie_teams,1st,Kendrick Nunn,nunnke010,,NBA,,,,,,,,,,,,,,,,,,,,,
2019-20,2019,2020,all_rookie_teams,2nd,Terence Davis,daviste01,,NBA,,,,,,,,,,,,,,,,,,,,,
2018-19,2018,2019,all_rookie_teams,1st,Trae Young,youngtr01,,NBA,,,,,,,,,,,,,,,,,,,,,
2018-19,2018,2019,all_rookie_teams,2nd,Collin Sexton,sextoco01,,NBA,,,,,,,,,,,,,,,,,,,,,
2017-18,2017,2018,all_rookie_teams,1st,Ben Simmons,simmobe01,,NBA,,,,,,,,,,,,,,,,,,,,,
2017-18,2017,2018,all_rookie_teams,2nd,Lonzo Ball,balllo010,,NBA,,,,,,,,,,,,,,,,,,,,,
2016-17,2016,2017,all_rookie_teams,1st,Dario Šarić,arida0100,,NBA,,,,,,,,,,,,,,,,,,,,,
2016-17,2016,2017,all_rookie_teams,2nd,Jaylen Brown,brownja02,,NBA,,,,,,,,,,,,,,,,,,,,,
2015-16,2015,2016,all_rookie_teams,1st,Kristaps Porziņģis,porzikr01,,NBA,,,,,,,,,,,,,,,,,,,,,
2015-16,2015,2016,all_rookie_teams,2nd,D'Angelo Russell,russeda01,,NBA,,,,,,,,,,,,,,,,,,,,,
2014-15,2014,2015,all_rookie_teams,1st,Nikola Mirotić,nikolamirotić_na,,NBA,,,,,,,,,,,,,,,,,,,,,
2014-15,2014,2015,all_rookie_teams,2nd,Zach LaVine,lavinza01,,NBA,,,,,,,,,,,,,,,,,,,,,
2013-14,2013,2014,all_rookie_teams,1st,Victor Oladipo,oladivi01,,NBA,,,,,,,,,,,,,,,,,,,,,
2013-14,2013,2014,all_rookie_teams,2nd,Giannis Antetokounmpo,antetgi01,,NBA,,,,,,,,,,,,,,,,,,,,,
2012-13,2012,2013,all_rookie_teams,1st,Bradley Beal,bealbr010,,NBA,,,,,,,,,,,,,,,,,,,,,
2012-13,2012,2013,all_rookie_teams,2nd,Michael Kidd-Gilchrist,kiddgmi01,,NBA,,,,,,,,,,,,,,,,,,,,,
2011-12,2011,2012,all_rookie_teams,1st,Kyrie Irving,irvinky01,,NBA,,,,,,,,,,,,,,,,,,,,,
2011-12,2011,2012,all_rookie_teams,2nd,Chandler Parsons,parsoch01,,NBA,,,,,,,,,,,,,,,,,,,,,
2010-11,2010,2011,all_rookie_teams,1st,Landry Fields,fieldla01,,NBA,,,,,,,,,,,,,,,,,,,,,
2010-11,2010,2011,all_rookie_teams,2nd,Derrick Favors,favorde01,,NBA,,,,,,,,,,,,,,,,,,,,,
2009-10,2009,2010,all_rookie_teams,1st,Stephen Curry,curryst01,,NBA,,,,,,,,,,,,,,,,,,,,,
2009-10,2009,2010,all_rookie_teams,2nd,Jonny Flynn,flynnjo01,,NBA,,,,,,,,,,,,,,,,,,,,,
2008-09,2008,2009,all_rookie_teams,1st,Brook Lopez,lopezbr01,,NBA,,,,,,,,,,,,,,,,,,,,,
2008-09,2008,2009,all_rookie_teams,2nd,Marc Gasol,gasolma01,,NBA,,,,,,,,,,,,,,,,,,,,,
2007-08,2007,2008,all_rookie_teams,1st,Jeff Green,greenje01,,NBA,,,,,,,,,,,,,,,,,,,,,
2007-08,2007,2008,all_rookie_teams,2nd,Jamario Moon,moonja010,,NBA,,,,,,,,,,,,,,,,,,,,,
2006-07,2006,2007,all_rookie_teams,1st,Randy Foye,foyera010,,NBA,,,,,,,,,,,,,,,,,,,,,
2006-07,2006,2007,all_rookie_teams,2nd,Adam Morrison,morriad01,,NBA,,,,,,,,,,,,,,,,,,,,,
2005-06,2005,2006,all_rookie_teams,1st,Channing Frye,fryech010,,NBA,,,,,,,,,,,,,,,,,,,,,
2005-06,2005,2006,all_rookie_teams,2nd,Ryan Gomes,gomesry01,,NBA,,,,,,,,,,,,,,,,,,,,,
2004-05,2004,2005,all_rookie_teams,1st,Ben Gordon,gordobe01,,NBA,,,,,,,,,,,,,,,,,,,,,
2004-05,2004,2005,all_rookie_teams,2nd,Al Jefferson,jeffeal01,,NBA,,,,,,,,,,,,,,,,,,,,,
2003-04,2003,2004,all_rookie_teams,1st,Chris Bosh,boshch010,,NBA,,,,,,,,,,,,,,,,,,,,,
2003-04,2003,2004,all_rookie_teams,2nd,T.J. Ford,fordtj010,,NBA,,,,,,,,,,,,,,,,,,,,,
2002-03,2002,2003,all_rookie_teams,1st,Drew Gooden,goodedr01,,NBA,,,,,,,,,,,,,,,,,,,,,
2002-03,2002,2003,all_rookie_teams,2nd,J.R. Bremer,bremejr01,,NBA,,,,,,,,,,,,,,,,,,,,,
2001-02,2001,2002,all_rookie_teams,1st,Pau Gasol,gasolpa01,,NBA,,,,,,,,,,,,,,,,,,,,,
2001-02,2001,2002,all_rookie_teams,2nd,Richard Jefferson,jefferi01,,NBA,,,,,,,,,,,,,,,,,,,,,
2000-01,2000,2001,all_rookie_teams,1st,Kenyon Martin,martike02,,NBA,,,,,,,,,,,,,,,,,,,,,
2000-01,2000,2001,all_rookie_teams,2nd,Marcus Fizer,fizerma01,,NBA,,,,,,,,,,,,,,,,,,,,,
1999-00,1999,2000,all_rookie_teams,1st,Steve Francis,francst01,,NBA,,,,,,,,,,,,,,,,,,,,,
1999-00,1999,2000,all_rookie_teams,2nd,Chucky Atkins,atkinch01,,NBA,,,,,,,,,,,,,,,,,,,,,
1998-99,1998,2099,all_rookie_teams,1st,Vince Carter,cartevi01,,NBA,,,,,,,,,,,,,,,,,,,,,
1998-99,1998,2099,all_rookie_teams,2nd,Michael Doleac,doleami01,,NBA,,,,,,,,,,,,,,,,,,,,,
1997-98,1997,2098,all_rookie_teams,1st,Zydrunas Ilgauskas,ilgauzy01,,NBA,,,,,,,,,,,,,,,,,,,,,
1997-98,1997,2098,all_rookie_teams,2nd,Cedric Henderson,hendece01,,NBA,,,,,,,,,,,,,,,,,,,,,
1996-97,1996,2097,all_rookie_teams,1st,Marcus Camby,cambyma01,,NBA,,,,,,,,,,,,,,,,,,,,,
1996-97,1996,2097,all_rookie_teams,2nd,Kobe Bryant,bryanko01,,NBA,,,,,,,,,,,,,,,,,,,,,
1995-96,1995,2096,all_rookie_teams,1st,Joe Smith,smithjo01,,NBA,,,,,,,,,,,,,,,,,,,,,
1995-96,1995,2096,all_rookie_teams,2nd,Tyus Edney,edneyty01,,NBA,,,,,,,,,,,,,,,,,,,,,
1994-95,1994,2095,all_rookie_teams,1st,Grant Hill,hillgr010,,NBA,,,,,,,,,,,,,,,,,,,,,
1994-95,1994,2095,all_rookie_teams,2nd,Eric Montross,montrer01,,NBA,,,,,,,,,,,,,,,,,,,,,
1993-94,1993,2094,all_rookie_teams,1st,Anfernee Hardaway,hardaan01,,NBA,,,,,,,,,,,,,,,,,,,,,
1993-94,1993,2094,all_rookie_teams,2nd,Lindsey Hunter,hunteli01,,NBA,,,,,,,,,,,,,,,,,,,,,
1992-93,1992,2093,all_rookie_teams,1st,Tom Gugliotta,guglito01,,NBA,,,,,,,,,,,,,,,,,,,,,
1992-93,1992,2093,all_rookie_teams,2nd,Robert Horry,horryro01,,NBA,,,,,,,,,,,,,,,,,,,,,
1991-92,1991,2092,all_rookie_teams,1st,Larry Johnson,johnsla01,,NBA,,,,,,,,,,,,,,,,,,,,,
1991-92,1991,2092,all_rookie_teams,2nd,Rick Fox,foxri0100,,NBA,,,,,,,,,,,,,,,,,,,,,
1990-91,1990,2091,all_rookie_teams,1st,Derrick Coleman,colemde01,,NBA,,,,,,,,,,,,,,,,,,,,,
1990-91,1990,2091,all_rookie_teams,2nd,Willie Burton,burtowi01,,NBA,,,,,,,,,,,,,,,,,,,,,
1989-90,1989,2090,all_rookie_teams,1st,Sherman Douglas,douglsh01,,NBA,,,,,,,,,,,,,,,,,,,,,
1989-90,1989,2090,all_rookie_teams,2nd,Sean Elliott,elliose01,,NBA,,,,,,,,,,,,,,,,,,,,,
1988-89,1988,2089,all_rookie_teams,1st,Hersey Hawkins,hawkihe01,,NBA,,,,,,,,,,,,,,,,,,,,,
