Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,-9999
Dennis Schröder,31.0,GSW,SG,24.0,18.0,628.0,0.375,0.419,0.322,0.448,0.744,0.474,0.155,0.458,80.0,77.0,89.0,83.0,95.0,82.0,64.0,109.0,-47.6,-55.0,schrode01
Dennis Schröder,31.0,DET,PG,28.0,8.0,705.0,0.378,0.434,0.302,0.442,0.833,0.515,0.382,0.422,81.0,80.0,84.0,81.0,107.0,89.0,157.0,100.0,-50.6,-35.9,schrode01
Damian Lillard,34.0,MIL,PG,58.0,58.0,2093.0,0.448,0.528,0.376,0.547,0.921,0.621,0.396,0.528,96.0,97.0,104.0,101.0,118.0,108.0,163.0,125.0,7.6,104.6,lillada01
Russell Westbrook,36.0,DEN,PG,75.0,36.0,2092.0,0.449,0.517,0.323,0.505,0.661,0.532,0.28,0.35,96.0,95.0,90.0,93.0,85.0,92.0,115.0,83.0,-62.6,-81.8,westbru01
Kelly Oubre Jr.,29.0,PHI,SF,60.0,57.0,2078.0,0.47,0.555,0.293,0.518,0.751,0.551,0.25,0.327,101.0,102.0,81.0,95.0,96.0,96.0,103.0,78.0,-37.8,-41.7,oubreke01
Nickeil Alexander-Walker,26.0,MIN,SG,82.0,10.0,2073.0,0.438,0.524,0.381,0.553,0.78,0.579,0.192,0.601,94.0,96.0,106.0,102.0,100.0,100.0,79.0,143.0,11.9,3.3,alexani01
Luguentz Dort,25.0,OKC,SF,71.0,71.0,2073.0,0.435,0.489,0.412,0.578,0.717,0.586,0.078,0.696,93.0,90.0,114.0,107.0,92.0,102.0,32.0,165.0,41.9,12.3,dortlu01
Onyeka Okongwu,24.0,ATL,C,74.0,40.0,2064.0,0.567,0.634,0.324,0.602,0.759,0.634,0.316,0.216,121.0,116.0,90.0,111.0,97.0,110.0,130.0,51.0,81.1,90.3,okongon01
Malik Monk,26.0,SAC,SG,65.0,45.0,2054.0,0.439,0.534,0.325,0.513,0.865,0.549,0.19,0.456,94.0,98.0,90.0,94.0,111.0,95.0,78.0,108.0,-56.9,-55.3,monkma01
Jaylen Wells,21.0,MEM,SG,79.0,74.0,2043.0,0.425,0.525,0.352,0.527,0.822,0.56,0.2,0.58,91.0,96.0,98.0,97.0,105.0,97.0,82.0,138.0,-22.2,-24.5,wellsja01
Jalen Duren,21.0,DET,C,78.0,78.0,2034.0,0.692,0.692,,0.692,0.669,0.703,0.443,0.0,148.0,127.0,,127.0,86.0,122.0,183.0,0.0,163.0,166.1,durenja01
Jalen Wilson,24.0,BRK,PF,79.0,22.0,2031.0,0.397,0.481,0.337,0.495,0.818,0.541,0.266,0.584,85.0,88.0,94.0,91.0,105.0,94.0,110.0,139.0,-59.4,-49.1,wilsoja03
Miles Bridges,26.0,CHO,PF,64.0,64.0,2029.0,0.431,0.513,0.313,0.495,0.87,0.541,0.233,0.413,92.0,94.0,87.0,91.0,112.0,94.0,96.0,98.0,-103.8,-83.7,bridgmi02
Davion Mitchell,26.0,2TM,PG,74.0,37.0,2027.0,0.468,0.525,0.398,0.557,0.69,0.573,0.176,0.443,100.0,96.0,111.0,103.0,89.0,99.0,73.0,105.0,13.0,-3.1,mitchda01
Davion Mitchell,26.0,TOR,PG,44.0,22.0,1080.0,0.434,0.504,0.359,0.52,0.676,0.536,0.152,0.48,93.0,92.0,100.0,96.0,87.0,93.0,62.0,114.0,-11.0,-20.9,mitchda01
Davion Mitchell,26.0,MIA,PG,30.0,15.0,947.0,0.504,0.543,0.447,0.595,0.702,0.611,0.203,0.405,108.0,100.0,124.0,110.0,90.0,106.0,83.0,96.0,24.0,17.8,mitchda01
Franz Wagner,23.0,ORL,SF,60.0,60.0,2023.0,0.463,0.535,0.295,0.507,0.871,0.558,0.268,0.303,99.0,98.0,82.0,93.0,112.0,97.0,110.0,72.0,-83.0,-46.6,wagnefr01
Quentin Grimes,24.0,2TM,SG,75.0,37.0,2013.0,0.467,0.552,0.385,0.565,0.757,0.595,0.26,0.512,100.0,101.0,107.0,104.0,97.0,103.0,107.0,121.0,36.2,35.1,grimequ01
Quentin Grimes,24.0,DAL,SG,47.0,12.0,1070.0,0.463,0.543,0.398,0.573,0.765,0.599,0.222,0.551,99.0,100.0,110.0,105.0,98.0,104.0,91.0,131.0,21.6,18.3,grimequ01
Quentin Grimes,24.0,PHI,SG,28.0,25.0,943.0,0.469,0.559,0.373,0.559,0.752,0.592,0.29,0.48,100.0,103.0,103.0,103.0,96.0,103.0,120.0,114.0,14.6,16.8,grimequ01
Jordan Poole,25.0,WAS,SG,68.0,68.0,2001.0,0.432,0.51,0.378,0.544,0.883,0.591,0.259,0.588,93.0,94.0,105.0,100.0,113.0,103.0,107.0,140.0,1.0,34.0,poolejo01
Draymond Green,34.0,GSW,PF,68.0,66.0,1983.0,0.424,0.517,0.325,0.503,0.687,0.534,0.289,0.483,91.0,95.0,90.0,93.0,88.0,93.0,119.0,115.0,-40.8,-48.1,greendr01
Devin Vassell,24.0,SAS,SG,64.0,53.0,1983.0,0.443,0.513,0.368,0.532,0.792,0.553,0.135,0.483,95.0,94.0,102.0,98.0,102.0,96.0,56.0,115.0,-19.6,-44.3,vassede01
Klay Thompson,34.0,DAL,SF,72.0,72.0,1965.0,0.412,0.448,0.391,0.535,0.905,0.552,0.084,0.631,88.0,82.0,108.0,98.0,116.0,96.0,35.0,150.0,-14.5,-43.2,thompkl01
Tyrese Maxey,24.0,PHI,PG,52.0,52.0,1960.0,0.437,0.515,0.337,0.511,0.879,0.562,0.265,0.438,94.0,95.0,94.0,94.0,113.0,98.0,109.0,104.0,-70.0,-34.8,maxeyty01
Norman Powell,31.0,LAC,SG,60.0,60.0,1958.0,0.484,0.538,0.418,0.578,0.804,0.615,0.28,0.453,104.0,99.0,116.0,106.0,103.0,107.0,115.0,108.0,66.6,82.6,powelno01
Yves Missi,20.0,NOP,C,73.0,67.0,1956.0,0.547,0.548,0.0,0.547,0.623,0.572,0.415,0.002,117.0,101.0,0.0,101.0,80.0,99.0,171.0,0.0,3.6,-5.4,missiyv01
Keon Ellis,25.0,SAC,SG,80.0,28.0,1948.0,0.489,0.615,0.433,0.639,0.849,0.664,0.185,0.692,105.0,113.0,120.0,118.0,109.0,115.0,76.0,164.0,89.0,87.7,elliske01
Bilal Coulibaly,20.0,WAS,SF,59.0,59.0,1948.0,0.421,0.5,0.281,0.472,0.746,0.515,0.296,0.359,90.0,92.0,78.0,87.0,96.0,89.0,122.0,85.0,-88.7,-85.9,coulibi01
Kyle Kuzma,29.0,2TM,PF,65.0,62.0,1936.0,0.436,0.512,0.307,0.493,0.634,0.514,0.238,0.369,93.0,94.0,85.0,91.0,81.0,89.0,98.0,88.0,-85.1,-115.6,kuzmaky01
Kyle Kuzma,29.0,WAS,PF,32.0,30.0,887.0,0.42,0.495,0.281,0.469,0.602,0.488,0.215,0.352,90.0,91.0,78.0,86.0,77.0,85.0,89.0,83.0,-67.2,-88.0,kuzmaky01
Kyle Kuzma,29.0,MIL,PF,33.0,32.0,1049.0,0.455,0.533,0.333,0.52,0.663,0.545,0.265,0.389,97.0,98.0,93.0,96.0,85.0,95.0,109.0,92.0,-17.9,-27.6,kuzmaky01
