"player","team","number","position","height","weight","last_attended","country","profile_url"
"Caleb
Houstan","ORL","2","G","6-8","205 lbs","Michigan","Canada","https://www.nba.com/player/1631216/caleb-houstan/"
"Jett
Howard","ORL","13","G","6-6","215 lbs","Michigan","USA","https://www.nba.com/player/1641724/jett-howard/"
"Kevin
Huerter","CHI","13","G-F","6-7","198 lbs","Maryland","USA","https://www.nba.com/player/1628989/kevin-huerter/"
"Jay
Huff","MEM","30","C","7-1","240 lbs","Virginia","USA","https://www.nba.com/player/1630643/jay-huff/"
"Ariel
Hukporti","NYK","55","C","6-11","246 lbs","MHP Riesen","Germany","https://www.nba.com/player/1630574/ariel-hukporti/"
"De'Andre
Hunter","CLE","12","F-G","6-8","221 lbs","Virginia","USA","https://www.nba.com/player/1629631/deandre-hunter/"
"Bones
Hyland","MIN","77","G","6-2","169 lbs","Virginia Commonwealth","USA","https://www.nba.com/player/1630538/bones-hyland/"
"Oso
Ighodaro","PHX","4","F","7-0","235 lbs","Marquette","USA","https://www.nba.com/player/1642345/oso-ighodaro/"
"Joe
Ingles","MIN","7","F-G","6-8","220 lbs","Maccabi Tel Aviv","Australia","https://www.nba.com/player/204060/joe-ingles/"
"Brandon
Ingram","TOR","3","F","6-8","190 lbs","Duke","USA","https://www.nba.com/player/1627742/brandon-ingram/"
"Harrison
Ingram","SAS","55","F","6-5","230 lbs","North Carolina","USA","https://www.nba.com/player/1631127/harrison-ingram/"
"Kyrie
Irving","DAL","11","G","6-2","195 lbs","Duke","Australia","https://www.nba.com/player/202681/kyrie-irving/"
"Jonathan
Isaac","ORL","1","F","6-10","230 lbs","Florida State","USA","https://www.nba.com/player/1628371/jonathan-isaac/"
"Jaden
Ivey","DET","23","G","6-4","195 lbs","Purdue","USA","https://www.nba.com/player/1631093/jaden-ivey/"
"GG
Jackson","MEM","45","F","6-9","210 lbs","South Carolina","USA","https://www.nba.com/player/1641713/gg-jackson/"
"Isaiah
Jackson","IND","22","F","6-9","205 lbs","Kentucky","USA","https://www.nba.com/player/1630543/isaiah-jackson/"
"Quenton
Jackson","IND","29","G","6-5","173 lbs","Texas A&M","USA","https://www.nba.com/player/1631245/quenton-jackson/"
"Reggie
Jackson","","","G","6-2","208 lbs","Boston College","USA","https://www.nba.com/player/202704/reggie-jackson/"
"Andre
Jackson Jr.","MIL","44","G","6-6","209 lbs","Connecticut","USA","https://www.nba.com/player/1641748/andre-jackson-jr/"
"Jaren
Jackson Jr.","MEM","13","F-C","6-10","242 lbs","Michigan State","USA","https://www.nba.com/player/1628991/jaren-jackson-jr/"
"Trayce
Jackson-Davis","GSW","32","F","6-9","245 lbs","Indiana","USA","https://www.nba.com/player/1631218/trayce-jackson-davis/"
"Bronny
James","LAL","9","G","6-3","210 lbs","Southern California","USA","https://www.nba.com/player/1642355/bronny-james/"
"LeBron
James","LAL","23","F","6-9","250 lbs","St. Vincent-St. Mary HS (OH)","USA","https://www.nba.com/player/2544/lebron-james/"
"Jaime
Jaquez Jr.","MIA","11","G","6-6","225 lbs","UCLA","USA","https://www.nba.com/player/1631170/jaime-jaquez-jr/"
"DaQuan
Jeffries","CHA","3","G-F","6-5","222 lbs","Tulsa","USA","https://www.nba.com/player/1629610/daquan-jeffries/"
"Trey
Jemison III","LAL","55","C","6-11","270 lbs","Alabama-Birmingham","USA","https://www.nba.com/player/1641998/trey-jemison-iii/"
"Daniss
Jenkins","DET","24","G","6-3","165 lbs","St. John's","USA","https://www.nba.com/player/1642450/daniss-jenkins/"
"Ty
Jerome","CLE","2","G-F","6-5","195 lbs","Virginia","USA","https://www.nba.com/player/1629660/ty-jerome/"
"Isaiah
Joe","OKC","11","G","6-3","165 lbs","Arkansas","USA","https://www.nba.com/player/1630198/isaiah-joe/"
"AJ
Johnson","WAS","5","G","6-5","160 lbs","Illawarra","USA","https://www.nba.com/player/1642358/aj-johnson/"
"Cameron
Johnson","BKN","2","F","6-8","210 lbs","North Carolina","USA","https://www.nba.com/player/1629661/cameron-johnson/"
"Jalen
Johnson","ATL","1","F","6-8","219 lbs","Duke","USA","https://www.nba.com/player/1630552/jalen-johnson/"
"James
Johnson","IND","16","F","6-7","240 lbs","Wake Forest","USA","https://www.nba.com/player/201949/james-johnson/"
"Keldon
Johnson","SAS","0","F-G","6-5","220 lbs","Kentucky","USA","https://www.nba.com/player/1629640/keldon-johnson/"
"Keon
Johnson","BKN","45","G","6-5","185 lbs","Tennessee","USA","https://www.nba.com/player/1630553/keon-johnson/"
"Keshad
Johnson","MIA","16","F","6-7","225 lbs","Arizona","USA","https://www.nba.com/player/1642352/keshad-johnson/"
"Nikola
Jokić","DEN","15","C","6-11","284 lbs","Mega Basket","Serbia","https://www.nba.com/player/203999/nikola-jokic/"
"Colby
Jones","WAS","1","G","6-6","207 lbs","Xavier","USA","https://www.nba.com/player/1641732/colby-jones/"
"Dillon
Jones","OKC","3","F","6-5","235 lbs","Weber State","USA","https://www.nba.com/player/1641794/dillon-jones/"
"Herbert
Jones","NOP","2","F","6-7","206 lbs","Alabama","USA","https://www.nba.com/player/1630529/herbert-jones/"
"Isaac
Jones","SAC","3","F","6-9","245 lbs","Washington State","USA","https://www.nba.com/player/1642403/isaac-jones/"
"Kai
Jones","DAL","23","C-F","6-11","221 lbs","Texas","Bahamas","https://www.nba.com/player/1630539/kai-jones/"
"Mason
Jones","SAC","15","G","6-4","200 lbs","Arkansas","USA","https://www.nba.com/player/1630222/mason-jones/"
"Spencer
Jones","DEN","21","F","6-7","225 lbs","Stanford","USA","https://www.nba.com/player/1642461/spencer-jones/"
"Tre
Jones","CHI","30","G","6-1","185 lbs","Duke","USA","https://www.nba.com/player/1630200/tre-jones/"
"Tyus
Jones","PHX","21","G","6-1","196 lbs","Duke","USA","https://www.nba.com/player/1626145/tyus-jones/"
"Derrick
Jones Jr.","LAC","55","F","6-6","210 lbs","UNLV","USA","https://www.nba.com/player/1627884/derrick-jones-jr/"
"DeAndre
Jordan","DEN","6","C","6-11","265 lbs","Texas A&M","USA","https://www.nba.com/player/201599/deandre-jordan/"
"Cory
Joseph","ORL","10","G","6-2","200 lbs","Texas","Canada","https://www.nba.com/player/202709/cory-joseph/"
"Nikola
Jović","MIA","5","F","6-10","205 lbs","Mega Basket","Serbia","https://www.nba.com/player/1631107/nikola-jovic/"
"Johnny
Juzang","UTA","33","G","6-5","226 lbs","UCLA","USA","https://www.nba.com/player/1630548/johnny-juzang/"
"Yuki
Kawamura","MEM","17","G","5-8","159 lbs","-","Japan","https://www.nba.com/player/1642530/yuki-kawamura/"
"Kylor
Kelley","","","C","7-0","230 lbs","Oregon State","USA","https://www.nba.com/player/1630283/kylor-kelley/"
"Luke
Kennard","MEM","10","G","6-5","206 lbs","Duke","USA","https://www.nba.com/player/1628379/luke-kennard/"
"Walker
Kessler","UTA","24","C","7-0","245 lbs","Auburn","USA","https://www.nba.com/player/1631117/walker-kessler/"
"Braxton
Key","GSW","12","F","6-8","225 lbs","Virginia","USA","https://www.nba.com/player/1630296/braxton-key/"
"Corey
Kispert","WAS","24","F","6-6","224 lbs","Gonzaga","USA","https://www.nba.com/player/1630557/corey-kispert/"
"Maxi
Kleber","LAL","14","F","6-10","240 lbs","Bayern Munich","Germany","https://www.nba.com/player/1628467/maxi-kleber/"
"Bobi
Klintman","DET","34","F","6-9","225 lbs","Cairns","Sweden","https://www.nba.com/player/1641752/bobi-klintman/"
"Dalton
Knecht","LAL","4","F","6-6","215 lbs","Tennessee","USA","https://www.nba.com/player/1642261/dalton-knecht/"
"Kevin
Knox II","GSW","31","F","6-8","215 lbs","Kentucky","USA","https://www.nba.com/player/1628995/kevin-knox-ii/"
"Tyler
Kolek","NYK","13","G","6-3","195 lbs","Marquette","USA","https://www.nba.com/player/1642278/tyler-kolek/"
"Christian
Koloko","LAL","10","C","7-0","225 lbs","Arizona","Cameroon","https://www.nba.com/player/1631132/christian-koloko/"
"John
Konchar","MEM","46","G","6-5","210 lbs","Indiana-Purdue Fort Wayne","USA","https://www.nba.com/player/1629723/john-konchar/"
"Luke
Kornet","BOS","40","C-F","7-1","250 lbs","Vanderbilt","USA","https://www.nba.com/player/1628436/luke-kornet/"
"Vít
Krejčí","ATL","27","G","6-8","195 lbs","Zaragoza","Czech Republic","https://www.nba.com/player/1630249/vit-krejci/"
"Jonathan
Kuminga","GSW","00","F","6-7","225 lbs","NBA G League Ignite","DRC","https://www.nba.com/player/1630228/jonathan-kuminga/"
"Kyle
Kuzma","MIL","18","F","6-9","221 lbs","Utah","USA","https://www.nba.com/player/1628398/kyle-kuzma/"
"Skal
Labissiere","","","F-C","6-10","235 lbs","Kentucky","Haiti","https://www.nba.com/player/1627746/skal-labissiere/"
"Jock
Landale","HOU","2","C","6-11","255 lbs","St. Mary's","Australia","https://www.nba.com/player/1629111/jock-landale/"
"Jake
LaRavia","SAC","33","F","6-7","235 lbs","Wake Forest","USA","https://www.nba.com/player/1631222/jake-laravia/"
"Pelle
Larsson","MIA","9","G","6-5","215 lbs","Arizona","Sweden","https://www.nba.com/player/1641796/pelle-larsson/"
"Zach
LaVine","SAC","8","G","6-5","200 lbs","UCLA","USA","https://www.nba.com/player/203897/zach-lavine/"
"A.J.
Lawson","TOR","0","G","6-6","179 lbs","South Carolina","Canada","https://www.nba.com/player/1630639/aj-lawson/"
"Damion
Lee","PHX","10","G-F","6-6","210 lbs","Drexel","USA","https://www.nba.com/player/1627814/damion-lee/"
"Alex
Len","LAL","27","C","7-0","250 lbs","Maryland","Ukraine","https://www.nba.com/player/203458/alex-len/"
"Kawhi
Leonard","LAC","2","F","6-7","225 lbs","San Diego State","USA","https://www.nba.com/player/202695/kawhi-leonard/"
"Malevy
Leons","","","F","6-9","210 lbs","Bradley","Netherlands","https://www.nba.com/player/1642502/malevy-leons/"
"Caris
LeVert","ATL","3","G","6-6","205 lbs","Michigan","USA","https://www.nba.com/player/1627747/caris-levert/"
"Maxwell
Lewis","BKN","27","F","6-7","215 lbs","Pepperdine","USA","https://www.nba.com/player/1641721/maxwell-lewis/"
"E.J.
Liddell","CHI","32","F","6-6","240 lbs","Ohio State","USA","https://www.nba.com/player/1630604/ej-liddell/"
"Damian
Lillard","MIL","0","G","6-2","195 lbs","Weber State","USA","https://www.nba.com/player/203081/damian-lillard/"
"Dereck
Lively II","DAL","2","C","7-1","230 lbs","Duke","USA","https://www.nba.com/player/1641726/dereck-lively-ii/"
"Chris
Livingston","MIL","7","F","6-6","220 lbs","Kentucky","USA","https://www.nba.com/player/1641753/chris-livingston/"
"Kevon
Looney","GSW","5","F","6-9","222 lbs","UCLA","USA","https://www.nba.com/player/1626172/kevon-looney/"
"Brook
Lopez","MIL","11","C","7-1","282 lbs","Stanford","USA","https://www.nba.com/player/201572/brook-lopez/"
"Kevin
Love","MIA","42","F-C","6-8","251 lbs","UCLA","USA","https://www.nba.com/player/201567/kevin-love/"
"Kyle
Lowry","PHI","7","G","6-0","196 lbs","Villanova","USA","https://www.nba.com/player/200768/kyle-lowry/"
"Seth
Lundy","LAC","5","G-F","6-4","220 lbs","Penn State","USA","https://www.nba.com/player/1641754/seth-lundy/"
"Trey
Lyles","SAC","41","F","6-9","234 lbs","Kentucky","Canada","https://www.nba.com/player/1626168/trey-lyles/"
"Sandro
Mamukelashvili","SAS","54","F-C","6-9","240 lbs","Seton Hall","Georgia","https://www.nba.com/player/1630572/sandro-mamukelashvili/"
"Terance
Mann","ATL","14","G-F","6-5","215 lbs","Florida State","USA","https://www.nba.com/player/1629611/terance-mann/"
"Tre
Mann","CHA","23","G","6-3","178 lbs","Florida","USA","https://www.nba.com/player/1630544/tre-mann/"
"Lauri
Markkanen","UTA","23","F-C","7-0","240 lbs","Arizona","Finland","https://www.nba.com/player/1628374/lauri-markkanen/"
"Naji
Marshall","DAL","13","F","6-6","220 lbs","Xavier","USA","https://www.nba.com/player/1630230/naji-marshall/"
"Caleb
Martin","DAL","16","F","6-5","205 lbs","Nevada","USA","https://www.nba.com/player/1628997/caleb-martin/"
"Cody
Martin","PHX","17","F","6-6","205 lbs","Nevada","USA","https://www.nba.com/player/1628998/cody-martin/"
"Jaylen
Martin","WAS","4","G","6-6","216 lbs","Overtime Elite","USA","https://www.nba.com/player/1641798/jaylen-martin/"
"KJ
Martin","UTA","99","F","6-6","215 lbs","IMG Academy (FL)","USA","https://www.nba.com/player/1630231/kj-martin/"
"Tyrese
Martin","BKN","13","F","6-6","215 lbs","Connecticut","USA","https://www.nba.com/player/1631213/tyrese-martin/"
"Garrison
Mathews","ATL","24","G","6-6","215 lbs","Lipscomb","USA","https://www.nba.com/player/1629726/garrison-mathews/"
"Bennedict
Mathurin","IND","00","G-F","6-5","210 lbs","Arizona","Canada","https://www.nba.com/player/1631097/bennedict-mathurin/"
"Karlo
Matković","NOP","17","F-C","6-10","231 lbs","Mega Basket","Bosnia and Herzegovina","https://www.nba.com/player/1631255/karlo-matkovic/"
"Tyrese
Maxey","PHI","0","G","6-2","200 lbs","Kentucky","USA","https://www.nba.com/player/1630178/tyrese-maxey/"
"Miles
McBride","NYK","2","G","6-1","195 lbs","West Virginia","USA","https://www.nba.com/player/1630540/miles-mcbride/"
"Jared
McCain","PHI","20","G","6-3","195 lbs","Duke","USA","https://www.nba.com/player/1642272/jared-mccain/"
"Mac
McClung","ORL","8","G","6-2","185 lbs","Texas Tech","USA","https://www.nba.com/player/1630644/mac-mcclung/"
"CJ
McCollum","NOP","3","G","6-3","190 lbs","Lehigh","USA","https://www.nba.com/player/203468/cj-mccollum/"
"T.J.
McConnell","IND","9","G","6-1","190 lbs","Arizona","USA","https://www.nba.com/player/204456/tj-mcconnell/"
"Kevin
McCullar Jr.","NYK","9","G","6-6","210 lbs","Kansas","USA","https://www.nba.com/player/1641755/kevin-mccullar-jr/"
"Jaden
McDaniels","MIN","3","F","6-9","185 lbs","Washington","USA","https://www.nba.com/player/1630183/jaden-mcdaniels/"
"Jalen
McDaniels","","","F","6-9","190 lbs","San Diego State","USA","https://www.nba.com/player/1629667/jalen-mcdaniels/"
"Doug
McDermott","SAC","7","F","6-6","225 lbs","Creighton","USA","https://www.nba.com/player/203926/doug-mcdermott/"
"Bryce
McGowens","POR","11","G","6-6","190 lbs","Nebraska","USA","https://www.nba.com/player/1631121/bryce-mcgowens/"
"Jordan
McLaughlin","SAS","11","G","6-0","185 lbs","Southern California","USA","https://www.nba.com/player/1629162/jordan-mclaughlin/"
"Jack
McVeigh","HOU","58","G-F","6-8","215 lbs","Nebraska-Lincoln","Australia","https://www.nba.com/player/1629098/jack-mcveigh/"
"De'Anthony
Melton","BKN","14","G","6-3","200 lbs","Southern California","USA","https://www.nba.com/player/1629001/deanthony-melton/"
"Sam
Merrill","CLE","5","G","6-4","205 lbs","Utah State","USA","https://www.nba.com/player/1630241/sam-merrill/"
"Vasilije
Micić","PHX","18","G","6-3","188 lbs","Serbia","Serbia","https://www.nba.com/player/203995/vasilije-micic/"
"Khris
Middleton","WAS","32","F","6-7","222 lbs","Texas A&M","USA","https://www.nba.com/player/203114/khris-middleton/"
"Brandon
Miller","CHA","24","F","6-7","200 lbs","Alabama","USA","https://www.nba.com/player/1641706/brandon-miller/"
"Emanuel
Miller","CHI","20","F","6-7","215 lbs","TCU","Canada","https://www.nba.com/player/1641801/emanuel-miller/"
"Jordan
Miller","LAC","11","G","6-5","194 lbs","Miami","USA","https://www.nba.com/player/1641757/jordan-miller/"
"Leonard
Miller","MIN","33","F","6-10","220 lbs","NBA G League Ignite","Canada","https://www.nba.com/player/1631159/leonard-miller/"
"Patty
Mills","LAC","88","G","6-2","180 lbs","St. Mary's","Australia","https://www.nba.com/player/201988/patty-mills/"
"Shake
Milton","LAL","20","G","6-5","205 lbs","Southern Methodist","USA","https://www.nba.com/player/1629003/shake-milton/"
"Justin
Minaya","POR","10","F","6-5","205 lbs","Providence","USA","https://www.nba.com/player/1631303/justin-minaya/"
"Riley
Minix","SAS","27","F","6-7","230 lbs","Morehead State","USA","https://www.nba.com/player/1642434/riley-minix/"
"Josh
Minott","MIN","8","F","6-8","205 lbs","Memphis","USA","https://www.nba.com/player/1631169/josh-minott/"
"Yves
Missi","NOP","21","C","6-11","235 lbs","Baylor","Cameroon","https://www.nba.com/player/1642274/yves-missi/"
"Ajay
Mitchell","OKC","25","G","6-5","190 lbs","California-Santa Barbara","Belgium","https://www.nba.com/player/1642349/ajay-mitchell/"
"Davion
Mitchell","MIA","45","G","6-0","202 lbs","Baylor","USA","https://www.nba.com/player/1630558/davion-mitchell/"
"Donovan
Mitchell","CLE","45","G","6-3","215 lbs","Louisville","USA","https://www.nba.com/player/1628378/donovan-mitchell/"
"Evan
Mobley","CLE","4","C","6-11","215 lbs","Southern California","USA","https://www.nba.com/player/1630596/evan-mobley/"
"Isaiah
Mobley","","","F","6-8","238 lbs","USC","USA","https://www.nba.com/player/1630600/isaiah-mobley/"
"Jonathan
Mogbo","TOR","2","F","6-9","225 lbs","San Francisco","USA","https://www.nba.com/player/1642367/jonathan-mogbo/"
"Malik
Monk","SAC","0","G","6-3","200 lbs","Kentucky","USA","https://www.nba.com/player/1628370/malik-monk/"
"Moses
Moody","GSW","4","G","6-5","211 lbs","Arkansas","USA","https://www.nba.com/player/1630541/moses-moody/"
"Tazé
Moore","","","G","6-5","195 lbs","Houston","USA","https://www.nba.com/player/1631386/taze-moore/"
"Wendell
Moore Jr.","CHA","9","G","6-5","215 lbs","Duke","USA","https://www.nba.com/player/1631111/wendell-moore-jr/"
"Ja
Morant","MEM","12","G","6-2","174 lbs","Murray State","USA","https://www.nba.com/player/1629630/ja-morant/"
"Markieff
Morris","LAL","88","F","6-9","245 lbs","Kansas","USA","https://www.nba.com/player/202693/markieff-morris/"
"Monté
Morris","PHX","23","G","6-2","183 lbs","Iowa State","USA","https://www.nba.com/player/1628420/monte-morris/"
"Trey
Murphy III","NOP","25","F","6-8","206 lbs","Virginia","USA","https://www.nba.com/player/1630530/trey-murphy-iii/"
"Dejounte
Murray","NOP","5","G","6-4","180 lbs","Washington","USA","https://www.nba.com/player/1627749/dejounte-murray/"
"Jamal
Murray","DEN","27","G","6-4","215 lbs","Kentucky","Canada","https://www.nba.com/player/1627750/jamal-murray/"
"Keegan
Murray","SAC","13","F","6-8","225 lbs","Iowa","USA","https://www.nba.com/player/1631099/keegan-murray/"
"Kris
Murray","POR","24","F","6-8","216 lbs","Iowa","USA","https://www.nba.com/player/1631200/kris-murray/"
"Svi
Mykhailiuk","UTA","19","G-F","6-7","205 lbs","Kansas","Ukraine","https://www.nba.com/player/1629004/svi-mykhailiuk/"
"Pete
Nance","MIL","35","F","6-10","225 lbs","North Carolina","USA","https://www.nba.com/player/1631250/pete-nance/"
"Larry
Nance Jr.","ATL","22","F-C","6-8","245 lbs","Wyoming","USA","https://www.nba.com/player/1626204/larry-nance-jr/"
"Andrew
Nembhard","IND","2","G-F","6-4","191 lbs","Gonzaga","Canada","https://www.nba.com/player/1629614/andrew-nembhard/"
"Aaron
Nesmith","IND","23","G-F","6-6","215 lbs","Vanderbilt","USA","https://www.nba.com/player/1630174/aaron-nesmith/"
"Tristen
Newton","MIN","13","G","6-5","190 lbs","Connecticut","USA","https://www.nba.com/player/1641803/tristen-newton/"
"Georges
Niang","ATL","20","F","6-7","230 lbs","Iowa State","USA","https://www.nba.com/player/1627777/georges-niang/"
"Daishen
Nix","","","G","6-4","238 lbs","NBA G League Ignite","USA","https://www.nba.com/player/1630227/daishen-nix/"
"Zeke
Nnaji","DEN","22","F-C","6-9","240 lbs","Arizona","USA","https://www.nba.com/player/1630192/zeke-nnaji/"
"Miles
Norris","BOS","0","F","6-7","220 lbs","California-Santa Barbara","USA","https://www.nba.com/player/1641936/miles-norris/"
"Jaylen
Nowell","","","G","6-4","201 lbs","Washington","USA","https://www.nba.com/player/1629669/jaylen-nowell/"
"Jusuf
Nurkić","CHA","11","C","7-0","290 lbs","Cedevita","Bosnia and Herzegovina","https://www.nba.com/player/203994/jusuf-nurkic/"
"Jahlil
Okafor","","","C-F","6-10","270 lbs","Duke","USA","https://www.nba.com/player/1626143/jahlil-okafor/"
"Chuma
Okeke","CLE","18","F","6-7","229 lbs","Auburn","USA","https://www.nba.com/player/1629643/chuma-okeke/"
"Josh
Okogie","CHA","12","G","6-4","213 lbs","Georgia Tech","Nigeria","https://www.nba.com/player/1629006/josh-okogie/"
"Onyeka
Okongwu","ATL","17","F-C","6-10","240 lbs","Southern California","USA","https://www.nba.com/player/1630168/onyeka-okongwu/"
"Isaac
Okoro","CLE","35","F-G","6-5","225 lbs","Auburn","USA","https://www.nba.com/player/1630171/isaac-okoro/"
"Quincy
Olivari","","","G","6-3","200 lbs","Xavier","USA","https://www.nba.com/player/1642439/quincy-olivari/"
"Kelly
Olynyk","NOP","13","F-C","6-11","240 lbs","Gonzaga","Canada","https://www.nba.com/player/203482/kelly-olynyk/"
"Royce
O'Neale","PHX","00","F","6-6","226 lbs","Baylor","USA","https://www.nba.com/player/1626220/royce-oneale/"
"Kelly
Oubre Jr.","PHI","9","F-G","6-8","203 lbs","Kansas","USA","https://www.nba.com/player/1626162/kelly-oubre-jr/"
"Chris
Paul","SAS","3","G","6-0","175 lbs","Wake Forest","USA","https://www.nba.com/player/101108/chris-paul/"
"Cameron
Payne","NYK","1","G","6-3","183 lbs","Murray State","USA","https://www.nba.com/player/1626166/cameron-payne/"
"Elfrid
Payton","NOP","4","G","6-3","195 lbs","Louisana-Lafayette","USA","https://www.nba.com/player/203901/elfrid-payton/"
"Gary
Payton II","GSW","0","G","6-2","195 lbs","Oregon State","USA","https://www.nba.com/player/1627780/gary-payton-ii/"
"Drew
Peterson","BOS","13","F","6-9","205 lbs","Southern California","USA","https://www.nba.com/player/1641809/drew-peterson/"
"Julian
Phillips","CHI","15","F","6-8","198 lbs","Tennessee","USA","https://www.nba.com/player/1641763/julian-phillips/"
"Jalen
Pickett","DEN","24","G","6-2","202 lbs","Penn State","USA","https://www.nba.com/player/1629618/jalen-pickett/"
"Scotty
Pippen Jr.","MEM","1","G","6-1","170 lbs","Vanderbilt","USA","https://www.nba.com/player/1630590/scotty-pippen-jr/"
"Daeqwon
Plowden","ATL","29","G-F","6-6","216 lbs","Bowling Green","USA","https://www.nba.com/player/1631342/daeqwon-plowden/"
"Mason
Plumlee","PHX","22","F-C","6-10","254 lbs","Duke","USA","https://www.nba.com/player/203486/mason-plumlee/"
"Brandin
Podziemski","GSW","2","G","6-4","205 lbs","Santa Clara","USA","https://www.nba.com/player/1641764/brandin-podziemski/"
"Jakob
Poeltl","TOR","19","C","7-0","260 lbs","Utah","Austria","https://www.nba.com/player/1627751/jakob-poeltl/"
"Jordan
Poole","WAS","13","G","6-4","194 lbs","Michigan","USA","https://www.nba.com/player/1629673/jordan-poole/"
"Craig
Porter Jr.","CLE","9","G","6-1","180 lbs","Wichita State","USA","https://www.nba.com/player/1641854/craig-porter-jr/"
"Kevin
Porter Jr.","MIL","3","G-F","6-4","203 lbs","Southern California","USA","https://www.nba.com/player/1629645/kevin-porter-jr/"
"Michael
Porter Jr.","DEN","1","F","6-10","218 lbs","Missouri","USA","https://www.nba.com/player/1629008/michael-porter-jr/"
"Bobby
Portis","MIL","9","F","6-10","250 lbs","Arkansas","USA","https://www.nba.com/player/1626171/bobby-portis/"
"Kristaps
Porziņģis","BOS","8","F-C","7-2","240 lbs","Cajasol Sevilla","Latvia","https://www.nba.com/player/204001/kristaps-porzingis/"
"Quinten
Post","GSW","21","C","7-0","238 lbs","Boston College","Netherlands","https://www.nba.com/player/1642366/quinten-post/"
"Micah
Potter","UTA","25","C","6-9","248 lbs","Wisconsin","USA","https://www.nba.com/player/1630695/micah-potter/"
"Dwight
Powell","DAL","7","F-C","6-10","240 lbs","Stanford","Canada","https://www.nba.com/player/203939/dwight-powell/"
"Norman
Powell","LAC","24","G","6-4","215 lbs","UCLA","USA","https://www.nba.com/player/1626181/norman-powell/"
"Taurean
Prince","MIL","12","F","6-6","218 lbs","Baylor","USA","https://www.nba.com/player/1627752/taurean-prince/"
"Payton
Pritchard","BOS","11","G","6-1","195 lbs","Oregon","USA","https://www.nba.com/player/1630202/payton-pritchard/"
"Olivier-Maxence
Prosper","DAL","8","F","6-7","230 lbs","Marquette","Canada","https://www.nba.com/player/1641765/olivier-maxence-prosper/"
"Zyon
Pullin","MEM","","G","6-4","206 lbs","Florida","USA","https://www.nba.com/player/1642389/zyon-pullin/"
"Trevelin
Queen","ORL","12","G","6-5","190 lbs","New Mexico State","USA","https://www.nba.com/player/1630243/trevelin-queen/"
"Neemias
Queta","BOS","88","C","7-0","248 lbs","Utah State","Portugal","https://www.nba.com/player/1629674/neemias-queta/"
"Immanuel
Quickley","TOR","5","G","6-2","190 lbs","Kentucky","USA","https://www.nba.com/player/1630193/immanuel-quickley/"
"Lester
Quinones","NOP","22","G","6-4","208 lbs","Memphis","USA","https://www.nba.com/player/1631311/lester-quinones/"
"Julius
Randle","MIN","30","F-C","6-9","250 lbs","Kentucky","USA","https://www.nba.com/player/203944/julius-randle/"
"Duop
Reath","POR","26","C","6-9","245 lbs","Louisiana State","South Sudan","https://www.nba.com/player/1641871/duop-reath/"
"Austin
Reaves","LAL","15","G","6-5","197 lbs","Oklahoma","USA","https://www.nba.com/player/1630559/austin-reaves/"
"Cam
Reddish","","","F-G","6-7","217 lbs","Duke","USA","https://www.nba.com/player/1629629/cam-reddish/"
"Paul
Reed","DET","7","F","6-9","210 lbs","DePaul","USA","https://www.nba.com/player/1630194/paul-reed/"
"Alex
Reese","PHI","65","F-C","6-9","245 lbs","Alabama","USA","https://www.nba.com/player/1642024/alex-reese/"
"Antonio
Reeves","NOP","12","G","6-5","205 lbs","Kentucky","USA","https://www.nba.com/player/1641810/antonio-reeves/"
"Naz
Reid","MIN","11","C-F","6-9","264 lbs","Louisiana State","USA","https://www.nba.com/player/1629675/naz-reid/"
"Jared
Rhoden","TOR","8","G","6-5","210 lbs","Seton Hall","USA","https://www.nba.com/player/1631197/jared-rhoden/"
"Nick
Richards","PHX","2","C","7-0","245 lbs","Kentucky","Jamaica","https://www.nba.com/player/1630208/nick-richards/"
"Josh
Richardson","","","G","6-5","200 lbs","Tennessee","USA","https://www.nba.com/player/1626196/josh-richardson/"
"Zaccharie
Risacher","ATL","10","F","6-8","200 lbs","JL Bourg-en-Bresse","France","https://www.nba.com/player/1642258/zaccharie-risacher/"
"Liam
Robbins","","","C","7-0","250 lbs","Vanderbilt","USA","https://www.nba.com/player/1641857/liam-robbins/"
"Duncan
Robinson","MIA","55","F","6-7","215 lbs","Michigan","USA","https://www.nba.com/player/1629130/duncan-robinson/"
"Mitchell
Robinson","NYK","23","C-F","7-0","240 lbs","Western Kentucky","USA","https://www.nba.com/player/1629011/mitchell-robinson/"
"Orlando
Robinson","","","C","6-10","235 lbs","Fresno State","USA","https://www.nba.com/player/1631115/orlando-robinson/"
"Jeremiah
Robinson-Earl","NOP","50","F","6-8","240 lbs","Villanova","USA","https://www.nba.com/player/1630526/jeremiah-robinson-earl/"
"David
Roddy","HOU","45","F","6-4","255 lbs","Colorado State","USA","https://www.nba.com/player/1631223/david-roddy/"
"Ryan
Rollins","MIL","13","G","6-3","180 lbs","Toledo","USA","https://www.nba.com/player/1631157/ryan-rollins/"
"Jackson
Rowe","GSW","44","F","6-7","210 lbs","California State-Fullerton","Canada","https://www.nba.com/player/1642050/jackson-rowe/"
"Terry
Rozier","MIA","2","G","6-1","190 lbs","Louisville","USA","https://www.nba.com/player/1626179/terry-rozier/"
"Rayan
Rupert","POR","21","G-F","6-6","195 lbs","New Zealand Breakers","France","https://www.nba.com/player/1641712/rayan-rupert/"
"D'Angelo
Russell","BKN","1","G","6-3","193 lbs","Ohio State","USA","https://www.nba.com/player/1626156/dangelo-russell/"
