"player","team","number","position","height","weight","last_attended","country","profile_url","is_active","is_free_agent","is_retired","headshot_url","birthdate","draft","experience","legacy"
"Tierre Brown","","","","","","","","https://www.nba.com/player/2357/tierre-brown",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/2357.png","June 3, 1979","Undrafted","5 Years",False
"Tony Brown","","","","","","","","https://www.nba.com/player/76268/HISTADD-tony-brown",False,False,True,"","1960-07-29T00:00:00","1982 #82","7 Years",True
"Greg Brown III","","","","","","","","https://www.nba.com/player/1630535/greg-brown-iii",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1630535.png","September 1, 2001","2021 R2 Pick 43","4 Years",False
"Charlie Brown Jr.","","","","","","","","https://www.nba.com/player/1629718/charles-brown",False,False,True,"","February 2, 1997","Undrafted","5 Years",False
"Chaundee Brown Jr.","","","","","","","","https://www.nba.com/player/1630602/chaundee-brown",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1630602.png","December 4, 1998","Undrafted","2 Years",False
"Troy Brown Jr.","","","","","","","","https://www.nba.com/player/1628972/troy-brown-jr",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1628972.png","July 28, 1999","2018 R1 Pick 15","7 Years",False
"Jim Browne","","","","","","","","https://www.nba.com/player/76287/HISTADD-jim-browne",False,False,True,"","1930-01-01T00:00:00","Undrafted #Undrafted","2 Years",True
"Stanley Brundy","","","","","","","","https://www.nba.com/player/76288/HISTADD-marla-brumfield",False,False,True,"","1967-11-13T00:00:00","1989 #32","1 Years",True
"Jalen Brunson","NYK","","","","","","","https://www.nba.com/player/1628973/jalen-brunson",True,False,False,"","August 31, 1996","2018 R2 Pick 33","6 Years",False
"Rick Brunson","","","","","","","","https://www.nba.com/player/1594/rick-brunson",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1594.png","June 14, 1972","Undrafted","9 Years",False
"Nicolas Brussino","","","","","","","","https://www.nba.com/player/1627852/nicolas-brussino",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1627852.png","March 2, 1993","Undrafted","2 Years",False
"Elijah Bryant","","","","","","","","https://www.nba.com/player/1629091/elijah-bryant",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1629091.png","April 19, 1995","Undrafted","2 Years",False
"Emmette Bryant","","","","","","","","https://www.nba.com/player/76289/HISTADD-emmette-bryant",False,False,True,"","1938-11-04T00:00:00","1964 #53","8 Years",True
"Joe Bryant","","","","","","","","https://www.nba.com/player/76290/HISTADD-joe-bryant",False,False,True,"","1954-10-19T00:00:00","1975 #14","8 Years",True
"Kobe Bryant","","","","","","","","https://www.nba.com/player/977/kobe-bryant",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/977.png","August 23, 1978","1996 R1 Pick 13","20 Years",False
"Mark Bryant","","","","","","","","https://www.nba.com/player/95/mark-bryant",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/95.png","April 25, 1965","1988 R1 Pick 21","16 Years",False
"Thomas Bryant","IND","","","","","","","https://www.nba.com/player/1628418/thomas-bryant",True,False,False,"","July 31, 1997","2017 R2 Pick 42","7 Years",False
"Wallace Bryant","","","","","","","","https://www.nba.com/player/76291/HISTADD-wallace-bryant",False,False,True,"","1959-07-14T00:00:00","1982 #30","3 Years",True
"Torgeir Bryn","","","","","","","","https://www.nba.com/player/76292/HISTADD-torgeir-bryn",False,False,True,"","1964-08-08T00:00:00","Undrafted #Undrafted","1 Years",True
"Shaq Buchanan","","","","","","","","https://www.nba.com/player/1629783/shaq-buchanan",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1629783.png","January 30, 1997","Undrafted","1 Year",False
"Joe Buckhalter","","","","","","","","https://www.nba.com/player/76293/HISTADD-joe-buckhalter",False,False,True,"","1937-08-01T00:00:00","1958 #81","2 Years",True
"Steve Bucknall","","","","","","","","https://www.nba.com/player/76294/HISTADD-steve-bucknall",False,False,True,"","1966-03-17T00:00:00","Undrafted #Undrafted","1 Years",True
"Cleveland Buckner","","","","","","","","https://www.nba.com/player/76295/HISTADD-cleveland-buckner",False,False,True,"","1938-08-17T00:00:00","1961 #51","2 Years",True
"Greg Buckner","","","","","","","","https://www.nba.com/player/1761/greg-buckner",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1761.png","September 16, 1976","1998 R2 Pick 53","11 Years",False
"Quinn Buckner","","","","","","","","https://www.nba.com/player/76296/HISTADD-quinn-buckner",False,False,True,"","1954-08-20T00:00:00","1976 #7","10 Years",True
"Dave Budd","","","","","","","","https://www.nba.com/player/76297/HISTADD-dave-budd",False,False,True,"","1938-10-28T00:00:00","1960 #10","5 Years",True
"Chase Budinger","","","","","","","","https://www.nba.com/player/201978/chase-budinger",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/201978.png","May 22, 1988","2009 R2 Pick 44","8 Years",False
"Walter Budko","","","","","","","","https://www.nba.com/player/76298/HISTADD-walt-budko",False,False,True,"","1925-06-30T00:00:00","1948 #6","4 Years",True
"Jud Buechler","","","","","","","","https://www.nba.com/player/146/jud-buechler",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/146.png","June 19, 1968","1990 R2 Pick 38","12 Years",False
"Kobe Bufkin","ATL","","","","","","","https://www.nba.com/player/1641723/kobe-bufkin",True,False,False,"","September 21, 2003","2023 R1 Pick 15","1 Year",False
"Rodney Buford","","","","","","","","https://www.nba.com/player/1934/rodney-buford",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1934.png","November 2, 1977","1999 R2 Pick 53","6 Years",False
"Matt Bullard","","","","","","","","https://www.nba.com/player/672/matt-bullard",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/672.png","June 5, 1967","Undrafted","12 Years",False
"Reggie Bullock Jr.","","","","","","","","https://www.nba.com/player/203493/reggie-bullock",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/203493.png","March 16, 1991","2013 R1 Pick 25","12 Years",False
"Greg Bunch","","","","","","","","https://www.nba.com/player/76300/HISTADD-greg-bunch",False,False,True,"","1956-05-15T00:00:00","1978 #34","1 Years",True
"Dick Bunt","","","","","","","","https://www.nba.com/player/76301/HISTADD-dick-bunt",False,False,True,"","","","",True
"Bill Buntin","","","","","","","","https://www.nba.com/player/76302/HISTADD-bill-buntin",False,False,True,"","","","",True
"Luther Burden","","","","","","","","https://www.nba.com/player/76303/HISTADD-ticky-burden",False,False,True,"","1953-02-28T00:00:00","1975 #26","2 Years",True
"Pat Burke","","","","","","","","https://www.nba.com/player/2469/pat-burke",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/2469.png","December 14, 1973","Undrafted","4 Years",False
"Trey Burke","","","","","","","","https://www.nba.com/player/203504/trey-burke",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/203504.png","November 12, 1992","2013 R1 Pick 9","10 Years",False
"Roger Burkman","","","","","","","","https://www.nba.com/player/76304/HISTADD-roger-burkman",False,False,True,"","1958-05-22T00:00:00","1981 #130","1 Years",True
"Alec Burks","MIA","","","","","","","https://www.nba.com/player/202692/alec-burks",True,False,False,"","July 20, 1991","2011 R1 Pick 12","13 Years",False
"Antonio Burks","","","","","","","","https://www.nba.com/player/2766/antonio-burks",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/2766.png","February 25, 1980","2004 R2 Pick 36","2 Years",False
"Kevin Burleson","","","","","","","","https://www.nba.com/player/101207/kevin-burleson",False,False,True,"","April 9, 1979","Undrafted","2 Years",False
"Tom Burleson","","","","","","","","https://www.nba.com/player/76305/HISTADD-tom-burleson",False,False,True,"","1952-02-24T00:00:00","1974 #3","7 Years",True
"Jack Burmaster","","","","","","","","https://www.nba.com/player/76306/HISTADD-jack-burmaster",False,False,True,"","","","",True
"David Burns","","","","","","","","https://www.nba.com/player/76307/HISTADD-david-burns",False,False,True,"","1958-07-03T00:00:00","1981 #49","1 Years",True
"Evers Burns","","","","","","","","https://www.nba.com/player/76308/HISTADD-evers-burns",False,False,True,"","1971-08-24T00:00:00","1993 #31","1 Years",True
"Jim Burns","","","","","","","","https://www.nba.com/player/76309/HISTADD-jim-burns",False,False,True,"","1945-09-21T00:00:00","1967 #34","1 Years",True
"Scott Burrell","","","","","","","","https://www.nba.com/player/197/scott-burrell",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/197.png","January 12, 1971","1993 R1 Pick 20","8 Years",False
"Art Burris","","","","","","","","https://www.nba.com/player/76311/HISTADD-art-burris",False,False,True,"","","","",True
"Junior Burrough","","","","","","","","https://www.nba.com/player/675/junior-burrough",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/675.png","January 18, 1973","1995 R2 Pick 33","1 Year",False
"Bob Burrow","","","","","","","","https://www.nba.com/player/76313/HISTADD-bob-burrow",False,False,True,"","","","",True
"Deonte Burton","","","","","","","","https://www.nba.com/player/1629126/deonte-burton",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1629126.png","January 31, 1994","Undrafted","4 Years",False
"Ed Burton","","","","","","","","https://www.nba.com/player/76314/HISTADD-ed-burton",False,False,True,"","1939-08-13T00:00:00","Undrafted #Undrafted","2 Years",True
"Willie Burton","","","","","","","","https://www.nba.com/player/416/willie-burton",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/416.png","May 26, 1968","1990 R1 Pick 9","8 Years",False
"Steve Burtt","","","","","","","","https://www.nba.com/player/76316/HISTADD-steve-burtt",False,False,True,"","1962-11-05T00:00:00","1984 #30","4 Years",True
"Don Buse","","","","","","","","https://www.nba.com/player/76317/HISTADD-don-buse",False,False,True,"","1950-08-10T00:00:00","1972 #34","9 Years",True
"Brian Butch","","","","","","","","https://www.nba.com/player/202221/brian-butch",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/202221.png","December 22, 1984","Undrafted","1 Year",False
"Donnie Butcher","","","","","","","","https://www.nba.com/player/76318/HISTADD-donnie-butcher",False,False,True,"","1936-02-08T00:00:00","1961 #60","5 Years",True
"Al Butler","","","","","","","","https://www.nba.com/player/76319/HISTADD-al-butler",False,False,True,"","1938-07-09T00:00:00","1961 #17","4 Years",True
"Caron Butler","","","","","","","","https://www.nba.com/player/2406/caron-butler",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/2406.png","March 13, 1980","2002 R1 Pick 10","15 Years",False
"Da'Sean Butler","","","","","","","","https://www.nba.com/player/202364/da'sean-butler",False,False,True,"https://cdn.nba.com/headshots/nba/latest/260x190/1630173.png","","","",False
"Greg Butler","","","","","","","","https://www.nba.com/player/76320/HISTADD-gregory-butler",False,False,True,"","1966-03-11T00:00:00","1988 #37","3 Years",True
"Jackie Butler","","","","","","","","https://www.nba.com/player/2866/jackie-butler",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/2866.png","March 10, 1985","Undrafted","4 Years",False
"Jared Butler","PHI","","","","","","","https://www.nba.com/player/1630215/jared-butler",True,False,False,"","August 25, 2000","2021 R2 Pick 40","3 Years",False
"Mitchell Butler","","","","","","","","https://www.nba.com/player/348/mitchell-butler",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/348.png","December 15, 1970","Undrafted","9 Years",False
"Rasual Butler","","","","","","","","https://www.nba.com/player/2446/rasual-butler",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/2446.png","May 23, 1979","2002 R2 Pick 52","14 Years",False
"Jimmy Butler III","GSW","","","","","","","https://www.nba.com/player/202710/jimmy-butler",True,False,False,"https://cdn.nba.com/headshots/nba/latest/260x190/1627780.png","September 14, 1989","2011 R1 Pick 30","13 Years",False
"John Butler Jr.","","","","","","","","https://www.nba.com/player/1631219/john-butler-jr",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1631219.png","December 4, 2002","Undrafted","2 Years",False
"Dwight Buycks","","","","","","","","https://www.nba.com/player/202779/dwight-buycks",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/202779.png","March 6, 1989","Undrafted","3 Years",False
"Matas Buzelis","CHI","","","","","","","https://www.nba.com/player/1641824/matas-buzelis",True,False,False,"https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png","October 13, 2004","2024 R1 Pick 11","Rookie",False
"Derrick Byars","","","","","","","","https://www.nba.com/player/201182/derrick-byars",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/201182.png","April 25, 1984","2007 R2 Pick 42","2 Years",False
"Andrew Bynum","","","","","","","","https://www.nba.com/player/101115/andrew-bynum",False,False,True,"","October 27, 1987","2005 R1 Pick 10","8 Years",False
"Will Bynum","","","","","","","","https://www.nba.com/player/101198/will-bynum",False,False,True,"","January 4, 1983","Undrafted","9 Years",False
"Marty Byrnes","","","","","","","","https://www.nba.com/player/76321/HISTADD-marty-byrnes",False,False,True,"","1956-04-30T00:00:00","1978 #19","4 Years",True
"Tommy Byrnes","","","","","","","","https://www.nba.com/player/76322/HISTADD-tommy-byrnes",False,False,True,"","1923-02-19T00:00:00","Undrafted #Undrafted","5 Years",True
"Mike Bytzura","","","","","","","","https://www.nba.com/player/76323/HISTADD-mike-bytzura",False,False,True,"","1922-06-18T00:00:00","Undrafted #Undrafted","1 Years",True
"Zarko Cabarkapa","","","","","","","","https://www.nba.com/player/2560/zarko-cabarkapa",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/2560.png","May 21, 1981","2003 R1 Pick 17","4 Years",False
"Barney Cable","","","","","","","","https://www.nba.com/player/76324/HISTADD-barney-cable",False,False,True,"","1935-07-29T00:00:00","1958 #10","6 Years",True
"Bruno Caboclo","","","","","","","","https://www.nba.com/player/203998/bruno-caboclo",False,False,True,"","September 21, 1995","2014 R1 Pick 20","8 Years",False
"Devontae Cacok","","","","","","","","https://www.nba.com/player/1629719/davontae-cacok",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1629719.png","October 8, 1996","Undrafted","4 Years",False
"Jason Caffey","","","","","","","","https://www.nba.com/player/679/jason-caffey",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/679.png","June 12, 1973","1995 R1 Pick 20","9 Years",False
"Michael Cage","","","","","","","","https://www.nba.com/player/262/michael-cage",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/262.png","January 28, 1962","1984 R1 Pick 14","15 Years",False
"Jamal Cain","NOP","","","","","","","https://www.nba.com/player/1631288/jamal-cain",True,False,False,"","March 20, 1999","Undrafted","2 Years",False
"Gerry Calabrese","","","","","","","","https://www.nba.com/player/76326/HISTADD-gerry-calabrese",False,False,True,"","","","",True
"Nick Calathes","","","","","","","","https://www.nba.com/player/201979/nick-calathes",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/201979.png","February 7, 1989","2009 R2 Pick 45","2 Years",False
"Jose Calderon","","","","","","","","https://www.nba.com/player/101181/jose-calderon",False,False,True,"","September 28, 1981","Undrafted","15 Years",False
"Adrian Caldwell","","","","","","","","https://www.nba.com/player/154/adrian-caldwell",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/154.png","July 4, 1966","Undrafted","6 Years",False
"Jim Caldwell","","","","","","","","https://www.nba.com/player/76328/HISTADD-jim-caldwell",False,False,True,"","1943-01-28T00:00:00","1965 #25","1 Years",True
"Joe Caldwell","","","","","","","","https://www.nba.com/player/76329/HISTADD-pogo-caldwell",False,False,True,"","1941-11-01T00:00:00","1964 #2","6 Years",True
"Kentavious Caldwell-Pope","ORL","","","","","","","https://www.nba.com/player/203484/kentavious-caldwell-pope",True,False,False,"https://cdn.nba.com/headshots/nba/latest/260x190/fallback.png","February 18, 1993","2013 R1 Pick 8","11 Years",False
"Bill Calhoun","","","","","","","","https://www.nba.com/player/76331/HISTADD-bill-calhoun",False,False,True,"","1927-11-04T00:00:00","Undrafted #Undrafted","7 Years",True
"Corky Calhoun","","","","","","","","https://www.nba.com/player/76330/HISTADD-corky-calhoun",False,False,True,"","1950-11-01T00:00:00","1972 #4","8 Years",True
"Demetrius Calip","","","","","","","","https://www.nba.com/player/76332/HISTADD-demetrius-calip",False,False,True,"","1969-11-18T00:00:00","Undrafted #Undrafted","1 Years",True
"Tom Callahan","","","","","","","","https://www.nba.com/player/76333/HISTADD-tom-callahan",False,False,True,"","1921-06-02T00:00:00","Undrafted #Undrafted","1 Years",True
"Rick Calloway","","","","","","","","https://www.nba.com/player/76334/HISTADD-rick-calloway",False,False,True,"","1966-10-12T00:00:00","Undrafted #Undrafted","1 Years",True
"Ernie Calverley","","","","","","","","https://www.nba.com/player/76335/HISTADD-ernie-calverley",False,False,True,"","1924-01-30T00:00:00","Undrafted #Undrafted","3 Years",True
"Mack Calvin","","","","","","","","https://www.nba.com/player/76336/HISTADD-mack-calvin",False,False,True,"","1947-07-27T00:00:00","1969 #187","4 Years",True
"Toumani Camara","POR","","","","","","","https://www.nba.com/player/1641739/toumani-camara",True,False,False,"https://cdn.nba.com/headshots/nba/latest/260x190/fallback.png","May 8, 2000","2023 R2 Pick 52","1 Year",False
"Dexter Cambridge","","","","","","","","https://www.nba.com/player/76337/HISTADD-dexter-cambridge",False,False,True,"","1970-01-29T00:00:00","Undrafted #Undrafted","1 Years",True
"Marcus Camby","","","","","","","","https://www.nba.com/player/948/marcus-camby",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/948.png","March 22, 1974","1996 R1 Pick 2","18 Years",False
"Facundo Campazzo","","","","","","","","https://www.nba.com/player/1630267/facundo-campazzo",False,False,True,"","March 23, 1991","Undrafted","3 Years",False
"Elden Campbell","","","","","","","","https://www.nba.com/player/922/elden-campbell",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/922.png","July 23, 1968","1990 R1 Pick 27","16 Years",False
"Tony Campbell","","","","","","","","https://www.nba.com/player/76338/HISTADD-tony-campbell",False,False,True,"","1962-05-07T00:00:00","1984 #20","11 Years",True
"Isaiah Canaan","","","","","","","","https://www.nba.com/player/203477/isaiah-canaan",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/203477.png","May 21, 1991","2013 R2 Pick 34","6 Years",False
"Devin Cannady","","","","","","","","https://www.nba.com/player/1629962/devin-cannady",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1629962.png","May 21, 1996","2019","3 Years",False
"Larry Cannon","","","","","","","","https://www.nba.com/player/76339/HISTADD-larry-cannon",False,False,True,"","1947-04-12T00:00:00","1969 #5","1 Years",True
"Clint Capela","ATL","","","","","","","https://www.nba.com/player/203991/clint-capela",True,False,False,"","May 18, 1994","2014 R1 Pick 25","10 Years",False
"Derrick Caracter","","","","","","","","https://www.nba.com/player/202382/derrick-caracter",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/202382.png","May 4, 1988","2010 R2 Pick 58","2 Years",False
"Brian Cardinal","","","","","","","","https://www.nba.com/player/2073/brian-cardinal",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/2073.png","May 2, 1977","2000 R2 Pick 44","13 Years",False
"Vernon Carey Jr.","","","","","","","","https://www.nba.com/player/1630176/vernon-carey-jr",False,False,True,"","February 25, 2001","2020 R2 Pick 32","4 Years",False
"Howie Carl","","","","","","","","https://www.nba.com/player/76340/HISTADD-howie-carl",False,False,True,"","1938-06-07T00:00:00","1961 #50","1 Years",True
"Chet Carlisle","","","","","","","","https://www.nba.com/player/76341/HISTADD-chet-carlisle",False,False,True,"","1916-11-02T00:00:00","Undrafted #Undrafted","1 Years",True
"Geno Carlisle","","","","","","","","https://www.nba.com/player/2367/geno-carlisle",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/2367.png","August 13, 1976","Undrafted","1 Year",False
"Rick Carlisle","","","","","","","","https://www.nba.com/player/76342/HISTADD-rick-carlisle",False,False,True,"","1959-10-27T00:00:00","1984 #70","5 Years",True
"Al Carlson","","","","","","","","https://www.nba.com/player/76343/HISTADD-alvin-carlson",False,False,True,"","1951-09-17T00:00:00","Undrafted #Undrafted","1 Years",True
"Branden Carlson","OKC","","","","","","","https://www.nba.com/player/1642382/branden-carlson",True,False,False,"https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png","June 14, 1999","Undrafted","Rookie",False
"Don Carlson","","","","","","","","https://www.nba.com/player/76344/HISTADD-swede-carlson",False,False,True,"","1921-03-22T00:00:00","Undrafted #Undrafted","4 Years",True
"Bob Carney","","","","","","","","https://www.nba.com/player/76345/HISTADD-bob-carney",False,False,True,"","1932-08-03T00:00:00","1954 #47","1 Years",True
"Rodney Carney","","","","","","","","https://www.nba.com/player/200760/rodney-carney",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/200760.png","April 5, 1984","2006 R1 Pick 16","5 Years",False
"Bob Carpenter","","","","","","","","https://www.nba.com/player/76346/HISTADD-bob-carpenter",False,False,True,"","1917-11-06T00:00:00","Undrafted #Undrafted","2 Years",True
"Antoine Carr","","","","","","","","https://www.nba.com/player/156/antoine-carr",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/156.png","July 23, 1961","1983 R1 Pick 8","16 Years",False
"Austin Carr","","","","","","","","https://www.nba.com/player/76348/HISTADD-austin-carr",False,False,True,"","1948-03-10T00:00:00","1971 #1","10 Years",True
"Chris Carr","","","","","","","","https://www.nba.com/player/713/chris-carr",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/713.png","March 12, 1974","1995 R2 Pick 56","7 Years",False
"Cory Carr","","","","","","","","https://www.nba.com/player/1757/cory-carr",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1757.png","December 5, 1975","1998 R2 Pick 49","1 Year",False
"Kenny Carr","","","","","","","","https://www.nba.com/player/76350/HISTADD-kenny-carr",False,False,True,"","1955-08-15T00:00:00","1977 #6","10 Years",True
"M.L. Carr","","","","","","","","https://www.nba.com/player/76351/HISTADD-ml-carr",False,False,True,"","1951-01-09T00:00:00","1973 #76","9 Years",True
"Bob Carrington","","","","","","","","https://www.nba.com/player/76352/HISTADD-bob-carrington",False,False,True,"","1953-07-03T00:00:00","1976 #28","2 Years",True
"Bub Carrington","WAS","","","","","","","https://www.nba.com/player/1642267/carlton-carrington",True,False,False,"https://cdn.nba.com/headshots/nba/latest/260x190/fallback.png","July 21, 2005","2024 R1 Pick 14","Rookie",False
"DeMarre Carroll","","","","","","","","https://www.nba.com/player/201960/demarre-carroll",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/201960.png","July 27, 1986","2009 R1 Pick 27","12 Years",False
"Joe Barry Carroll","","","","","","","","https://www.nba.com/player/76353/HISTADD-joe-barry-carroll",False,False,True,"","1958-07-24T00:00:00","1980 #1","10 Years",True
"Matt Carroll","","","","","","","","https://www.nba.com/player/2679/matt-carroll",False,False,True,"","August 28, 1980","Undrafted","10 Years",False
"Jimmy Carruth","","","","","","","","https://www.nba.com/player/1131/jimmy-carruth",False,False,True,"","November 4, 1969","Undrafted","1 Year",False
"Anthony Carter","","","","","","","","https://www.nba.com/player/1853/anthony-carter",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1853.png","June 16, 1975","Undrafted","14 Years",False
"Butch Carter","","","","","","","","https://www.nba.com/player/76355/HISTADD-butch-carter",False,False,True,"","1958-06-11T00:00:00","1980 #37","6 Years",True
"Devin Carter","SAC","","","","","","","https://www.nba.com/player/1642269/tmp-devin-carter",True,False,False,"","March 18, 2002","2024 R1 Pick 13","Rookie",False
"Fred Carter","","","","","","","","https://www.nba.com/player/76356/HISTADD-fred-carter",False,False,True,"","1945-02-14T00:00:00","1969 #43","8 Years",True
"George Carter","","","","","","","","https://www.nba.com/player/76357/HISTADD-george-carter",False,False,True,"","1944-01-18T00:00:00","1967 #81","1 Years",True
"Howard Carter","","","","","","","","https://www.nba.com/player/76358/HISTADD-howard-carter",False,False,True,"","1961-10-26T00:00:00","1983 #15","2 Years",True
"Jake Carter","","","","","","","","https://www.nba.com/player/76359/HISTADD-jake-carter",False,False,True,"","","","",True
"Jevon Carter","CHI","","","","","","","https://www.nba.com/player/1628975/jevon-carter",True,False,False,"","September 14, 1995","2018 R2 Pick 32","6 Years",False
"Maurice Carter","","","","","","","","https://www.nba.com/player/2466/maurice-carter",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/2466.png","October 12, 1976","Undrafted","2 Years",False
"Reggie Carter","","","","","","","","https://www.nba.com/player/76360/HISTADD-reggie-carter",False,False,True,"","1957-10-10T00:00:00","1979 #27","2 Years",True
"Ron Carter","","","","","","","","https://www.nba.com/player/76361/HISTADD-ron-carter",False,False,True,"","1956-08-31T00:00:00","1978 #26","2 Years",True
"Vince Carter","","","","","","","","https://www.nba.com/player/1713/vince-carter",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1713.png","January 26, 1977","1998 R1 Pick 5","23 Years",False
"Wendell Carter Jr.","ORL","","","","","","","https://www.nba.com/player/1628976/wendell-carter-jr",True,False,False,"","April 16, 1999","2018 R1 Pick 7","6 Years",False
"Michael Carter-Williams","","","","","","","","https://www.nba.com/player/203487/michael-carter-williams",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/203487.png","October 10, 1991","2013 R1 Pick 11","10 Years",False
"D.J. Carton","","","","","","","","https://www.nba.com/player/1630618/dj-carton",False,False,True,"","August 5, 2000","Undrafted","1 Year",False
"Bill Cartwright","","","","","","","","https://www.nba.com/player/76362/HISTADD-bill-cartwright",False,False,True,"","1957-07-30T00:00:00","1979 #3","15 Years",True
"Jay Carty","","","","","","","","https://www.nba.com/player/76363/HISTADD-jay-carty",False,False,True,"","1941-07-04T00:00:00","1962 #46","1 Years",True
"Alex Caruso","OKC","","","","","","","https://www.nba.com/player/1627936/alex-caruso",True,False,False,"","February 28, 1994","Undrafted","7 Years",False
"Cornelius Cash","","","","","","","","https://www.nba.com/player/76364/HISTADD-cornelius-cash",False,False,True,"","1952-03-03T00:00:00","1975 #24","1 Years",True
"Sam Cassell","","","","","","","","https://www.nba.com/player/208/sam-cassell",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/208.png","November 18, 1969","1993 R1 Pick 24","16 Years",False
"Omri Casspi","","","","","","","","https://www.nba.com/player/201956/omri-casspi",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/201956.png","June 22, 1988","2009 R1 Pick 23","10 Years",False
"Stephon Castle","SAS","","","","","","","https://www.nba.com/player/1642264/stephen-castle",True,False,False,"","November 1, 2004","2024 R1 Pick 4","Rookie",False
"Colin Castleton","TOR","","","","","","","https://www.nba.com/player/1630658/colin-castleton",True,False,False,"","May 25, 2000","Undrafted","1 Year",False
"Harvey Catchings","","","","","","","","https://www.nba.com/player/76365/HISTADD-harvey-catchings",False,False,True,"","1951-09-02T00:00:00","1974 #42","11 Years",True
"Terry Catledge","","","","","","","","https://www.nba.com/player/767/terry-catledge",False,False,True,"","August 22, 1963","1985 R1 Pick 21","8 Years",False
"Sid Catlett","","","","","","","","https://www.nba.com/player/76367/HISTADD-sid-catlett",False,False,True,"","1948-04-18T00:00:00","1971 #55","1 Years",True
"Kelvin Cato","","","","","","","","https://www.nba.com/player/1509/kelvin-cato",False,False,True,"https://cdn.nba.com/headshots/nba/latest/1040x760/1509.png","August 26, 1974","1997 R1 Pick 15","11 Years",False
"Bobby Cattage","","","","","","","","https://www.nba.com/player/76368/HISTADD-bobby-cattage",False,False,True,"","1958-08-17T00:00:00","1981 #165","2 Years",True
"Willie Cauley-Stein","","","","","","","","https://www.nba.com/player/1626161/willie-cauley-stein",False,False,True,"","August 18, 1993","2015 R1 Pick 6","8 Years",False
