PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,LAST ATTENDED,COUNTRY
"Travis
Diener",IND,27,G,6-1,175 lbs,Marquette,USA
"Gorgui
Dieng",SAS,41,C,6-10,248 lbs,Louisville,Senegal
"Ousmane
Dieng",OKC,13,F,6-9,185 lbs,New Zealand Breakers,France
"Connie
Dierking",SAC,18,C,6-10,222 lbs,Cincinnati,USA
"Coby
Dietrick",SAS,25,C,6-11,220 lbs,San Jose State,USA
"Mickey
Dillard",CLE,9,G,6-3,170 lbs,Florida State,USA
"Bob
Dille",DEF,,F,6-3,190 lbs,Valparaiso,USA
"Rob
Dillingham",MIN,4,G,6-3,175 lbs,Kentucky,USA
"John
Dillon",WAS,,F,6-3,180 lbs,North Carolina,USA
"Byron
Dinkins",HOU,5,G,6-1,170 lbs,North Carolina-Charlotte,USA
"Jackie
Dinkins",CHI,23,F,6-5,210 lbs,Voorhees,USA
"Bill
Dinwiddie",SAC,20,F,6-7,220 lbs,New Mexico Highlands,USA
"Spencer
Dinwiddie",DAL,26,G,6-5,215 lbs,Colorado,USA
"Ike
Diogu",GSW,50,F,6-9,250 lbs,Arizona State,USA
"DeSagana
Diop",DAL,2,C,7-0,280 lbs,Oak Hill Academy (VA),Senegal
"Terry
Dischinger",DET,42,F,6-7,189 lbs,Purdue,USA
"Fred
Diute",ATL,4,G,6-3,210 lbs,St. Bonaventure,USA
"Vlade
Divac",LAL,21,C,7-1,260 lbs,Partizan,Serbia
"Juan
Dixon",WAS,12,G,6-3,165 lbs,Maryland,USA
"Aleksandar
Djordjevic",POR,19,G,6-2,198 lbs,Fortitudo Bologna,Serbia
"Earl
Dodd",DN,,F,6-5,175 lbs,Truman State,USA
"Michael
Doleac",ORL,51,C,6-11,262 lbs,Utah,USA
"Joe
Dolhon",BAL,,G,6-0,175 lbs,New York University,USA
"Bob
Doll",BOM,19,F,6-4,195 lbs,Colorado,USA
"James
Donaldson",DAL,54,C,7-2,275 lbs,Washington State,USA
"Bob
Donham",BOS,12,G,6-2,190 lbs,Ohio State,USA
"Billy
Donovan",NYK,1,G,5-11,171 lbs,Providence,USA
"Harry
Donovan",NYK,16,G,6-2,180 lbs,Muhlenberg,USA
"Luka
Dončić",LAL,77,F-G,6-6,230 lbs,Real Madrid,Slovenia
"Keyon
Dooling",LAC,55,G,6-3,195 lbs,Missouri,USA
"Jacky
Dorsey",OKC,34,F,6-7,230 lbs,Georgia,USA
"Joey
Dorsey",HOU,8,C-F,6-9,275 lbs,Memphis,USA
"Tyler
Dorsey",DAL,22,G,6-5,183 lbs,Oregon,USA
"Luguentz
Dort",OKC,5,G,6-4,220 lbs,Arizona State,Canada
"Ayo
Dosunmu",CHI,11,G,6-5,200 lbs,Illinois,USA
"Damyean
Dotson",NYK,21,G,6-5,210 lbs,Houston,USA
"Devon
Dotson",WAS,3,G,6-2,185 lbs,Kansas,USA
"Quincy
Douby",SAC,5,G,6-3,175 lbs,Rutgers,USA
"Bruce
Douglas",SAC,42,G,6-3,195 lbs,Illinois,USA
"John
Douglas",LAC,13,G,6-2,170 lbs,Kansas,USA
"Leon
Douglas",DET,13,C,6-10,230 lbs,Alabama,USA
"Sherman
Douglas",BOS,11,G,6-1,195 lbs,Syracuse,USA
"Toney
Douglas",NYK,16,G,6-2,195 lbs,Florida State,USA
"Chris
Douglas-Roberts",BKN,55,G,6-7,210 lbs,Memphis,USA
"Sekou
Doumbouya",LAL,45,F,6-8,230 lbs,,France
"Lloyd
Dove",DET,44,F,6-8,198 lbs,St. John's (NY),USA
"Zabian
Dowdell",PHX,22,G,6-3,191 lbs,Virginia Tech,USA
"Bill
Downey",PRO,,C,6-6,210 lbs,Marquette,USA
"Steve
Downing",BOS,32,C,6-8,225 lbs,Indiana,USA
"Jeff
Dowtin Jr.",PHI,11,G,6-3,177 lbs,Rhode Island,USA
"Danny
Doyle",DET,14,F,6-8,200 lbs,Belmont Abbey,USA
"Milton
Doyle",BKN,14,G,6-4,180 lbs,Loyola-Chicago,USA
"PJ
Dozier",MIN,35,G-F,6-6,205 lbs,South Carolina,USA
"Terry
Dozier",CHA,23,F,6-9,210 lbs,South Carolina,USA
"Goran
Dragic",MIL,31,G,6-4,190 lbs,Union Olimpija,Slovenia
"Zoran
Dragic",MIA,12,G-F,6-5,200 lbs,Malaga,Slovenia
"Greg
Dreiling",IND,50,C,7-1,265 lbs,Kansas,USA
"Henri
Drell",CHI,77,F,6-9,220 lbs,Victoria Libertas,Estonia
"Bryce
Drew",HOU,17,G,6-3,184 lbs,Valparaiso,USA
"John
Drew",ATL,22,F,6-6,205 lbs,Gardner-Webb,USA
"Larry
Drew",SAC,10,G,6-1,170 lbs,Missouri,USA
"Larry
Drew II",PHI,1,G,6-2,180 lbs,UCLA,USA
"Clyde
Drexler",POR,22,G,6-7,222 lbs,Houston,USA
"Nate
Driggers",BOS,27,G-F,6-5,215 lbs,Montevallo,USA
"Terry
Driscoll",MIL,7,F,6-7,215 lbs,Boston College,USA
"Predrag
Drobnjak",OKC,14,C,6-11,270 lbs,Efes Pilsen,Serbia
"Ralph
Drollinger",DAL,52,C,7-2,250 lbs,UCLA,USA
"Andre
Drummond",PHI,1,C,6-11,279 lbs,Connecticut,USA
"Dennis
DuVal",WAS,21,G,6-3,175 lbs,Syracuse,USA
"Chris
Duarte",CHI,3,G,6-5,190 lbs,Oregon,Dominican Republic
"Alex
Ducas",OKC,88,G,6-7,220 lbs,St.Mary's College of California,Australia
"Dick
Duckett",SAC,10,G,6-1,185 lbs,St. John's (NY),USA
"Kevin
Duckworth",POR,00,C,7-0,300 lbs,Eastern Illinois,USA
"Charles
Dudley",GSW,5,G,6-2,180 lbs,Washington,USA
"Chris
Dudley",POR,14,C,6-11,260 lbs,Yale,USA
"Jared
Dudley",PHX,10,F,6-6,237 lbs,Boston College,USA
"Terry
Duerod",DET,40,G,6-2,180 lbs,Detroit,USA
"Bob
Duffy",CHS,17,F,6-4,175 lbs,Tulane,USA
"Bob
Duffy",DET,,G,6-3,185 lbs,Colgate,USA
"Chris
Duhon",CHI,21,G,6-1,190 lbs,Duke,USA
"Duje
Dukan",SAC,26,F,6-9,220 lbs,Wisconsin,Croatia
"David
Duke Jr.",SAS,7,G,6-4,204 lbs,Providence,USA
"Walter
Dukes",DET,23,C,7-0,220 lbs,Seton Hall,USA
"Joe
Dumars",DET,4,G,6-3,195 lbs,McNeese State,USA
"Richard
Dumas",PHX,7,F,6-7,225 lbs,Oklahoma State,USA
"Tony
Dumas",DAL,7,G,6-6,190 lbs,Missouri-Kansas City,USA
"Andy
Duncan",SAC,21,F,6-6,195 lbs,William & Mary,USA
"Tim
Duncan",SAS,21,C-F,6-11,250 lbs,Wake Forest,US Virgin Islands
"Mike
Dunleavy",GSW,34,G-F,6-9,230 lbs,Duke,USA
"Mike
Dunleavy",HOU,,G,6-3,180 lbs,South Carolina,USA
"Kris
Dunn",LAC,8,G,6-3,205 lbs,Providence,USA
"Pat
Dunn",GSW,19,G,6-2,170 lbs,Utah State,USA
"Ryan
Dunn",PHX,0,F,6-8,216 lbs,Virginia,USA
"T.R.
Dunn",DEN,23,G,6-4,192 lbs,Alabama,USA
"Ronald
Dupree",DET,12,F,6-7,209 lbs,Louisiana State,USA
"Kevin
Durant",PHX,35,F,6-11,240 lbs,Texas,USA
"Jalen
Duren",DET,0,C,6-10,250 lbs,Memphis,USA
"John
Duren",UTA,44,G,6-3,195 lbs,Georgetown,USA
"Pat
Durham",MIN,30,F,6-7,210 lbs,Colorado State,USA
"Devin
Durrant",IND,17,F,6-7,200 lbs,Brigham Young,USA
"Ken
Durrett",SAC,33,F,6-7,190 lbs,La Salle,USA
"Trevon
Duval",MIL,0,G,6-2,189 lbs,Duke,USA
"Jack
Dwan",LAL,19,F,6-4,200 lbs,Loyola-Chicago,USA
"Craig
Dykema",PHX,35,F,6-8,190 lbs,Long Beach State,USA
"Gene
Dyker",ATL,5,F,6-6,225 lbs,DePaul,USA
"Jerome
Dyson",NOP,11,G,6-3,180 lbs,Connecticut,USA
"Ledell
Eackles",WAS,21,G,6-5,231 lbs,New Orleans,USA
"Jim
Eakins",SAC,24,C,6-11,215 lbs,Brigham Young,USA
"Acie
Earl",BOS,55,F-C,6-11,240 lbs,Iowa,USA
"Ed
Earle",PHI,6,F,6-3,190 lbs,Loyola-Chicago,USA
"Cleanthony
Early",NYK,11,F,6-8,210 lbs,Wichita State,USA
"Tari
Eason",HOU,17,F,6-8,215 lbs,Louisiana State,USA
"Mark
Eaton",UTA,53,C,7-4,275 lbs,UCLA,USA
"Jerry
Eaves",UTA,22,G,6-4,180 lbs,Louisville,USA
"Devin
Ebanks",LAL,3,F,6-9,215 lbs,West Virginia,USA
"Bill
Ebben",DET,6,G,6-4,190 lbs,Detroit,USA
"Al
Eberhard",DET,44,F,6-6,225 lbs,Missouri,USA
"Ndudi
Ebi",MIN,44,F,6-9,195 lbs,Westbury Christian HS (TX),USA
"Jaime
Echenique",WAS,12,C,6-10,258 lbs,Wichita State,Colombia
"Jarell
Eddie",WAS,31,G-F,6-7,218 lbs,Virginia Tech,USA
"Patrick
Eddie",NYK,41,C,6-11,240 lbs,Mississippi,USA
"Thomas
Eddleman",DET,12,F,6-2,189 lbs,Illinois,USA
"Kent
Edelin",IND,,F,6-8,205 lbs,Virginia,USA
"Zach
Edey",MEM,14,C,7-4,305 lbs,Purdue,Canada
"Keith
Edmonson",SAS,10,G,6-5,195 lbs,Purdue,USA
"Tyus
Edney",SAC,2,G,5-10,166 lbs,UCLA,USA
"Anthony
Edwards",MIN,5,G,6-4,225 lbs,Georgia,USA
"Bill
Edwards",PHI,40,F,6-8,215 lbs,Wright State,USA
"Blue
Edwards",UTA,30,G-F,6-4,229 lbs,East Carolina,USA
"Carsen
Edwards",DET,4,G,5-11,200 lbs,Purdue,USA
"Corsley
Edwards",NOP,34,F,6-9,275 lbs,Central Connecticut State,USA
"Doug
Edwards",ATL,32,F,6-7,235 lbs,Florida State,USA
"Franklin
Edwards",PHI,10,G,6-1,170 lbs,Cleveland State,USA
"James
Edwards",IND,53,C,7-1,252 lbs,Washington,USA
"Jay
Edwards",LAC,3,F,6-4,185 lbs,Indiana,USA
"Jesse
Edwards",MIN,14,C,7-0,236 lbs,West Virginia,Netherlands
"John
Edwards",ATL,54,C,7-0,275 lbs,Kent State,USA
"Justin
Edwards",PHI,19,F,6-7,203 lbs,Kentucky,USA
"Kessler
Edwards",DAL,20,F,6-7,203 lbs,Pepperdine,USA
"Kevin
Edwards",MIA,21,G,6-3,210 lbs,DePaul,USA
"Rob
Edwards",OKC,,G,6-5,205 lbs,Arizona State,USA
"Shane
Edwards",CLE,,,,,Arkansas-Little Rock,USA
"Vincent
Edwards",HOU,12,F,6-8,225 lbs,Purdue,USA
"Johnny
Egan",WAS,21,G,6-0,180 lbs,Providence,USA
"Lonnie
Eggleston",BOM,,G,6-0,170 lbs,Oklahoma State,USA
"Eddie
Ehlers",BOS,14,G,6-3,198 lbs,Purdue,USA
"Craig
Ehlo",CLE,3,G,6-7,205 lbs,Washington State,USA
"Dick
Eichhorst",ATL,,G,6-3,200 lbs,Southeast Missouri,USA
"Howard
Eisley",UTA,10,G,6-2,185 lbs,Boston College,USA
"Obinna
Ekezie",ATL,14,F-C,6-9,270 lbs,Maryland,Nigeria
"Khalid
El-Amin",CHI,11,G,5-10,200 lbs,Connecticut,USA
"Don
Eliason",BOS,14,F,6-2,210 lbs,Hamline,USA
"Mario
Elie",HOU,17,G-F,6-5,225 lbs,American International,USA
"CJ
Elleby",MIN,16,F-G,6-6,200 lbs,Washington State,USA
"Ray
Ellefson",NYK,,C,6-8,230 lbs,West Texas A&M,USA
"Henry
Ellenson",DET,13,F,6-11,245 lbs,Marquette,USA
"Wayne
Ellington",LAL,2,G,6-4,207 lbs,North Carolina,USA
"Bob
Elliott",BKN,54,C,6-9,225 lbs,Arizona,USA
"Sean
Elliott",SAS,32,F,6-8,220 lbs,Arizona,USA
"Alexander
Ellis",LAL,30,F,6-5,185 lbs,Niagara,USA
"Bo
Ellis",DEN,31,F,6-9,197 lbs,Marquette,USA
"Dale
Ellis",OKC,9,G-F,6-7,215 lbs,Tennessee,USA
"Harold
Ellis",LAC,3,F-G,6-5,220 lbs,Morehouse,USA
"Joe
Ellis",GSW,31,F,6-6,175 lbs,San Francisco,USA
"Keon
Ellis",SAC,23,G,6-4,175 lbs,Alabama,USA
"LaPhonso
Ellis",DEN,3,F,6-8,240 lbs,Notre Dame,USA
"LeRon
Ellis",CHA,28,C,6-9,225 lbs,Syracuse,USA
"Leroy
Ellis",LAL,25,F,6-11,210 lbs,St. John's (NY),USA
"Monta
Ellis",GSW,11,G,6-3,185 lbs,Lanier HS (MS),USA
"Pervis
Ellison",WAS,29,C-F,6-10,235 lbs,Louisville,USA
"Len
Elmore",BKN,44,C,6-10,220 lbs,Maryland,USA
"Francisco
Elson",DEN,16,C-F,7-0,240 lbs,California,Netherlands
"Darrell
Elston",IND,15,G,6-3,190 lbs,North Carolina,USA
"Melvin
Ely",CHA,4,C-F,6-10,260 lbs,Fresno State,USA
"Joel
Embiid",PHI,21,C-F,7-0,280 lbs,Kansas,Cameroon
"Wayne
Embry",SAC,15,C,6-8,240 lbs,Miami (Ohio),USA
"Andre
Emmett",MEM,14,G,6-5,230 lbs,Texas Tech,USA
"Ned
Endress",CLR,,F,6-2,200 lbs,Akron,USA
"Chris
Engler",GSW,50,C,6-11,245 lbs,Wyoming,USA
"Wayne
Englestad",DEN,43,F,6-8,245 lbs,California-Irvine,USA
"A.J.
English",WAS,14,G,6-3,175 lbs,Virginia Union,USA
"Alex
English",DEN,2,F,6-8,190 lbs,South Carolina,USA
"Claude
English",POR,15,G,6-4,185 lbs,Rhode Island,USA
"Jojo
English",CHI,3,G,6-4,195 lbs,South Carolina,USA
"Kim
English",DET,24,G,6-6,200 lbs,Missouri,USA
"Scott
English",PHX,14,F,6-6,205 lbs,Texas-El Paso,USA
"Gene
Englund",BOS,10,F,6-4,205 lbs,Wisconsin,USA
"Tyler
Ennis",LAL,10,G,6-3,194 lbs,Syracuse,Canada
"James
Ennis III",DEN,11,F,6-6,215 lbs,Cal State-Long Beach,USA
"Ray
Epps",GSW,32,F,6-6,195 lbs,Norfolk State,USA
"Semih
Erden",BOS,9,C,7-0,240 lbs,Fenerbahce,Turkey
"Bo
Erias",LAL,,F,6-3,220 lbs,Niagara,USA
"Keith
Erickson",LAL,14,F,6-5,195 lbs,UCLA,USA
"Julius
Erving",PHI,6,F,6-7,200 lbs,Massachusetts,USA
"Evan
Eschmeyer",BKN,00,C,6-11,250 lbs,Northwestern,USA
"Jack
Eskridge",JET,,,,,Kansas,USA
"Vincenzo
Esposito",TOR,4,G,6-3,198 lbs,Fortitudo Bologna,Italy
"Tyson
Etienne",BKN,10,G,6-2,200 lbs,Wichita State,USA
"Drew
Eubanks",LAC,15,F-C,6-10,245 lbs,Oregon State,USA
"Bob
Evans",INO,,G,6-2,175 lbs,Butler,USA
"Brian
Evans",ORL,11,F,6-8,220 lbs,Indiana,USA
"Earl
Evans",DET,,F,6-8,202 lbs,UNLV,USA
"Jacob
Evans",GSW,12,G-F,6-4,210 lbs,Cincinnati,USA
"Jawun
Evans",LAC,8,G,6-0,190 lbs,Oklahoma State,USA
"Jeremy
Evans",UTA,6,F,6-9,200 lbs,Western Kentucky,USA
"Maurice
Evans",ATL,6,G-F,6-5,220 lbs,Texas,USA
"Mike
Evans",DEN,5,G,6-1,170 lbs,Kansas State,USA
"Reggie
Evans",OKC,30,C-F,6-8,245 lbs,Iowa,USA
"Tyreke
Evans",SAC,12,G-F,6-6,220 lbs,Memphis,USA
"Tosan
Evbuomwan",BKN,12,F,6-7,217 lbs,Princeton,United Kingdom
"Daniel
Ewing",LAC,3,G,6-3,185 lbs,Duke,USA
"Patrick
Ewing",NYK,33,C,7-0,255 lbs,Georgetown,Jamaica
"Patrick
Ewing",NOP,22,F,6-8,235 lbs,Georgetown,USA
"Danté
Exum",DAL,0,G,6-5,214 lbs,Australian Institute of Sport,Australia
"Christian
Eyenga",CLE,88,F,6-7,210 lbs,DKV Joventut,Congo
"Festus
Ezeli",GSW,31,C,6-11,265 lbs,Vanderbilt,Nigeria
"Johnny
Ezersky",BAL,10,F-G,6-3,175 lbs,Rhode Island,USA
"Joe
Fabel",PIT,,F,6-1,190 lbs,Pittsburgh,USA
"John
Fairchild",LAL,33,F,6-7,205 lbs,Brigham Young,USA
"Tacko
Fall",CLE,99,C,7-5,311 lbs,UCF,Senegal
"Phil
Farbman",GSW,8,F,6-1,185 lbs,City College of New York,USA
"Kenneth
Faried",DEN,35,F-C,6-8,220 lbs,Morehead State,USA
"Dick
Farley",PHI,22,G,6-4,190 lbs,Indiana,USA
"Jordan
Farmar",LAL,4,G,6-2,180 lbs,UCLA,USA
"Desmon
Farmer",OKC,33,G,6-5,220 lbs,Southern California,USA
"Jim
Farmer",OKC,22,F,6-4,190 lbs,Alabama,USA
"Mike
Farmer",ATL,12,F,6-7,210 lbs,San Francisco,USA
"Tony
Farmer",GSW,8,F,6-9,244 lbs,Nebraska,USA
"Bob
Faught",CLR,,F,6-5,185 lbs,Notre Dame,USA
"Vitor
Faverani",BOS,38,C,6-11,260 lbs,Valencia,Brazil
"Derrick
Favors",HOU,15,F,6-9,265 lbs,Georgia Tech,USA
"Nick
Fazekas",LAC,20,F,6-11,235 lbs,Nevada,USA
"Dave
Fedor",GSW,17,F,6-6,190 lbs,Florida State,USA
"Bob
Feerick",WAS,,G,6-3,190 lbs,Santa Clara,USA
"Butch
Feher",PHX,7,G,6-4,185 lbs,Vanderbilt,USA
"Jamie
Feick",BKN,14,F,6-8,255 lbs,Michigan State,USA
"Ron
Feiereisel",LAL,22,G,6-3,185 lbs,DePaul,USA
"George
Feigenbaum",BAL,,G,6-1,185 lbs,Kentucky,USA
"Dave
Feitl",HOU,45,C,6-11,235 lbs,Texas-El Paso,USA
"Kay
Felder",CLE,22,G,5-9,176 lbs,Oakland,USA
"Cristiano
Felicio",CHI,6,F-C,6-11,270 lbs,Flamengo,Brazil
"Carrick
Felix",CLE,30,G-F,6-6,201 lbs,Arizona State,USA
"Noel
Felix",OKC,16,F,6-9,225 lbs,Fresno State,USA
"Ray
Felix",NYK,14,C,6-11,220 lbs,Long Island-Brooklyn,USA
"Raymond
Felton",CHA,2,G,6-1,205 lbs,North Carolina,USA
"Jake
Fendley",DET,6,G,6-0,180 lbs,Northwestern,USA
"Bill
Fenley",BOS,7,F,6-3,190 lbs,Manhattan,USA
"Desmond
Ferguson",POR,5,F,6-7,210 lbs,Detroit,USA
"Terrance
Ferguson",OKC,23,G,6-6,190 lbs,Adelaide,USA
"Rudy
Fernandez",POR,5,G,6-6,185 lbs,DKV Joventut,Spain
"Bruno
Fernando",TOR,24,F-C,6-9,240 lbs,Maryland,Angola
"Eric
Fernsten",BOS,45,C,6-10,205 lbs,San Francisco,USA
"Al
Ferrari",ATL,22,G,6-4,190 lbs,Michigan State,USA
"Rolando
Ferreira",POR,32,F,7-1,240 lbs,Houston,USA
"Duane
Ferrell",ATL,33,F,6-7,215 lbs,Georgia Tech,USA
"Yogi
Ferrell",SAC,11,G,6-0,178 lbs,Indiana,USA
"Arnie
Ferrin",LAL,18,F,6-4,180 lbs,Utah,USA
"Bob
Ferry",DET,12,C,6-8,230 lbs,St. Louis,USA
"Danny
Ferry",CLE,35,F,6-10,235 lbs,Duke,USA
"Kyrylo
Fesenko",UTA,44,C,7-1,280 lbs,Ukraine,Ukraine
"Kenny
Fields",MIL,54,F,6-5,220 lbs,UCLA,USA
"Landry
Fields",NYK,2,G-F,6-7,215 lbs,Stanford,USA
"Ron
Filipek",PHI,20,F,6-5,205 lbs,Tennessee Tech,USA
"Kyle
Filipowski",UTA,22,C,6-11,250 lbs,Duke,USA
"Greg
Fillmore",NYK,34,C,7-1,240 lbs,Cheyney,USA
"Hank
Finkel",BOS,29,C,7-0,240 lbs,Dayton,USA
"Michael
Finley",DAL,40,G-F,6-7,225 lbs,Wisconsin,USA
"Danny
Finn",GSW,7,G,6-1,185 lbs,St. John's (NY),USA
"Dorian
Finney-Smith",LAL,17,F,6-7,220 lbs,Florida,USA
"Matt
Fish",LAC,50,C,6-11,265 lbs,North Carolina-Wilmington,USA
"Derek
Fisher",LAL,6,G,6-1,210 lbs,Arkansas-Little Rock,USA
"Gerald
Fitch",MIA,4,G,6-3,188 lbs,Kentucky,USA
"Malik
Fitts",LAC,8,F,6-5,230 lbs,St. Mary's College,USA
"Bob
Fitzgerald",HUS,10 12,F,6-5,190 lbs,Fordham,USA
"Dick
Fitzgerald",HUS,,F,6-2,175 lbs,Seton Hall,USA
"Marcus
Fizer",CHI,21,F,6-8,260 lbs,Iowa State,USA
"Adam
Flagler",OKC,14,G,6-3,180 lbs,Baylor,USA
"Jerry
Fleishman",GSW,4,G,6-2,190 lbs,New York University,USA
"Al
Fleming",OKC,30,F,6-7,215 lbs,Arizona,USA
"Ed
Fleming",LAL,50,G,6-3,189 lbs,Niagara,USA
"Vern
Fleming",IND,10,G,6-5,185 lbs,Georgia,USA
"Luis
Flores",GSW,12,G,6-2,195 lbs,Manhattan,USA
"Bruce
Flowers",CLE,23,F,6-8,225 lbs,Notre Dame,USA
"Trentyn
Flowers",LAC,9,F,6-9,185 lbs,Adelaide,USA
"Sleepy
Floyd",HOU,12,G,6-3,170 lbs,Georgetown,USA
"Jonny
Flynn",MIN,3,G,6-0,185 lbs,Syracuse,USA
"Malachi
Flynn",CHA,18,G,6-1,185 lbs,San Diego State,USA
"Mike
Flynn",IND,44,G,6-2,180 lbs,Kentucky,USA
"Larry
Fogle",NYK,44,G,6-5,205 lbs,Canisius,USA
"Jack
Foley",NYK,7,F,6-3,170 lbs,Holy Cross,USA
"Ike
Fontaine",MEM,,,,,Washington State,USA
"Levi
Fontaine",GSW,12,G,6-4,190 lbs,Maryland-Eastern Shore,USA
"Simone
Fontecchio",DET,19,F,6-7,209 lbs,Baskonia,Italy
"Jeff
Foote",NOP,54,C-F,7-0,265 lbs,Cornell,USA
"Bryn
Forbes",MIN,6,G,6-2,205 lbs,Michigan State,USA
"Gary
Forbes",DEN,3,F,6-7,220 lbs,Massachusetts,Panama
"Aleem
Ford",ORL,12,F,6-8,220 lbs,Wisconsin,USA
"Alphonso
Ford",OKC,8,F,6-1,190 lbs,Mississippi Valley State,USA
"Alton
Ford",PHX,4,F,6-9,280 lbs,Houston,USA
"Chris
Ford",DET,42,G,6-5,190 lbs,Villanova,USA
"Don
Ford",LAL,35,F,6-9,215 lbs,California-Santa Barbara,USA
"Jake
Ford",OKC,33,G,6-3,180 lbs,Maryland-Eastern Shore,USA
"Jordan
Ford",SAC,31,G,6-1,175 lbs,St. Mary's College,USA
"Phil
Ford",SAC,1,G,6-2,175 lbs,North Carolina,USA
"Sharrod
Ford",PHX,,F,6-9,235 lbs,Clemson,USA
"Sherell
Ford",OKC,1,F,6-7,210 lbs,Illinois-Chicago,USA
"T.J.
Ford",IND,5,G,6-0,165 lbs,Texas,USA
"Donnie
Forman",LAL,22,G,5-10,175 lbs,New York University,USA
"Bayard
Forrest",PHX,35,C,6-10,235 lbs,Grand Canyon,USA
"Trent
Forrest",ATL,2,G,6-4,210 lbs,Florida State,USA
"Joseph
Forte",OKC,40,G,6-4,194 lbs,North Carolina,USA
"Courtney
Fortson",HOU,9,G,5-11,185 lbs,Arkansas,USA
"Danny
Fortson",DEN,21,C-F,6-8,260 lbs,Cincinnati,USA
"Fred
Foster",PHI,5,F,6-5,210 lbs,Miami (Ohio),USA
"Greg
Foster",UTA,43,C,6-11,250 lbs,Texas-El Paso,USA
"Jeff
Foster",IND,10,F-C,6-11,250 lbs,Southwest Texas State,USA
"Rod
Foster",PHX,10,G,6-1,160 lbs,UCLA,USA
"Michael
Foster Jr.",PHI,35,F,6-8,250 lbs,NBA G League Ignite,USA
"Antonis
Fotsis",MEM,6,F,6-10,219 lbs,Panathinaikos,Greece
"Evan
Fournier",DET,31,G-F,6-6,205 lbs,Poitiers Basket 86,France
"Larry
Foust",DET,14,C,6-9,215 lbs,La Salle,USA
"Jerry
Fowler",ATL,,C,6-7,230 lbs,Missouri,USA
"Tremaine
Fowlkes",LAC,24,F,6-6,212 lbs,Fresno State,USA
"De'Aaron
Fox",SAS,4,G,6-3,185 lbs,Kentucky,USA
"Harold
Fox",LAC,7,G,6-2,175 lbs,Jacksonville,USA
"Jim
Fox",OKC,40,C,6-10,230 lbs,South Carolina,USA
"Rick
Fox",LAL,17,F,6-7,235 lbs,North Carolina,Canada
"Randy
Foye",MIN,2,G,6-4,218 lbs,Villanova,USA
"Adonal
Foyle",GSW,31,C,6-10,270 lbs,Colgate,St. Vincent & Grenadines
"Richie
Frahm",OKC,14,G,6-5,210 lbs,Gonzaga,USA
"Steve
Francis",HOU,3,G,6-3,210 lbs,Maryland,USA
"Tellis
Frank",GSW,32,F,6-10,225 lbs,Western Kentucky,USA
"Nat
Frankel",PIT,,F,6-0,195 lbs,Brooklyn,USA
"Jamaal
Franklin",MEM,22,G,6-5,191 lbs,San Diego State,USA
"Robert
Franks",ORL,22,F,6-7,225 lbs,Washington State,USA
"Tim
Frazier",CLE,10,G,6-0,170 lbs,Penn State,USA
"Walt
Frazier",NYK,10,G,6-4,200 lbs,Southern Illinois,USA
"Will
Frazier",GSW,,F,6-7,210 lbs,Grambling,USA
"Michael
Frazier II",HOU,21,G,6-3,200 lbs,Florida,USA
"Melvin
Frazier Jr.",OKC,6,G-F,6-5,215 lbs,Tulane,USA
"Anthony
Frederick",CHA,24,F,6-7,205 lbs,Pepperdine,USA
"Jimmer
Fredette",SAC,32,G,6-2,195 lbs,Brigham Young,USA
"World
Free",CLE,21,G,6-3,185 lbs,Guilford,USA
"Enes
Freedom",BOS,11,C,6-10,250 lbs,Fenerbahce,Turkey
"Joel
Freeland",POR,19,C-F,6-10,225 lbs,Malaga,United Kingdom
"Donnie
Freeman",LAL,20,G,6-3,185 lbs,Illinois,USA
"Enrique
Freeman",IND,8,F,6-7,220 lbs,Akron,USA
"Gary
Freeman",MIL,23,F,6-9,210 lbs,Oregon State,USA
"Rod
Freeman",PHI,26,F,6-7,225 lbs,Vanderbilt,USA
"Javon
Freeman-Liberty",TOR,0,G,6-3,190 lbs,DePaul,USA
"Matt
Freije",NOP,,F,6-9,249 lbs,Vanderbilt,USA
"Frido
Frey",NYK,4,F,6-2,195 lbs,Long Island-Brooklyn,USA
"Larry
Friend",NYK,7,G,6-4,185 lbs,California,USA
"Pat
Frink",SAC,17,G,6-4,195 lbs,Colorado,USA
"Jim
Fritsche",BAL,8,C,6-8,210 lbs,Hamline,USA
"Channing
Frye",PHX,9,F-C,7-0,255 lbs,Arizona,USA
"Bernie
Fryer",POR,25,G,6-3,185 lbs,Brigham Young,USA
"Frank
Fucarino",HUS,,F,6-2,175 lbs,Long Island-Brooklyn,USA
"Alex
Fudge",DAL,17,F,6-8,200 lbs,Florida,USA
"Herm
Fuetsch",BAL,,G,6-0,170 lbs,Polytechnic HS (CA),USA
"Joe
Fulks",GSW,10,F,6-5,190 lbs,Murray State,USA
"Hiram
Fuller",ATL,15,F,6-9,240 lbs,Fresno State,USA
"Todd
Fuller",GSW,52,C,6-11,255 lbs,North Carolina State,USA
"Tony
Fuller",DET,,G,6-4,180 lbs,Pepperdine,USA
"Markelle
Fultz",SAC,20,G,6-4,209 lbs,Washington,USA
"Lawrence
Funderburke",SAC,51,F,6-9,230 lbs,Ohio State,USA
"Andrew
Funk",DEN,,G,6-5,200 lbs,Penn State,USA
"Terry
Furlow",CLE,25,G,6-5,190 lbs,Michigan State,USA
